"Muni_ID","ID","Muni","apple"
912,"1670912","Seia",65.99
902,"1680902","Almeida",0.12
903,"1680903","Celorico da Beira",0
904,"1680904","Figueira de Castelo Rodrigo",0
907,"1680907","Guarda",98.6
908,"1680908","Manteigas",0.21
909,"1680909","Mêda",0
910,"1680910","Pinhel",1.93
911,"1680911","Sabugal",0.55
913,"1680913","Trancoso",0
502,"1690502","Castelo Branco",0
505,"1690505","Idanha-a-Nova",0
507,"1690507","Penamacor",0
511,"1690511","Vila Velha de Ródão",0
501,"16A0501","Belmonte",0.39
503,"16A0503","Covilhã",0.12
504,"16A0504","Fundão",14.17
1001,"16B1001","Alcobaça",7.13
1101,"16B1101","Alenquer",10.32
1102,"16B1102","Arruda dos Vinhos",0
1005,"16B1005","Bombarral",0
1104,"16B1104","Cadaval",0
1006,"16B1006","Caldas da Rainha",2867.88
1108,"16B1108","Lourinhã",35.86
1011,"16B1011","Nazaré",159.52
1012,"16B1012","Óbidos",8937.63
1014,"16B1014","Peniche",163.81
1112,"16B1112","Sobral de Monte Agraço",0
1113,"16B1113","Torres Vedras",34.67
1401,"16C1401","Abrantes",4.29
1402,"16C1402","Alcanena",0
1408,"16C1408","Constância",0
1410,"16C1410","Entroncamento",0
1411,"16C1411","Ferreira do Zêzere",0
1421,"16C1421","Ourém",65.33
1417,"16C1417","Sardoal",0.5
1418,"16C1418","Tomar",70.76
1419,"16C1419","Torres Novas",0
1420,"16C1420","Vila Nova da Barquinha",0
1115,"1711115","Amadora",0
1105,"1711105","Cascais",0
1106,"1711106","Lisboa",0
1107,"1711107","Loures",8.8
1109,"1711109","Mafra",80.19
1116,"1711116","Odivelas",4.06
1110,"1711110","Oeiras",2.14
1111,"1711111","Sintra",106
1114,"1711114","Vila Franca de Xira",24.49
1502,"1721502","Alcochete",0
1503,"1721503","Almada",3.84
1504,"1721504","Barreiro",0
1506,"1721506","Moita",2.26
1507,"1721507","Montijo",34.64
1508,"1721508","Palmela",193.18
1510,"1721510","Seixal",8.54
1511,"1721511","Sesimbra",49.35
1512,"1721512","Setúbal",26.99
1501,"1811501","Alcácer do Sal",0
1505,"1811505","Grândola",0.06
211,"1810211","Odemira",0.01
1509,"1811509","Santiago do Cacém",0
1513,"1811513","Sines",3.05
1201,"1821201","Alter do Chão",0
1202,"1821202","Arronches",0
1203,"1821203","Avis",0
1204,"1821204","Campo Maior",0
1205,"1821205","Castelo de Vide",0.24
1206,"1821206","Crato",0.04
1207,"1821207","Elvas",2.59
1208,"1821208","Fronteira",0
1209,"1821209","Gavião",0.03
1210,"1821210","Marvão",0.16
1211,"1821211","Monforte",0
707,"1820707","Mora",0
1212,"1821212","Nisa",0.34
1213,"1821213","Ponte de Sor",0.1
1214,"1821214","Portalegre",53.39
701,"1830701","Alandroal",0
702,"1830702","Arraiolos",0
703,"1830703","Borba",0
704,"1830704","Estremoz",0
705,"1830705","Évora",0
706,"1830706","Montemor-o-Novo",0.01
708,"1830708","Mourão",0
709,"1830709","Portel",0
710,"1830710","Redondo",0
711,"1830711","Reguengos de Monsaraz",0
1215,"1831215","Sousel",0.03
712,"1830712","Vendas Novas",0
713,"1830713","Viana do Alentejo",0
714,"1830714","Vila Viçosa",0
201,"1840201","Aljustrel",0
202,"1840202","Almodôvar",0
203,"1840203","Alvito",0
204,"1840204","Barrancos",0
205,"1840205","Beja",0
206,"1840206","Castro Verde",0.48
207,"1840207","Cuba",0
208,"1840208","Ferreira do Alentejo",0
209,"1840209","Mértola",0
210,"1840210","Moura",0
212,"1840212","Ourique",0
213,"1840213","Serpa",0
214,"1840214","Vidigueira",0
1403,"1851403","Almeirim",0.02
1404,"1851404","Alpiarça",0
1103,"1851103","Azambuja",2.15
1405,"1851405","Benavente",1.23
1406,"1851406","Cartaxo",0
1407,"1851407","Chamusca",0
1409,"1851409","Coruche",0.38
1412,"1851412","Golegã",0
1414,"1851414","Rio Maior",0
1415,"1851415","Salvaterra de Magos",0.01
1416,"1851416","Santarém",8.11
801,"1500801","Albufeira",0
802,"1500802","Alcoutim",0
803,"1500803","Aljezur",0.66
804,"1500804","Castro Marim",0
805,"1500805","Faro",0
806,"1500806","Lagoa",0
807,"1500807","Lagos",4.36
808,"1500808","Loulé",2.63
809,"1500809","Monchique",0
810,"1500810","Olhão",0
811,"1500811","Portimão",0
812,"1500812","São Brás de Alportel",0
813,"1500813","Silves",0
814,"1500814","Tavira",1.91
815,"1500815","Vila do Bispo",0
816,"1500816","Vila Real de Santo António",0
