Muni_ID,ID,Muni,atmn,sludge,fertiliser,gross_manure,bnf,irrigation
906,1670906,Gouveia,1.3,0,14,26.8,1.5,0
912,1670912,Seia,0.9,0,38.7,41.4,1.6,0
902,1680902,Almeida,2.1,0.00132,6.4,26,3.1,0
903,1680903,Celorico da Beira,2.1,0,30,23.2,2.1,0
904,1680904,Figueira de Castelo Rodrigo,2.6,4e-05,23.7,14,2,0
907,1680907,Guarda,1.6,0.07385,12.8,36.1,2.4,0
908,1680908,Manteigas,0.4,0,9.4,24.2,3.2,0
909,1680909,M�da,1.8,0,40.6,16.4,0.1,0
910,1680910,Pinhel,2.1,0.0021,17.2,20.4,2.1,0
911,1680911,Sabugal,1.5,0.00122,5.4,34.1,3.1,0
913,1680913,Trancoso,1.7,0,26.9,34.1,2.1,0
502,1690502,Castelo Branco,1.3,0,21.4,20.1,2,0
505,1690505,Idanha-a-Nova,2.2,0,23.4,14.3,2.6,0
507,1690507,Penamacor,1.1,0,39.8,22.6,1.9,0
511,1690511,Vila Velha de R�d�o,0.7,0,41.1,24.1,1.3,0
501,16A0501,Belmonte,2.5,6e-04,40.5,29.7,1.1,0
503,16A0503,Covilh�,1.1,0.00014,37.8,41.4,1.1,0
504,16A0504,Fund�o,1.5,0.02236,52.6,30,1,0
1001,16B1001,Alcoba�a,1,0.10131,10.3,263.7,4.1,0
1101,16B1101,Alenquer,2.2,0.15949,83.3,117.7,0.4,0
1102,16B1102,Arruda dos Vinhos,2,0.10131,76.8,53.2,0.5,0
1005,16B1005,Bombarral,2.6,0.10131,8.5,77.2,0.1,0
1104,16B1104,Cadaval,1.7,0.10131,12.5,95.9,0.2,0
1006,16B1006,Caldas da Rainha,1.2,0.72631,8.7,263.9,0.7,0
1108,16B1108,Lourinh�,1.9,0.18705,48.5,221.2,1.2,0
1011,16B1011,Nazar�,0.5,0.50085,82.9,174.8,1.3,0
1012,16B1012,�bidos,1.3,3.55829,30.7,87,0.5,0
1014,16B1014,Peniche,1.4,0.10131,107.1,147.5,1.9,1.13071496967763
1112,16B1112,Sobral de Monte Agra�o,2.8,0.10131,96.2,98.5,1.4,0.510546690307329
1113,16B1113,Torres Vedras,1.7,0.19041,50.1,108.5,0.7,0
1401,16C1401,Abrantes,0.8,0.16992,88.2,17.1,0.6,0
1402,16C1402,Alcanena,1.3,0.10131,61.2,62.2,2.3,0
1408,16C1408,Const�ncia,0.5,0.10131,82.8,35.4,0.1,0
1410,16C1410,Entroncamento,0.5,0.10131,133.4,18.5,0.8,34.4873863636364
1411,16C1411,Ferreira do Z�zere,0.7,0.10131,0.6,280.3,2.7,0
1421,16C1421,Our�m,0.7,0.89349,0.9,219.9,2.3,0
1417,16C1417,Sardoal,0.5,0.10131,70.1,23.3,1.1,0
1418,16C1418,Tomar,0.9,0.54598,29.7,109,1.3,4.66498608299595
1419,16C1419,Torres Novas,1.5,0.10131,91.7,36.8,1.1,0
1420,16C1420,Vila Nova da Barquinha,0.5,0.10131,38.1,64.2,6.5,0
1115,1711115,Amadora,0.5,0.10131,1.6,30.1,0.8,0
1105,1711105,Cascais,0.2,0.15496,4.3,280.8,7.7,0
1106,1711106,Lisboa,0,0,0,0,0,0
1107,1711107,Loures,1.5,5.82435,83.2,62.2,1.5,0
1109,1711109,Mafra,1.4,0.63665,104.6,155.4,1.5,0
1116,1711116,Odivelas,0.5,0.10131,15.8,252.6,1.5,0
1110,1711110,Oeiras,1,0.91641,110.1,9.7,0.5,0
1111,1711111,Sintra,1,0.11655,92.9,68.6,1.4,0
1114,1711114,Vila Franca de Xira,1.3,0.45712,129,37,0.8,0
1502,1721502,Alcochete,1.4,0.10131,28.7,74.4,2.1,0
1503,1721503,Almada,0.3,33.18104,132.2,71.1,0.4,0.590613382899628
1504,1721504,Barreiro,0.3,0.10131,66.8,106.6,1.5,2.27248962655602
1506,1721506,Moita,1.5,0.10131,23.5,356,0.5,4.60822038282463
1507,1721507,Montijo,2.2,0.10542,32,73.8,2.4,0
1508,1721508,Palmela,2.5,0.10319,37.1,76.6,1.3,0
1510,1721510,Seixal,0.4,0.44828,3.4,112.3,2.7,0
1511,1721511,Sesimbra,0.4,7.96755,53,35.6,2.7,0
1512,1721512,Set�bal,1.1,0.10131,52.6,34.5,10.4,0.683728458689
1501,1811501,Alc�cer do Sal,2.4,0,30,19.2,3.5,0
1505,1811505,Gr�ndola,2.1,0.00129,13.4,20.7,2.8,0
211,1810211,Odemira,1.4,0,33.9,23.5,2.2,0
1509,1811509,Santiago do Cac�m,2.3,0,24.2,35.3,2.2,0.975538384056407
1513,1811513,Sines,1.4,0.25056,20.2,29.7,2.8,0
1201,1821201,Alter do Ch�o,2.8,0,30.6,24.7,2.9,0
1202,1821202,Arronches,2.5,0.00197,28.1,31.3,1,0
1203,1821203,Avis,2.6,0,39.2,16.8,2.3,0
1204,1821204,Campo Maior,2.6,0,61.5,12.4,0.7,0.0804728031488595
1205,1821205,Castelo de Vide,2.5,0.00838,19.7,18.1,10.1,0
1206,1821206,Crato,2.1,0.00278,27.4,27.8,3.8,0
1207,1821207,Elvas,2.8,0.01875,46.4,25.4,1.4,0.0552042236370595
1208,1821208,Fronteira,2.2,0,44.3,25.2,2.2,0.0579885380379818
1209,1821209,Gavi�o,0.9,0.00082,88.1,14,1.5,0
1210,1821210,Marv�o,2,0.0068,33.7,22.4,3.4,0
1211,1821211,Monforte,2.6,0,27.3,28.3,1.9,0.0283014918254326
707,1820707,Mora,4.1,0,29.4,17.3,1.5,0
1212,1821212,Nisa,1.4,0.01616,38.4,19.6,3.5,0
1213,1821213,Ponte de Sor,2.7,0.00143,31,14.1,2.7,0
1214,1821214,Portalegre,2,0.14339,30.1,30.9,3.4,0.774481811709665
701,1830701,Alandroal,2.6,0,30,23.5,1.5,0
702,1830702,Arraiolos,3,0,31.2,28.7,1.8,0
703,1830703,Borba,1.8,0,30.9,39.5,0.8,0
704,1830704,Estremoz,2.6,0,30.2,25.7,2,0
705,1830705,�vora,2.9,0,35.6,21.6,2.2,0
706,1830706,Montemor-o-Novo,3.1,0.00054,24.9,38.5,2.2,0
708,1830708,Mour�o,3.3,0,14.1,20.5,2.3,0
709,1830709,Portel,2.1,0.56303,28.4,16.7,3.1,0
710,1830710,Redondo,2.5,0,32.6,28.2,2.5,0
711,1830711,Reguengos de Monsaraz,2.8,0,37.6,17.1,1.3,0
1215,1831215,Sousel,2.9,0.00376,48.6,22.3,1.6,16.1080399900233
712,1830712,Vendas Novas,3.4,0,20.3,23.2,3.5,0
713,1830713,Viana do Alentejo,3.2,0,22,32.6,2.9,7.58240711485577
714,1830714,Vila Vi�osa,2.2,0.00024,51.3,30.1,2.3,6.26360795671062
201,1840201,Aljustrel,2.8,0,74.3,15.4,0.3,9.68708029943027
202,1840202,Almod�var,1.4,0,27.8,16.5,2.3,0.555262282091918
203,1840203,Alvito,2,0.00033,36.9,20.2,1.8,4.63008901697086
204,1840204,Barrancos,2.7,0,9.3,20.5,4.4,0.0230706110991147
205,1840205,Beja,2.6,0.00017,67.1,11.4,1.2,0.978726257106342
206,1840206,Castro Verde,2.6,0.06503,27.6,16.3,0.9,0.145569272689164
207,1840207,Cuba,2.5,0,45.8,56.2,1.3,9.44836088769735
208,1840208,Ferreira do Alentejo,2.5,0,67.5,17.2,1.4,10.1960053100624
209,1840209,M�rtola,1.9,0,20.6,11.9,2,0.218801088233476
210,1840210,Moura,2.5,0,39.2,15.6,1.8,0.555565120518534
212,1840212,Ourique,2.1,0,26.4,20.7,2.9,1.44935107960337
213,1840213,Serpa,2.5,0,50.9,15.3,1.6,0.958798666507917
214,1840214,Vidigueira,3,0.00071,46.5,13.1,2.3,2.83491496778283
1403,1851403,Almeirim,1.8,0.10635,93.8,16,0.4,16.2694991326973
1404,1851404,Alpiar�a,4.2,0.10131,103.5,12.9,1.5,14.0269376357431
1103,1851103,Azambuja,1.9,0.11771,128.8,72.4,0.5,0
1405,1851405,Benavente,3.2,0.12678,67.8,28.6,2,15.5882870622886
1406,1851406,Cartaxo,2.2,0.10131,97.2,107,0.3,9.1535826625387
1407,1851407,Chamusca,1.2,0.11182,48,22.3,3.1,7.25500858563037
1409,1851409,Coruche,2.6,0.10655,24.7,23.4,3,5.06240602395352
1412,1851412,Goleg�,2.8,0.11493,221.5,5.6,0.7,14.9097743553009
1414,1851414,Rio Maior,1.2,0.10131,13.3,287.5,0.4,3.57817600409312
1415,1851415,Salvaterra de Magos,2,0.10158,114.6,35.6,1.5,8.79933690968253
1416,1851416,Santar�m,2.3,0.18188,94,87.2,0.5,5.00681052904228
801,1500801,Albufeira,1.1,1.94212,107.8,10,0.1,0.724712426928154
802,1500802,Alcoutim,0.5,0,64.4,13.2,1.6,0
803,1500803,Aljezur,0.4,0.07271,62.4,37,1,0
804,1500804,Castro Marim,0.7,0,77.1,15.4,1.2,1.56100962756524
805,1500805,Faro,0.7,0,132,18.7,0.1,0
806,1500806,Lagoa,0.6,0.47499,46.8,28,0.6,3.86585418933624
807,1500807,Lagos,0.5,0.65006,85.8,41,2.5,4.32880432052248
808,1500808,Loul�,0.7,0.63452,101.4,14.9,0.5,0
809,1500809,Monchique,0.2,0,15.5,99.8,2.7,0
810,1500810,Olh�o,0.9,0.23031,125.9,10,0.1,0
811,1500811,Portim�o,0.4,0,99.8,25.5,1,1.02496695307336
812,1500812,S�o Br�s de Alportel,0.4,0,80.4,14.9,1,0.264841992501339
813,1500813,Silves,0.6,0.08727,105.5,17.4,0.8,0
814,1500814,Tavira,0.5,0.23966,88.2,10,1.1,0.219639477977162
815,1500815,Vila do Bispo,0.3,0.04057,45,37,2.2,0
816,1500816,Vila Real de Santo Ant�nio,0.9,0,72.9,13.1,0.8,0.0685760517799353
