"Muni_ID","ID","Muni","olive_grove"
405,"1180405","Macedo de Cavaleiros",1035.91
406,"1180406","Miranda do Douro",0
407,"1180407","Mirandela",3300.98
408,"1180408","Mogadouro",0
1706,"1181706","Montalegre",0.03
1707,"1181707","Murça",112.42
1712,"1181712","Valpaços",168.14
1713,"1181713","Vila Pouca de Aguiar",0
411,"1180411","Vimioso",3.71
412,"1180412","Vinhais",0.81
101,"1610101","Águeda",0.85
102,"1610102","Albergaria-a-Velha",0
103,"1610103","Anadia",0
105,"1610105","Aveiro",0
108,"1610108","Estarreja",0
110,"1610110","Ílhavo",0
111,"1610111","Mealhada",137.44
112,"1610112","Murtosa",0
114,"1610114","Oliveira do Bairro",0.93
115,"1610115","Ovar",0
117,"1610117","Sever do Vouga",0
118,"1610118","Vagos",0
602,"1620602","Cantanhede",8.48
603,"1620603","Coimbra",1616.86
604,"1620604","Condeixa-a-Nova",457.12
605,"1620605","Figueira da Foz",20.34
608,"1620608","Mira",0
610,"1620610","Montemor-o-Velho",0.5
613,"1620613","Penacova",94.3
615,"1620615","Soure",870.61
1004,"1631004","Batalha",14
1009,"1631009","Leiria",1561.21
1010,"1631010","Marinha Grande",0
1015,"1631015","Pombal",2415.13
1016,"1631016","Porto de Mós",0
1002,"1641002","Alvaiázere",0
1003,"1641003","Ansião",237.3
601,"1640601","Arganil",0
1007,"1641007","Castanheira de Pêra",0
1008,"1641008","Figueiró dos Vinhos",0
606,"1640606","Góis",0
607,"1640607","Lousã",14.9
609,"1640609","Miranda do Corvo",0
611,"1640611","Oliveira do Hospital",215.92
612,"1640612","Pampilhosa da Serra",0
1013,"1641013","Pedrógão Grande",0
614,"1640614","Penela",0
616,"1640616","Tábua",0
617,"1640617","Vila Nova de Poiares",0
901,"1650901","Aguiar da Beira",0
1802,"1651802","Carregal do Sal",0
1803,"1651803","Castro Daire",0
1806,"1651806","Mangualde",0
1808,"1651808","Mortágua",0
1809,"1651809","Nelas",0
1810,"1651810","Oliveira de Frades",7.32
1811,"1651811","Penalva do Castelo",0
1814,"1651814","Santa Comba Dão",4.69
1816,"1651816","São Pedro do Sul",109.49
1817,"1651817","Sátão",0
1821,"1651821","Tondela",547.78
1822,"1651822","Vila Nova de Paiva",0
1823,"1651823","Viseu",364.84
1824,"1651824","Vouzela",66.98
1413,"1661413","Mação",0
506,"1660506","Oleiros",0
508,"1660508","Proença-a-Nova",0
509,"1660509","Sertã",0
510,"1660510","Vila de Rei",0
905,"1670905","Fornos de Algodres",0
906,"1670906","Gouveia",0
912,"1670912","Seia",1061.1
902,"1680902","Almeida",4.45
903,"1680903","Celorico da Beira",0
904,"1680904","Figueira de Castelo Rodrigo",2.2
907,"1680907","Guarda",466.46
908,"1680908","Manteigas",1.53
909,"1680909","Mêda",0
910,"1680910","Pinhel",28.9
911,"1680911","Sabugal",5.74
913,"1680913","Trancoso",0
502,"1690502","Castelo Branco",0
505,"1690505","Idanha-a-Nova",0
507,"1690507","Penamacor",0
511,"1690511","Vila Velha de Ródão",0
501,"16A0501","Belmonte",1.26
503,"16A0503","Covilhã",0.92
504,"16A0504","Fundão",331.88
1001,"16B1001","Alcobaça",1.26
1101,"16B1101","Alenquer",17.59
1102,"16B1102","Arruda dos Vinhos",0
1005,"16B1005","Bombarral",0
1104,"16B1104","Cadaval",0
1006,"16B1006","Caldas da Rainha",138.43
1108,"16B1108","Lourinhã",2.87
1011,"16B1011","Nazaré",2.16
1012,"16B1012","Óbidos",54.61
1014,"16B1014","Peniche",0
1112,"16B1112","Sobral de Monte Agraço",0
1113,"16B1113","Torres Vedras",4.06
1401,"16C1401","Abrantes",1332.93
1402,"16C1402","Alcanena",0
1408,"16C1408","Constância",0
1410,"16C1410","Entroncamento",0
1411,"16C1411","Ferreira do Zêzere",0
1421,"16C1421","Ourém",7632.09
1417,"16C1417","Sardoal",61.33
1418,"16C1418","Tomar",11996.44
1419,"16C1419","Torres Novas",0
1420,"16C1420","Vila Nova da Barquinha",0
1115,"1711115","Amadora",75.62
1105,"1711105","Cascais",82.12
1106,"1711106","Lisboa",5.99
1107,"1711107","Loures",428.12
1109,"1711109","Mafra",26.15
1116,"1711116","Odivelas",32.49
1110,"1711110","Oeiras",12.82
1111,"1711111","Sintra",29.96
1114,"1711114","Vila Franca de Xira",63.28
1502,"1721502","Alcochete",0
1503,"1721503","Almada",30.69
1504,"1721504","Barreiro",45.73
1506,"1721506","Moita",2.26
1507,"1721507","Montijo",406.99
1508,"1721508","Palmela",242.86
1510,"1721510","Seixal",162.26
1511,"1721511","Sesimbra",24.67
1512,"1721512","Setúbal",318.47
1501,"1811501","Alcácer do Sal",0
1505,"1811505","Grândola",30.45
211,"1810211","Odemira",0.86
1509,"1811509","Santiago do Cacém",0
1513,"1811513","Sines",15.25
1201,"1821201","Alter do Chão",0
1202,"1821202","Arronches",32.51
1203,"1821203","Avis",0
1204,"1821204","Campo Maior",0
1205,"1821205","Castelo de Vide",227.17
1206,"1821206","Crato",80.67
1207,"1821207","Elvas",833.32
1208,"1821208","Fronteira",0
1209,"1821209","Gavião",8.84
1210,"1821210","Marvão",115.47
1211,"1821211","Monforte",0
707,"1820707","Mora",0
1212,"1821212","Nisa",702.28
1213,"1821213","Ponte de Sor",50.58
1214,"1821214","Portalegre",6006.64
701,"1830701","Alandroal",0
702,"1830702","Arraiolos",0
703,"1830703","Borba",0
704,"1830704","Estremoz",0
705,"1830705","Évora",0
706,"1830706","Montemor-o-Novo",15.11
708,"1830708","Mourão",0
709,"1830709","Portel",21531.22
710,"1830710","Redondo",0
711,"1830711","Reguengos de Monsaraz",0
1215,"1831215","Sousel",151.85
712,"1830712","Vendas Novas",0
713,"1830713","Viana do Alentejo",0
714,"1830714","Vila Viçosa",1.98
201,"1840201","Aljustrel",0
202,"1840202","Almodôvar",0
203,"1840203","Alvito",3.99
204,"1840204","Barrancos",0
205,"1840205","Beja",7.9
206,"1840206","Castro Verde",550.29
207,"1840207","Cuba",0
208,"1840208","Ferreira do Alentejo",0
209,"1840209","Mértola",0
210,"1840210","Moura",1629.97
212,"1840212","Ourique",0
213,"1840213","Serpa",0
214,"1840214","Vidigueira",20.76
1403,"1851403","Almeirim",1.02
1404,"1851404","Alpiarça",0
1103,"1851103","Azambuja",25.01
1405,"1851405","Benavente",11.31
1406,"1851406","Cartaxo",0
1407,"1851407","Chamusca",33.45
1409,"1851409","Coruche",22.98
1412,"1851412","Golegã",8.72
1414,"1851414","Rio Maior",0
1415,"1851415","Salvaterra de Magos",0.05
1416,"1851416","Santarém",2121.16
801,"1500801","Albufeira",3218.2
802,"1500802","Alcoutim",0
803,"1500803","Aljezur",2.63
804,"1500804","Castro Marim",0
805,"1500805","Faro",0
806,"1500806","Lagoa",117.61
807,"1500807","Lagos",170.17
808,"1500808","Loulé",5566.66
809,"1500809","Monchique",0
810,"1500810","Olhão",366.74
811,"1500811","Portimão",0
812,"1500812","São Brás de Alportel",0
813,"1500813","Silves",286.38
814,"1500814","Tavira",1526.11
815,"1500815","Vila do Bispo",0.2
816,"1500816","Vila Real de Santo António",0
