Muni_ID,ID,Muni,tot_olive
205,1840205,Beja,3872
206,1840206,Castro Verde,549
207,1840207,Cuba,989
208,1840208,Ferreira do Alentejo,2640
209,1840209,Mértola,682
210,1840210,Moura,15924
212,1840212,Ourique,679
213,1840213,Serpa,17630
214,1840214,Vidigueira,3685
1403,1851403,Almeirim,111
1404,1851404,Alpiarça,64
1103,1851103,Azambuja,664
1405,1851405,Benavente,39
1406,1851406,Cartaxo,252
1407,1851407,Chamusca,535
1409,1851409,Coruche,346
1412,1851412,Golegã,216
1414,1851414,Rio Maior,1532
1415,1851415,Salvaterra de Magos,42
1416,1851416,Santarém,8145
801,1500801,Albufeira,471
802,1500802,Alcoutim,607
803,1500803,Aljezur,3
804,1500804,Castro Marim,414
805,1500805,Faro,556
806,1500806,Lagoa,143
807,1500807,Lagos,81
808,1500808,Loulé,2803
809,1500809,Monchique,109
810,1500810,Olhão,396
811,1500811,Portimão,142
812,1500812,São Brás de Alportel,444
813,1500813,Silves,1207
814,1500814,Tavira,1222
815,1500815,Vila do Bispo,3
816,1500816,Vila Real de Santo António,190
