"Station","LATITUDE..ºN.","LONGITUDE..ºW.","May","Jun","Jul","sum"
"21B/11UG",38.82,-9.22,87,0,13,100
"21D/01UG",38.75,-8.95,63,0,0.5,63.5
"21F/01UG",38.77,-8.63,64.6,0,2,66.6
"21G/01UG",38.67,-8.47,63.1,0,0,63.1
"21G/02UG",38.77,-8.36,96,2.8,0,98.8
"21I/01UG",38.71,-8.1,43.7,0,0,43.7
"21J/01UG",38.83,-7.84,34.9,0,0,34.9
"21J/02UG",38.77,-8,28.7,0,0,28.7
"21J/03C",38.7,-7.92,39,1.2,0,40.2
"21K/01UG",38.7,-7.77,55,0,0,55
"21K/02UG",38.77,-7.72,62.5,4,0,66.5
"21L/01UG",38.77,-7.61,66.6,2,0,68.6
"21M/01UG",38.79,-7.42,48.4,0.5,0,48.9
"21M/02UG",38.69,-7.4,21,0,0.1,21.1
"21N/01UG",38.74,-7.24,28.1,4.1,0,32.2
"22C/02UG",38.52,-9.01,73.8,0.8,20.3,94.9
"22E/01UG",38.58,-8.69,23.9,0,42.7,66.6
"22F/03C",38.58,-8.62,45.5,0,11.5,57
"22G/01UG",38.52,-8.5,42.5,0,0.5,43
"22H/01UG",38.65,-8.22,60.1,0,0,60.1
"22H/02UG",38.54,-8.17,56.4,0,1.8,58.2
"22L/02UG",38.58,-7.66,54,0,0,54
"22L/03UG",38.51,-7.6,36.7,0,0,36.7
"22M/01UG",38.54,-7.48,25.7,0,0,25.7
"22M/03UG",38.62,-7.35,20.9,0,0,20.9
"22M/04UG",38.57,-7.36,23.2,0,0.5,23.7
"23E/01C",38.38,-8.79,46.7,0,0,46.7
"23F/01UG",38.4,-8.62,27.3,0,0,27.3
"23I/01C",38.39,-8.15,45,0.5,0,45.5
"23K/01UG",38.46,-7.75,36.3,0.5,0,36.8
"23L/01G",38.42,-7.53,32.7,0,0,32.7
"24F/01C",38.17,-8.56,54,0,2,56
"24H/01UG",38.29,-8.23,37.7,0,2,39.7
"24H/02C",38.25,-8.29,47.8,0,0,47.8
"24I/01C",38.33,-8.01,47.1,1.2,0,48.3
"24I/03C",38.18,-8.11,31.1,0.8,0,31.9
"24J/02UG",38.26,-7.99,60.1,0.5,0.3,60.9
"24J/03UG",38.17,-7.89,20.8,1,0,21.8
"24K/01UG",38.31,-7.71,21.8,0,0,21.8
"24K/02UG",38.21,-7.8,31.5,0,0,31.5
"24N/01UG",38.21,-7.23,36.2,0.9,1,38.1
"25G/01UG",38.07,-8.41,70,0,2,72
"25I/01UG",38.06,-8.11,26.7,0,0,26.7
"25L/01UG",38.12,-7.65,36.3,0,3.6,39.9
"25N/01UG",38.02,-7.26,37.3,2.6,2.3,42.2
"25O/01UG",38.06,-7.15,20,0.8,0,20.8
"26I/01UG",37.96,-8.02,32.1,0,0,32.1
"26I/03UG",37.87,-8.17,31.5,0,0,31.5
"26J/01UG",37.89,-7.89,38.5,0,0,38.5
"26J/03UG",37.97,-7.87,32.3,0,0,32.3
"26J/04UG",37.86,-7.96,96.6,0,0,96.6
"26K/01UG",37.93,-7.79,54.1,0,0,54.1
"26L/01UG",37.94,-7.6,0,0,0,0
"26L/02UG",37.88,-7.56,37,0,1,38
"26M/01C",37.95,-7.43,51,0.2,0,51.2
"27G/01G",37.7,-8.48,50.6,0,3,53.6
"27I/01G",37.7,-8.09,0.5,0,5.5,6
"27J/01UG",37.7,-7.94,26.5,0,0,26.5
"27J/03C",37.81,-7.87,28.5,0,0,28.5
"27K/01UG",37.74,-7.79,35.6,0,0,35.6
"27K/02UG",37.68,-7.75,32.4,0,0,32.4
"28H/01G",37.61,-8.25,26.5,0,2.5,29
"28H/03UG",37.5,-8.3,18.9,0,0,18.9
"28I/01UG",37.51,-8.07,10,0,0,10
"28J/01G",37.56,-7.86,69.6,2.1,0,71.7
"28J/03UG",37.64,-7.98,23.2,0,0.8,24
"28K/01UG",37.61,-7.79,16.5,0,0,16.5
"28K/02UG",37.58,-7.69,25.1,0,0,25.1
"28L/01UG",37.64,-7.66,26.1,0,0,26.1
"28L/02UG",37.54,-7.54,3,0,0,3
"29F/02UG",37.36,-8.63,20.5,0,0,20.5
"29G/02G",37.37,-8.38,20.4,0,0,20.4
"29I/01UG",37.36,-8.16,23,0,0,23
"29J/03UG",37.44,-7.92,13.6,0,0,13.6
"29J/05UG",37.49,-7.98,8.2,0,0,8.2
"29K/01C",37.44,-7.77,26.9,0,1.8,28.7
"29K/02UG",37.47,-7.7,69.6,2.1,0,71.7
"29K/03UG",37.37,-7.68,41,3.5,3.5,48
"29K/04UG",37.49,-7.8,33.1,0,1.8,34.9
"29L/01UG",37.45,-7.59,57.4,6.1,1.5,65
"29M/01UG",37.47,-7.47,36.3,10.5,1.5,48.3
"29M/02UG",37.33,-7.47,33.2,8.6,4.5,46.3
"30E/01UG",37.33,-8.8,24.6,1.2,0,25.8
"30E/02UG",37.31,-8.67,31.8,2.7,5.5,40
"30F/01C",37.32,-8.59,0,0,0,0
"30F/05C",37.21,-8.6,16.2,0,4,20.2
"30G/01UG",37.33,-8.49,32,0,1,33
"30G/03C",37.24,-8.38,15.9,0,23,38.9
"30H/03UG",37.25,-8.28,27.9,0,17.6,45.5
"30H/04UG",37.25,-8.19,22.7,0,13.8,36.5
"30H/05UG",37.17,-8.21,14.5,0,2.1,16.6
"30I/02UG",37.3,-8.06,23.1,0,21.5,44.6
"30I/03UG",37.25,-8.05,21.8,0,18.2,40
"30J/01UG",37.24,-7.94,36.1,0,11.2,47.3
"30K/01UG",37.28,-7.74,59.5,0,11,70.5
"30K/02C",37.17,-7.68,42.4,5,1.3,48.7
"30L/01UG",37.31,-7.56,30.6,6.5,7.2,44.3
"30L/03UG",37.23,-7.59,42.8,12,0,54.8
"30L/04UG",37.19,-7.51,25.8,12.2,0,38
"30M/03UG",37.22,-7.43,48.8,7.6,0,56.4
"31E/01UC",37.12,-8.68,8.9,0,0,8.9
"31E/02UG",37.15,-8.74,16,0,0,16
