"Month","LATITUDE..ºN.","LONGITUDE..ºW.","Oct","Nov","Dec","sum"
"13G/01UG",40.03,-8.39,100.8,175.3,58.2,334.3
"13G/02UG",40.1,-8.5,76.5,166.8,117.7,361
"13H/05UG",40,-8.21,134.6,249.2,108.6,492.4
"13H/06C",40.03,-8.3,0,0,0,0
"13I/01G",40.16,-8.11,0,0,136.5,136.5
"13I/02UG",40.13,-8.05,0,0,0,0
"13J/01UG",40.14,-7.92,0,0,0,0
"13J/03UG",40.04,-7.95,136.2,132.4,178.2,446.8
"13K/02UG",40.14,-7.67,111.2,81.1,223.1,415.4
"13L/04UG",40.04,-7.56,123.2,119.1,220.8,463.1
"13O/01UG",40.04,-7.02,86.9,74.3,84.5,245.7
"13O/02UG",40.11,-7.12,40.3,36.6,0,76.9
"14D/03C",39.86,-8.85,100.7,154.3,157.7,412.7
"14E/03UG",39.88,-8.72,0,0,0,0
"14F/01UG",39.9,-8.63,93.2,180.9,169.9,444
"14H/01UG",39.9,-8.28,128.5,222.4,211.5,562.4
"14I/01UG",39.91,-8.14,138.1,129.1,161.6,428.8
"14J/01UG",39.92,-7.92,88.7,91.6,222.5,402.8
"14J/02UG",39.83,-7.88,168.4,123.1,305,596.5
"14K/04UG",39.95,-7.79,113,101.6,209.8,424.4
"14M/01UG",39.93,-7.46,46,77.9,235.6,359.5
"15D/03UG",39.69,-8.9,0,0,0,0
"15E/03G",39.74,-8.71,81.7,127,57.4,266.1
"15F/01UG",39.8,-8.59,125,206.8,144,475.8
"15F/02C",39.71,-8.53,3.9,47.5,27.2,78.6
"15G/01UG",39.83,-8.38,112,174.3,149.5,435.8
"15G/02G",39.77,-8.36,127.1,145.1,161.3,433.5
"15H/01C",39.81,-8.19,136.3,106.8,157.4,400.5
"15I/01UG",39.81,-8.1,1.2,0.1,117,118.3
"15I/02UG",39.67,-8.15,84.5,66.2,190,340.7
"15J/01UC",39.75,-7.93,0,0,0,0
"15L/02UG",39.74,-7.62,0,0,0,0
"15M/03UG",39.68,-7.41,45.5,51.9,183.1,280.5
"16C/01C",39.57,-9.07,0,0,0,0
"16C/02G",39.5,-9.1,0,0,0,0
"16D/01UG",39.56,-8.92,0,0,0,0
"16D/03UG",39.68,-9,13.6,10.2,8.4,32.2
"16E/02G",39.52,-8.68,145.2,213.6,247.4,606.2
"16F/04C",39.52,-8.59,95.6,156.6,262.6,514.8
"16G/01UG",39.61,-8.39,77.1,61,33.7,171.8
"16I/04UG",39.54,-8.16,69.2,90.7,62.2,222.1
"16K/01G",39.65,-7.67,0,49.4,316.6,366
"16L/03UG",39.52,-7.67,41.9,0.7,0,42.6
"16L/04UG",39.51,-7.52,0,0,2.3,2.3
"17C/05UG",39.44,-9.1,113,221,164,498
"17C/06G",39.38,-9.04,38,9.5,5.1,52.6
"17C/07C",39.36,-9.16,0,0,125.1,125.1
"17D/01UG",39.46,-8.98,93.1,201.6,19.8,314.5
"17D/03UG",39.49,-8.88,127.3,374.6,240.5,742.4
"17D/04G",39.36,-8.85,0,0,0,0
"17E/03UG",39.35,-8.74,0,0,0,0
"17F/01UG",39.39,-8.66,79.9,88.2,36.3,204.4
"17G/02G",39.36,-8.49,20.4,41.9,154.3,216.6
"17G/04UG",39.48,-8.34,9.6,72.2,23.5,105.3
"17H/01C",39.45,-8.1,36.8,68.3,167.6,272.7
"17I/02UG",39.35,-8.14,0,0,0,0
"17J/02UG",39.38,-7.9,67.1,61.4,197,325.5
"17L/02UG",39.35,-7.65,52.1,53.5,126.9,232.5
"17L/03UG",39.41,-7.61,0,0,0,0
"17M/01G",39.41,-7.45,66.5,46.7,199.6,312.8
"17M/03UG",39.45,-7.37,0,0,0,0
"18B/01UG",39.28,-9.26,131.1,192.1,165.7,488.9
"18B/03UG",39.2,-9.23,27.1,42.2,29.3,98.6
"18B/04UG",39.18,-9.31,83,154.4,191.4,428.8
"18C/01G",39.2,-9.06,86.9,172.5,222.5,481.9
"18C/03UG",39.27,-9.1,0,0,0,0
"18D/02UG",39.28,-8.86,0,0,0,0
"18E/01C",39.25,-8.7,60.5,81.7,151.3,293.5
"18F/01UG",39.21,-8.62,0,0,0,0
"18G/01G",39.27,-8.35,76.1,76,161.7,313.8
"18G/02UG",39.31,-8.43,0,0,0,0
"18G/03UC",39.18,-8.48,0,0,0,0
"18H/02UG",39.22,-8.22,0.1,1.6,0,1.7
"18H/04UG",39.28,-8.24,11.1,0.1,0.5,11.7
"18I/01C",39.26,-8.01,50.4,55.9,156.9,263.2
"18K/01C",39.26,-7.82,0.2,58.5,141.1,199.8
"18K/02UG",39.3,-7.72,36,5.5,162.7,204.2
"18L/01UG",39.22,-7.68,47.7,14.2,204.3,266.2
"18N/01UG",39.31,-7.31,95.6,53.6,292.2,441.4
"18N/02G",39.24,-7.32,21.5,0,185.6,207.1
"19B/03UG",39.14,-9.18,57.4,0,0,57.4
"19B/05C",39.06,-9.24,101.2,179.1,207.3,487.6
"19C/03G",39.14,-9.01,0,0,0,0
"19C/07G",39.09,-9.11,67.5,0,0,67.5
"19C/08C",39.09,-9.03,0.3,0,0,0.3
"19E/03UG",39.16,-8.83,61.9,89.4,167.9,319.2
"19G/01UG",39.12,-8.35,0.1,0,103.5,103.6
"19G/02UG",39.07,-8.46,59.3,60.2,113.6,233.1
"19J/03UG",39.06,-7.9,37,49.9,151.5,238.4
"19K/01UG",39.15,-7.78,34.9,46.6,0,81.5
"19L/01UG",39.13,-7.59,8.4,0.2,67.4,76
"19L/02UG",39.06,-7.65,44.7,35.9,152.7,233.3
"19N/03UG",39.16,-7.2,67.7,35.9,172.2,275.8
"19O/03UG",39.06,-7.12,37.4,5.5,4,46.9
"20B/02UG",39,-9.33,13.6,133.7,210.1,357.4
"20B/03C",38.89,-9.21,0,0,280.1,280.1
"20B/04GC",38.89,-9.33,0,0,154.6,154.6
"20B/06UG",38.95,-9.2,74.8,140.6,197.8,413.2
"20C/01C",38.84,-9.12,116.1,89.7,228.6,434.4
"20C/03G",38.95,-9.14,204,115.2,276.8,596
"20C/04UG",38.93,-9.07,0,0,0,0
"20D/01C",38.94,-8.95,0,0,1.6,1.6
"20E/02UG",38.86,-8.75,2.1,0.1,185.9,188.1
"20F/01UG",38.97,-8.52,35.8,71,24.1,130.9
"20I/02UG",38.87,-8.16,0,0,79,79
"20K/01UG",38.95,-7.67,3.5,0,43.1,46.6
"20K/02UG",38.95,-7.8,41.5,44.6,27,113.1
"20L/01G",38.84,-7.62,51.6,42.1,123.1,216.8
"20M/01UG",38.92,-7.41,0.6,0,59.1,59.7
"20O/02UG",38.89,-7.09,65.6,11.1,0,76.7
"21A/11G",38.7,-9.43,0,0,0,0
"21B/11UG",38.82,-9.22,0,0,0,0
"21F/01UG",38.77,-8.63,0,0,0,0
"21G/01UG",38.67,-8.47,48,65.7,133,246.7
"21H/01UG",38.76,-8.2,0,0,0,0
"21I/01UG",38.71,-8.1,0,0,0,0
"21J/01UG",38.83,-7.84,12.4,3.1,8.5,24
"21J/02UG",38.77,-8,0,0,0,0
"21J/03C",38.7,-7.92,0,0,0,0
"21K/01UG",38.7,-7.77,27.9,5.1,0,33
"21K/02UG",38.77,-7.72,0.1,0,0,0.1
"21K/03UG",38.74,-7.81,40.7,42.3,145.2,228.2
"21L/01UG",38.77,-7.61,0,0,0,0
"21M/01UG",38.79,-7.42,1.8,0,0.2,2
"21N/01UG",38.74,-7.24,48.9,27.2,179.8,255.9
"22B/01C",38.66,-9.2,68.5,115.9,157.3,341.7
"22L/02UG",38.58,-7.66,1.7,0,0,1.7
"22L/03UG",38.51,-7.6,0,0,12.1,12.1
"22M/01UG",38.54,-7.48,48.2,36.2,188.4,272.8
"22M/03UG",38.62,-7.35,29.8,28.7,195.6,254.1
"22M/04UG",38.57,-7.36,10.9,0.8,5.9,17.6
"23E/01C",38.38,-8.79,35.9,49.5,153.6,239
"23I/01C",38.39,-8.15,28.6,39.6,208.4,276.6
"23K/01UG",38.46,-7.75,42,32.9,172.7,247.6
"23L/01G",38.42,-7.53,1.4,0,151.3,152.7
"24H/01UG",38.29,-8.23,0,0,0,0
"24I/01C",38.33,-8.01,45.3,39.9,183.7,268.9
"24I/03C",38.18,-8.11,1.6,0,106.1,107.7
"24J/02UG",38.26,-7.99,0,0,0,0
"24J/03UG",38.17,-7.89,0,0,1.1,1.1
"24K/01UG",38.31,-7.71,1.2,32.9,199.2,233.3
"24K/02UG",38.21,-7.8,0,0,0.3,0.3
"24L/03C",38.21,-7.5,43.4,20.5,1,64.9
"24N/01UG",38.21,-7.23,0,0,0,0
"25G/01UG",38.07,-8.41,32.3,27,60,119.3
"25I/01UG",38.06,-8.11,0.1,0,96.4,96.5
"25L/01UG",38.12,-7.65,69.8,18.4,171.1,259.3
"25M/03C",38.06,-7.49,49.4,20.1,120.8,190.3
"25N/01UG",38.02,-7.26,129.8,13.4,234.6,377.8
"25O/01UG",38.06,-7.15,1.8,0.7,50.1,52.6
"26F/01UG",37.93,-8.54,0.9,2.8,39.9,43.6
"26F/02C",37.84,-8.62,0,0,0,0
"26I/01UG",37.96,-8.02,4,0,21.2,25.2
"26I/03UG",37.87,-8.17,7.1,0.8,1.1,9
"26J/01UG",37.89,-7.89,42.9,20.1,143.2,206.2
"26J/03UG",37.97,-7.87,0,0,0,0
"26J/04UG",37.86,-7.96,8.9,3.8,76.2,88.9
"26K/01UG",37.93,-7.79,40,25.1,165.3,230.4
"26L/01UG",37.94,-7.6,7.9,0.1,67.8,75.8
"26M/01C",37.95,-7.43,33.2,10.1,55.9,99.2
"27E/01UG",37.8,-8.67,16,0.1,7.2,23.3
"27G/01G",37.7,-8.48,1.3,0,0.5,1.8
"27H/01CG",37.76,-8.31,56.6,25.8,198.9,281.3
"27H/02C",37.73,-8.29,0,0,137.1,137.1
"27I/01G",37.7,-8.09,32.9,17.4,187.4,237.7
"27J/01UG",37.7,-7.94,2.9,0.9,99.9,103.7
"27J/03C",37.81,-7.87,3.9,0.3,6.9,11.1
"27K/02UG",37.68,-7.75,82.9,11.6,178.6,273.1
"28F/01UG",37.59,-8.64,0.2,12.1,155.7,168
"28H/01G",37.61,-8.25,60.4,27.4,120.1,207.9
"28H/03UG",37.5,-8.3,49.1,29.4,246.4,324.9
"28J/01G",37.56,-7.86,2,4.5,46.2,52.7
"28J/03UG",37.64,-7.98,49.2,13.5,139.7,202.4
"28K/01UG",37.61,-7.79,69.1,10.6,179.9,259.6
"28K/02UG",37.58,-7.69,0,0,0,0
"28L/01UG",37.64,-7.66,48.3,6.4,93,147.7
"28L/02UG",37.54,-7.54,7.1,9.3,52.8,69.2
"29F/02UG",37.36,-8.63,0,0,0,0
"29F/03G",37.38,-8.56,18.4,4.1,98.5,121
"29G/01UG",37.49,-8.49,0,0,0,0
"29G/02G",37.37,-8.38,42.6,31.8,92.6,167
"29J/03UG",37.44,-7.92,0,0,0,0
"29K/02UG",37.47,-7.7,16.3,10.4,194.2,220.9
"29K/03UG",37.37,-7.68,0.2,0.3,110.4,110.9
"29K/05G",37.4,-7.8,0,3,102.4,105.4
"29L/01UG",37.45,-7.59,15.2,12.2,176.4,203.8
"29M/01UG",37.47,-7.47,21,7.9,196.5,225.4
"29M/02UG",37.33,-7.47,0,0,0,0
"30E/01UG",37.33,-8.8,1.2,0.3,51.2,52.7
"30E/02UG",37.31,-8.67,48.8,50.4,30.1,129.3
"30F/01C",37.32,-8.59,77.6,94.4,503.5,675.5
"30F/05C",37.21,-8.6,18.7,24,133.1,175.8
"30G/01UG",37.33,-8.49,2.3,0,0,2.3
"30G/03C",37.24,-8.38,72.7,21.9,277.2,371.8
"30H/03UG",37.25,-8.28,0,0,0,0
"30H/04UG",37.25,-8.19,1.5,0,0,1.5
"30H/05UG",37.17,-8.21,0.1,14.7,170,184.8
"30I/02UG",37.3,-8.06,70.5,29.6,141.2,241.3
"30I/03UG",37.25,-8.05,0.9,0,2.8,3.7
"30J/03G",37.28,-7.86,4,4.5,11.5,20
"30K/01UG",37.28,-7.74,0.6,3.8,3.4,7.8
"30L/01UG",37.31,-7.56,33.6,17.1,303.9,354.6
"30L/03UG",37.23,-7.59,31.8,15.9,344.6,392.3
"30L/04UG",37.19,-7.51,0,0,0,0
"30M/03UG",37.22,-7.43,0,0,0,0
"30M/06G",37.27,-7.51,21.8,14,300.4,336.2
"31E/02UG",37.15,-8.74,43.8,29.6,236.7,310.1
"31F/02UG",37.16,-8.61,30.3,23.1,271.7,325.1
"31G/02UG",37.13,-8.39,0.2,0,72.4,72.6
"31H/02C",37.14,-8.3,39.7,17,219.3,276
"31I/01UG",37.15,-8.01,45.5,29,317.3,391.8
"31J/04UG",37.09,-7.91,22,16.5,169.8,208.3
