Muni_ID,ID,Muni,tot_otherpulses
510,1660510,Vila de Rei,1
905,1670905,Fornos de Algodres,1
906,1670906,Gouveia,3
912,1670912,Seia,2
902,1680902,Almeida,0
903,1680903,Celorico da Beira,2
904,1680904,Figueira de Castelo Rodrigo,2
907,1680907,Guarda,3
908,1680908,Manteigas,0
909,1680909,Meda,4
910,1680910,Pinhel,7
911,1680911,Sabugal,1
913,1680913,Trancoso,5
502,1690502,Castelo Branco,3
505,1690505,Idanha-a-Nova,155
507,1690507,Penamacor,0
511,1690511,Vila Velha de Ródão,0
501,16A0501,Belmonte,0
503,16A0503,Covilhã,3
504,16A0504,Fundão,1
1001,16B1001,Alcobaça,26
1101,16B1101,Alenquer,4
1102,16B1102,Arruda dos Vinhos,4
1005,16B1005,Bombarral,2
1104,16B1104,Cadaval,5
1006,16B1006,Caldas da Rainha,9
1108,16B1108,Lourinhã,44
1011,16B1011,Nazaré,0
1012,16B1012,Óbidos,7
1014,16B1014,Peniche,8
1112,16B1112,Sobral de Monte Agraço,6
1113,16B1113,Torres Vedras,34
1401,16C1401,Abrantes,53
1402,16C1402,Alcanena,3
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,0
1421,16C1421,Ourém,15
1417,16C1417,Sardoal,0
1418,16C1418,Tomar,7
1419,16C1419,Torres Novas,3
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,11
1109,1711109,Mafra,37
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,6
1114,1711114,Vila Franca de Xira,77
1502,1721502,Alcochete,13
1503,1721503,Almada,7
1504,1721504,Barreiro,0
1506,1721506,Moita,0
1507,1721507,Montijo,4
1508,1721508,Palmela,16
1510,1721510,Seixal,0
1511,1721511,Sesimbra,1
1512,1721512,Setúbal,0
1501,1811501,Alcácer do Sal,231
1505,1811505,Grândola,211
211,1810211,Odemira,340
1509,1811509,Santiago do Cacém,204
1513,1811513,Sines,35
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,0
1203,1821203,Avis,166
1204,1821204,Campo Maior,115
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,0
1207,1821207,Elvas,269
1208,1821208,Fronteira,56
1209,1821209,Gavião,1
1210,1821210,Marvão,0
1211,1821211,Monforte,6
707,1820707,Mora,96
1212,1821212,Nisa,6
1213,1821213,Ponte de Sor,63
1214,1821214,Portalegre,0
701,1830701,Alandroal,55
702,1830702,Arraiolos,55
703,1830703,Borba,10
704,1830704,Estremoz,65
705,1830705,Évora,5
706,1830706,Montemor-o-Novo,37
708,1830708,Mourão,24
709,1830709,Portel,0
710,1830710,Redondo,10
711,1830711,Reguengos de Monsaraz,28
1215,1831215,Sousel,3
712,1830712,Vendas Novas,3
713,1830713,Viana do Alentejo,36
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,531
202,1840202,Almodôvar,265
203,1840203,Alvito,31
204,1840204,Barrancos,0
205,1840205,Beja,1158
206,1840206,Castro Verde,113
207,1840207,Cuba,10
208,1840208,Ferreira do Alentejo,585
209,1840209,Mértola,882
210,1840210,Moura,98
212,1840212,Ourique,333
213,1840213,Serpa,1175
214,1840214,Vidigueira,23
1403,1851403,Almeirim,0
1404,1851404,Alpiarça,22
1103,1851103,Azambuja,4
1405,1851405,Benavente,0
1406,1851406,Cartaxo,0
1407,1851407,Chamusca,0
1409,1851409,Coruche,11
1412,1851412,Golegã,0
1414,1851414,Rio Maior,2
1415,1851415,Salvaterra de Magos,95
1416,1851416,Santarém,38
801,1500801,Albufeira,2
802,1500802,Alcoutim,8
803,1500803,Aljezur,7
804,1500804,Castro Marim,1
805,1500805,Faro,1
806,1500806,Lagoa,0
807,1500807,Lagos,3
808,1500808,Loulé,0
809,1500809,Monchique,0
810,1500810,Olhão,0
811,1500811,Portimão,1
812,1500812,São Brás de Alportel,0
813,1500813,Silves,7
814,1500814,Tavira,13
815,1500815,Vila do Bispo,2
816,1500816,Vila Real de Santo António,4
