Muni_ID,ID,Muni,tot_nuts
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,5
1016,1631016,Porto de Mós,11
1002,1641002,Alvaiázere,1
1003,1641003,Ansião,3
601,1640601,Arganil,2
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,2
606,1640606,Góis,0
607,1640607,Lousã,1
609,1640609,Miranda do Corvo,7
611,1640611,Oliveira do Hospital,4
612,1640612,Pampilhosa da Serra,1
1013,1641013,Pedrógão Grande,2
614,1640614,Penela,5
616,1640616,Tábua,1
617,1640617,Vila Nova de Poiares,1
901,1650901,Aguiar da Beira,1
1802,1651802,Carregal do Sal,4
1803,1651803,Castro Daire,5
1806,1651806,Mangualde,5
1808,1651808,Mortágua,1
1809,1651809,Nelas,1
1810,1651810,Oliveira de Frades,4
1811,1651811,Penalva do Castelo,2
1814,1651814,Santa Comba Dão,2
1816,1651816,São Pedro do Sul,15
1817,1651817,Sátão,4
1821,1651821,Tondela,9
1822,1651822,Vila Nova de Paiva,1
1823,1651823,Viseu,9
1824,1651824,Vouzela,3
1413,1661413,Mação,0
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,1
509,1660509,Sertã,4
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,0
906,1670906,Gouveia,11
912,1670912,Seia,10
902,1680902,Almeida,3
903,1680903,Celorico da Beira,4
904,1680904,Figueira de Castelo Rodrigo,2
907,1680907,Guarda,6
908,1680908,Manteigas,3
909,1680909,Meda,7
910,1680910,Pinhel,2
911,1680911,Sabugal,1
913,1680913,Trancoso,18
502,1690502,Castelo Branco,2
505,1690505,Idanha-a-Nova,1
507,1690507,Penamacor,1
511,1690511,Vila Velha de Ródão,0
501,16A0501,Belmonte,11
503,16A0503,Covilhã,6
504,16A0504,Fundão,3
1001,16B1001,Alcobaça,18
1101,16B1101,Alenquer,13
1102,16B1102,Arruda dos Vinhos,9
1005,16B1005,Bombarral,2
1104,16B1104,Cadaval,6
1006,16B1006,Caldas da Rainha,20
1108,16B1108,Lourinhã,2
1011,16B1011,Nazaré,0
1012,16B1012,Óbidos,2
1014,16B1014,Peniche,0
1112,16B1112,Sobral de Monte Agraço,12
1113,16B1113,Torres Vedras,30
1401,16C1401,Abrantes,8
1402,16C1402,Alcanena,2
1408,16C1408,Constância,31
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,18
1421,16C1421,Ourém,7
1417,16C1417,Sardoal,1
1418,16C1418,Tomar,20
1419,16C1419,Torres Novas,22
1420,16C1420,Vila Nova da Barquinha,3
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,3
1109,1711109,Mafra,38
1116,1711116,Odivelas,1
1110,1711110,Oeiras,0
1111,1711111,Sintra,4
1114,1711114,Vila Franca de Xira,4
1502,1721502,Alcochete,0
1503,1721503,Almada,0
1504,1721504,Barreiro,0
1506,1721506,Moita,0
1507,1721507,Montijo,0
1508,1721508,Palmela,2
1510,1721510,Seixal,0
1511,1721511,Sesimbra,5
1512,1721512,Setúbal,1
1501,1811501,Alcácer do Sal,0
1505,1811505,Grândola,18
211,1810211,Odemira,2
1509,1811509,Santiago do Cacém,11
1513,1811513,Sines,1
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,0
1203,1821203,Avis,5
1204,1821204,Campo Maior,10
1205,1821205,Castelo de Vide,11
1206,1821206,Crato,0
1207,1821207,Elvas,18
1208,1821208,Fronteira,0
1209,1821209,Gavião,0
1210,1821210,Marvão,3
1211,1821211,Monforte,3
707,1820707,Mora,1
1212,1821212,Nisa,1
1213,1821213,Ponte de Sor,10
1214,1821214,Portalegre,3
701,1830701,Alandroal,1
702,1830702,Arraiolos,80
703,1830703,Borba,9
704,1830704,Estremoz,75
705,1830705,Évora,1
706,1830706,Montemor-o-Novo,11
708,1830708,Mourão,0
709,1830709,Portel,14
710,1830710,Redondo,1
711,1830711,Reguengos de Monsaraz,0
1215,1831215,Sousel,64
712,1830712,Vendas Novas,0
713,1830713,Viana do Alentejo,0
714,1830714,Vila Viçosa,9
201,1840201,Aljustrel,0
202,1840202,Almodôvar,0
203,1840203,Alvito,1
204,1840204,Barrancos,0
205,1840205,Beja,43
206,1840206,Castro Verde,0
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,17
209,1840209,Mértola,0
210,1840210,Moura,1
212,1840212,Ourique,2
213,1840213,Serpa,22
214,1840214,Vidigueira,0
1403,1851403,Almeirim,0
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,17
1405,1851405,Benavente,0
1406,1851406,Cartaxo,14
1407,1851407,Chamusca,0
1409,1851409,Coruche,0
1412,1851412,Golegã,0
1414,1851414,Rio Maior,26
1415,1851415,Salvaterra de Magos,1
1416,1851416,Santarém,25
801,1500801,Albufeira,5
802,1500802,Alcoutim,0
803,1500803,Aljezur,2
804,1500804,Castro Marim,7
805,1500805,Faro,1
806,1500806,Lagoa,0
807,1500807,Lagos,1
808,1500808,Loulé,7
809,1500809,Monchique,1
810,1500810,Olhão,12
811,1500811,Portimão,8
812,1500812,São Brás de Alportel,5
813,1500813,Silves,10
814,1500814,Tavira,44
815,1500815,Vila do Bispo,13
816,1500816,Vila Real de Santo António,0
