Muni_ID,ID,Muni,tot_orange
1509,1811509,Santiago do Cacém,341
1513,1811513,Sines,21
1201,1821201,Alter do Chão,3
1202,1821202,Arronches,3
1203,1821203,Avis,6
1204,1821204,Campo Maior,22
1205,1821205,Castelo de Vide,3
1206,1821206,Crato,8
1207,1821207,Elvas,95
1208,1821208,Fronteira,2
1209,1821209,Gavião,24
1210,1821210,Marvão,1
1211,1821211,Monforte,4
707,1820707,Mora,16
1212,1821212,Nisa,11
1213,1821213,Ponte de Sor,144
1214,1821214,Portalegre,37
701,1830701,Alandroal,24
702,1830702,Arraiolos,16
703,1830703,Borba,24
704,1830704,Estremoz,18
705,1830705,Évora,63
706,1830706,Montemor-o-Novo,26
708,1830708,Mourão,7
709,1830709,Portel,35
710,1830710,Redondo,24
711,1830711,Reguengos de Monsaraz,74
1215,1831215,Sousel,5
712,1830712,Vendas Novas,75
713,1830713,Viana do Alentejo,64
714,1830714,Vila Viçosa,45
201,1840201,Aljustrel,5
202,1840202,Almodôvar,22
203,1840203,Alvito,82
204,1840204,Barrancos,0
205,1840205,Beja,107
206,1840206,Castro Verde,19
207,1840207,Cuba,15
208,1840208,Ferreira do Alentejo,12
209,1840209,Mértola,63
210,1840210,Moura,48
212,1840212,Ourique,2
213,1840213,Serpa,60
214,1840214,Vidigueira,156
1403,1851403,Almeirim,155
1404,1851404,Alpiarça,106
1103,1851103,Azambuja,64
1405,1851405,Benavente,98
1406,1851406,Cartaxo,41
1407,1851407,Chamusca,191
1409,1851409,Coruche,227
1412,1851412,Golegã,33
1414,1851414,Rio Maior,13
1415,1851415,Salvaterra de Magos,49
1416,1851416,Santarém,68
801,1500801,Albufeira,616
802,1500802,Alcoutim,59
803,1500803,Aljezur,23
804,1500804,Castro Marim,114
805,1500805,Faro,1353
806,1500806,Lagoa,241
807,1500807,Lagos,114
808,1500808,Loulé,1351
809,1500809,Monchique,95
810,1500810,Olhão,1148
811,1500811,Portimão,369
812,1500812,São Brás de Alportel,123
813,1500813,Silves,3546
814,1500814,Tavira,1579
815,1500815,Vila do Bispo,11
816,1500816,Vila Real de Santo António,138
