"Muni_ID","ID","Muni","lemon","orange","other_citrus","tangerine","total"
1810,"1651810","Oliveira de Frades",0,8,0,0,8
1811,"1651811","Penalva do Castelo",0,0,0,0,0
1814,"1651814","Santa Comba Dão",0,12,0,0,12
1816,"1651816","São Pedro do Sul",0,16,0,0,16
1817,"1651817","Sátão",0,0,0,0,0
1821,"1651821","Tondela",4,128.03,0,3.77,135.8
1822,"1651822","Vila Nova de Paiva",0,0,0,0,0
1823,"1651823","Viseu",4,24.01,0,0,28.01
1824,"1651824","Vouzela",0,0,0,0,0
1413,"1661413","Mação",20,40.01,15.7,7.54,83.25
506,"1660506","Oleiros",0,12,0,0,12
508,"1660508","Proença-a-Nova",28.01,56.01,0,0,84.02
509,"1660509","Sertã",0,12,0,0,12
510,"1660510","Vila de Rei",0,4,0,0,4
905,"1670905","Fornos de Algodres",0,8,0,0,8
906,"1670906","Gouveia",0,4,0,0,4
912,"1670912","Seia",0,4,0,0,4
902,"1680902","Almeida",0,0,0,0,0
903,"1680903","Celorico da Beira",0,0,0,0,0
904,"1680904","Figueira de Castelo Rodrigo",0,4,0,0,4
907,"1680907","Guarda",0,4,0,0,4
908,"1680908","Manteigas",0,0,0,0,0
909,"1680909","Mêda",0,4,0,0,4
910,"1680910","Pinhel",0,0,0,0,0
911,"1680911","Sabugal",0,4,0,0,4
913,"1680913","Trancoso",0,4,0,0,4
502,"1690502","Castelo Branco",12,268.06,0,11.31,291.37
505,"1690505","Idanha-a-Nova",0,176.04,3.92,0,179.96
507,"1690507","Penamacor",0,24.01,0,0,24.01
511,"1690511","Vila Velha de Ródão",0,52.01,0,0,52.01
501,"16A0501","Belmonte",0,0,0,0,0
503,"16A0503","Covilhã",0,12,0,0,12
504,"16A0504","Fundão",0,160.04,0,26.39,186.43
1001,"16B1001","Alcobaça",8.7,69.63,0,0,78.33
1101,"16B1101","Alenquer",8.7,39.17,0,0,47.87
1102,"16B1102","Arruda dos Vinhos",0,4.35,0,0,4.35
1005,"16B1005","Bombarral",4.35,4.35,0,0,8.7
1104,"16B1104","Cadaval",0,4.35,0,0,4.35
1006,"16B1006","Caldas da Rainha",4.35,39.17,0,5.32,48.84
1108,"16B1108","Lourinhã",0,8.7,0,0,8.7
1011,"16B1011","Nazaré",0,4.35,0,0,4.35
1012,"16B1012","Óbidos",0,34.82,0,0,34.82
1014,"16B1014","Peniche",0,4.35,0,0,4.35
1112,"16B1112","Sobral de Monte Agraço",4.35,4.35,0,0,8.7
1113,"16B1113","Torres Vedras",8.7,26.11,0,0,34.81
1401,"16C1401","Abrantes",0,161.03,0,0,161.03
1402,"16C1402","Alcanena",0,13.06,0,0,13.06
1408,"16C1408","Constância",4.35,30.46,0,0,34.81
1410,"16C1410","Entroncamento",0,17.41,0,0,17.41
1411,"16C1411","Ferreira do Zêzere",0,30.46,0,0,30.46
1421,"16C1421","Ourém",0,21.76,18.7,0,40.46
1417,"16C1417","Sardoal",4.35,43.52,4.68,15.97,68.52
1418,"16C1418","Tomar",8.7,200.19,14.03,31.93,254.85
1419,"16C1419","Torres Novas",0,413.44,56.11,15.97,485.52
1420,"16C1420","Vila Nova da Barquinha",0,13.06,0,0,13.06
1115,"1711115","Amadora",0,0,0,0,0
1105,"1711105","Cascais",30.46,34.82,0,0,65.28
1106,"1711106","Lisboa",0,0,0,0,0
1107,"1711107","Loures",4.35,17.41,0,0,21.76
1109,"1711109","Mafra",826.89,17.41,4.68,0,848.98
1116,"1711116","Odivelas",4.35,4.35,0,0,8.7
1110,"1711110","Oeiras",0,8.7,0,0,8.7
1111,"1711111","Sintra",30.46,34.82,0,0,65.28
1114,"1711114","Vila Franca de Xira",4.35,52.22,0,21.29,77.86
1502,"1721502","Alcochete",0,17.41,0,0,17.41
1503,"1721503","Almada",0,4.35,0,0,4.35
1504,"1721504","Barreiro",0,8.7,0,0,8.7
1506,"1721506","Moita",0,65.28,0,5.32,70.6
1507,"1721507","Montijo",8.7,191.49,4.68,5.32,210.19
1508,"1721508","Palmela",43.52,818.18,23.38,53.22,938.3
1510,"1721510","Seixal",4.35,13.06,0,0,17.41
1511,"1721511","Sesimbra",21.76,34.82,0,0,56.58
1512,"1721512","Setúbal",30.46,265.47,14.03,37.26,347.22
1501,"1811501","Alcácer do Sal",18.62,150.43,0,150.8,319.85
1505,"1811505","Grândola",0,112.82,0,3.77,116.59
211,"1810211","Odemira",3.72,1131.96,0,11.31,1146.99
1509,"1811509","Santiago do Cacém",11.17,582.91,0,11.31,605.39
1513,"1811513","Sines",0,60.17,0,0,60.17
1201,"1821201","Alter do Chão",0,30.09,0,0,30.09
1202,"1821202","Arronches",0,15.04,0,0,15.04
1203,"1821203","Avis",0,60.17,0,0,60.17
1204,"1821204","Campo Maior",3.72,56.41,0,0,60.13
1205,"1821205","Castelo de Vide",0,3.76,0,0,3.76
1206,"1821206","Crato",0,3.76,0,0,3.76
1207,"1821207","Elvas",3.72,349.74,0,11.31,364.77
1208,"1821208","Fronteira",0,3.76,0,0,3.76
1209,"1821209","Gavião",0,33.85,0,0,33.85
1210,"1821210","Marvão",0,7.52,0,0,7.52
1211,"1821211","Monforte",0,3.76,0,0,3.76
707,"1820707","Mora",0,52.65,0,0,52.65
1212,"1821212","Nisa",0,15.04,0,0,15.04
1213,"1821213","Ponte de Sor",0,342.22,0,7.54,349.76
1214,"1821214","Portalegre",0,94.02,0,7.54,101.56
701,"1830701","Alandroal",0,48.89,0,0,48.89
702,"1830702","Arraiolos",0,33.85,0,0,33.85
703,"1830703","Borba",0,26.32,0,0,26.32
704,"1830704","Estremoz",0,26.32,0,0,26.32
705,"1830705","Évora",0,63.93,0,3.77,67.7
706,"1830706","Montemor-o-Novo",3.72,22.56,0,0,26.28
708,"1830708","Mourão",0,3.76,0,0,3.76
709,"1830709","Portel",0,26.32,0,0,26.32
710,"1830710","Redondo",0,45.13,0,0,45.13
711,"1830711","Reguengos de Monsaraz",0,172.99,0,7.54,180.53
1215,"1831215","Sousel",0,7.52,0,0,7.52
712,"1830712","Vendas Novas",0,112.82,7.5,15.08,135.4
713,"1830713","Viana do Alentejo",0,94.02,0,0,94.02
714,"1830714","Vila Viçosa",0,109.06,0,0,109.06
201,"1840201","Aljustrel",0,203.08,0,158.34,361.42
202,"1840202","Almodôvar",0,191.79,0,11.31,203.1
203,"1840203","Alvito",0,267.01,0,0,267.01
204,"1840204","Barrancos",0,0,0,0,0
205,"1840205","Beja",3.72,327.18,0,26.39,357.29
206,"1840206","Castro Verde",0,26.32,0,0,26.32
207,"1840207","Cuba",0,37.61,0,0,37.61
208,"1840208","Ferreira do Alentejo",0,477.61,0,218.66,696.27
209,"1840209","Mértola",0,109.06,0,3.77,112.83
210,"1840210","Moura",0,146.67,0,0,146.67
212,"1840212","Ourique",0,3.76,0,0,3.76
213,"1840213","Serpa",3.72,109.06,0,0,112.78
214,"1840214","Vidigueira",0,406.15,3.75,15.08,424.98
1403,"1851403","Almeirim",4.35,396.04,14.03,53.22,467.64
1404,"1851404","Alpiarça",0,174.08,0,0,174.08
1103,"1851103","Azambuja",4.35,134.91,9.35,5.32,153.93
1405,"1851405","Benavente",4.35,108.8,4.68,5.32,123.15
1406,"1851406","Cartaxo",8.7,73.98,4.68,5.32,92.68
1407,"1851407","Chamusca",0,465.67,0,5.32,470.99
1409,"1851409","Coruche",0,609.29,4.68,69.19,683.16
1412,"1851412","Golegã",0,69.63,0,0,69.63
1414,"1851414","Rio Maior",0,26.11,0,0,26.11
1415,"1851415","Salvaterra de Magos",0,95.74,0,0,95.74
1416,"1851416","Santarém",4.35,152.32,4.68,0,161.35
801,"1500801","Albufeira",1.33,1725.24,14.86,266.96,2008.39
802,"1500802","Alcoutim",0,179.19,0,4.31,183.5
803,"1500803","Aljezur",0,58.34,0,0,58.34
804,"1500804","Castro Marim",3.1,362.55,0,4.31,369.96
805,"1500805","Faro",4.44,4642.31,14.86,469.34,5130.95
806,"1500806","Lagoa",2.22,1058.48,5.94,137.79,1204.43
807,"1500807","Lagos",0.44,158.36,0,4.31,163.11
808,"1500808","Loulé",6.21,3696.34,112.94,878.39,4693.88
809,"1500809","Monchique",20.85,450.06,2.97,60.28,534.16
810,"1500810","Olhão",3.1,3562.99,5.94,297.1,3869.13
811,"1500811","Portimão",3.1,812.61,2.97,180.85,999.53
812,"1500812","São Brás de Alportel",4.88,270.87,20.81,47.36,343.92
813,"1500813","Silves",37.7,15447.96,89.17,4094.85,19669.68
814,"1500814","Tavira",7.1,7255.16,53.5,495.17,7810.93
815,"1500815","Vila do Bispo",0,4.17,0,0,4.17
816,"1500816","Vila Real de Santo António",3.55,254.2,0,30.14,287.89
