"Muni_ID","ID","Muni","almonds","chestnut","locust","nuuts","other_dried_nuts","total"
1819,"1171819","Tabuaço",54.74,703.3,0,14.07,17.58,789.69
1820,"1171820","Tarouca",0,622.42,0,10.55,3.52,636.49
409,"1170409","Torre de Moncorvo",15930.22,632.97,0,42.2,10.55,16615.94
410,"1170410","Vila Flor",2937.88,421.98,0,123.08,0,3482.94
914,"1170914","Vila Nova de Foz Côa",10195.89,38.68,0,3.52,0,10238.09
1714,"1171714","Vila Real",27.37,643.52,0,42.2,14.07,727.16
401,"1180401","Alfândega da Fé",8717.83,1898.9,0,270.77,706.81,11594.31
1702,"1181702","Boticas",4.56,545.05,0,28.13,3.52,581.26
402,"1180402","Bragança",132.3,24622.39,0,485.27,98.46,25338.42
1703,"1181703","Chaves",31.93,5735.38,0,172.31,28.13,5967.75
405,"1180405","Macedo de Cavaleiros",1040.12,6389.44,0,344.62,77.36,7851.54
406,"1180406","Miranda do Douro",196.16,1104.17,0,66.81,10.55,1377.69
407,"1180407","Mirandela",6742.52,590.77,0,147.69,28.13,7509.11
408,"1180408","Mogadouro",8886.62,1459.34,0,147.69,0,10493.65
1706,"1181706","Montalegre",0,921.32,0,3.52,3.52,928.36
1707,"1181707","Murça",980.81,1406.59,0,70.33,14.07,2471.8
1712,"1181712","Valpaços",7372.06,17459.32,0,393.85,52.75,25277.98
1713,"1181713","Vila Pouca de Aguiar",45.62,1891.87,0,14.07,3.52,1955.08
411,"1180411","Vimioso",634.11,3428.57,0,154.73,17.58,4234.99
412,"1180412","Vinhais",95.8,18725.26,0,548.57,31.65,19401.28
101,"1610101","Águeda",0,7.03,0,7.03,0,14.06
102,"1610102","Albergaria-a-Velha",0,3.52,0,0,0,3.52
103,"1610103","Anadia",0,7.03,0,21.1,7.03,35.16
105,"1610105","Aveiro",0,0,0,3.52,0,3.52
108,"1610108","Estarreja",0,0,0,0,0,0
110,"1610110","Ílhavo",0,0,0,0,0,0
111,"1610111","Mealhada",0,3.52,0,14.07,0,17.59
112,"1610112","Murtosa",0,0,0,0,0,0
114,"1610114","Oliveira do Bairro",0,0,0,17.58,3.52,21.1
115,"1610115","Ovar",0,3.52,0,0,3.52,7.04
117,"1610117","Sever do Vouga",0,21.1,0,0,0,21.1
118,"1610118","Vagos",0,0,0,0,0,0
602,"1620602","Cantanhede",0,7.03,0,66.81,7.03,80.87
603,"1620603","Coimbra",0,0,0,52.75,0,52.75
604,"1620604","Condeixa-a-Nova",0,0,0,31.65,0,31.65
605,"1620605","Figueira da Foz",0,0,0,3.52,0,3.52
608,"1620608","Mira",0,0,0,0,0,0
610,"1620610","Montemor-o-Velho",0,0,0,3.52,0,3.52
613,"1620613","Penacova",0,3.52,0,0,0,3.52
615,"1620615","Soure",0,0,0,21.1,0,21.1
1004,"1631004","Batalha",0,0,0,3.52,3.52,7.04
1009,"1631009","Leiria",0,10.55,0,10.55,49.23,70.33
1010,"1631010","Marinha Grande",0,0,0,0,3.52,3.52
1015,"1631015","Pombal",0,0,0,17.58,3.52,21.1
1016,"1631016","Porto de Mós",0,0,0,38.68,7.03,45.71
1002,"1641002","Alvaiázere",0,0,0,3.52,10.55,14.07
1003,"1641003","Ansião",0,0,0,10.55,0,10.55
601,"1640601","Arganil",0,24.62,0,7.03,0,31.65
1007,"1641007","Castanheira de Pêra",0,14.07,0,0,0,14.07
1008,"1641008","Figueiró dos Vinhos",0,17.58,0,7.03,0,24.61
606,"1640606","Góis",0,7.03,0,0,0,7.03
607,"1640607","Lousã",0,10.55,0,3.52,0,14.07
609,"1640609","Miranda do Corvo",0,3.52,0,24.62,0,28.14
611,"1640611","Oliveira do Hospital",0,35.16,0,14.07,119.56,168.79
612,"1640612","Pampilhosa da Serra",4.56,21.1,0,3.52,0,29.18
1013,"1641013","Pedrógão Grande",0,17.58,0,7.03,0,24.61
614,"1640614","Penela",0,0,0,17.58,0,17.58
616,"1640616","Tábua",4.56,3.52,0,3.52,35.16,46.76
617,"1640617","Vila Nova de Poiares",0,3.52,0,3.52,0,7.04
901,"1650901","Aguiar da Beira",0,446.59,0,3.52,7.03,457.14
1802,"1651802","Carregal do Sal",0,10.55,0,14.07,49.23,73.85
1803,"1651803","Castro Daire",0,84.4,0,17.58,0,101.98
1806,"1651806","Mangualde",4.56,59.78,0,17.58,84.4,166.32
1808,"1651808","Mortágua",0,14.07,0,3.52,0,17.59
1809,"1651809","Nelas",0,3.52,0,3.52,10.55,17.59
1810,"1651810","Oliveira de Frades",0,31.65,0,14.07,0,45.72
1811,"1651811","Penalva do Castelo",0,24.62,0,7.03,28.13,59.78
1814,"1651814","Santa Comba Dão",0,17.58,0,7.03,7.03,31.64
1816,"1651816","São Pedro do Sul",0,42.2,0,52.75,7.03,101.98
1817,"1651817","Sátão",0,390.33,0,14.07,31.65,436.05
1821,"1651821","Tondela",0,73.85,0,31.65,38.68,144.18
1822,"1651822","Vila Nova de Paiva",0,179.34,0,3.52,10.55,193.41
1823,"1651823","Viseu",0,203.96,0,31.65,94.94,330.55
1824,"1651824","Vouzela",0,28.13,0,10.55,3.52,42.2
1413,"1661413","Mação",0,0,0,0,17.58,17.58
506,"1660506","Oleiros",0,84.4,0,0,7.03,91.43
508,"1660508","Proença-a-Nova",0,17.58,0,3.52,3.52,24.62
509,"1660509","Sertã",0,84.4,0,14.07,59.78,158.25
510,"1660510","Vila de Rei",4.56,0,0,0,7.03,11.59
905,"1670905","Fornos de Algodres",9.12,87.91,0,0,7.03,104.06
906,"1670906","Gouveia",9.12,196.92,0,38.68,63.3,308.02
912,"1670912","Seia",0,210.99,0,35.16,91.43,337.58
902,"1680902","Almeida",4.56,31.65,0,10.55,0,46.76
903,"1680903","Celorico da Beira",9.12,154.73,0,14.07,7.03,184.95
904,"1680904","Figueira de Castelo Rodrigo",1874.95,492.31,0,7.03,0,2374.29
907,"1680907","Guarda",13.69,1322.2,0,21.1,14.07,1371.06
908,"1680908","Manteigas",27.37,3.52,0,10.55,0,41.44
909,"1680909","Mêda",1742.65,1505.05,0,24.62,66.81,3339.13
910,"1680910","Pinhel",415.13,165.27,0,7.03,7.03,594.46
911,"1680911","Sabugal",9.12,562.64,0,3.52,0,575.28
913,"1680913","Trancoso",50.18,4740.22,0,63.3,45.71,4899.41
502,"1690502","Castelo Branco",127.73,7.03,3.52,7.03,31.65,176.96
505,"1690505","Idanha-a-Nova",86.68,35.16,0,3.52,618.9,744.26
507,"1690507","Penamacor",0,10.55,0,3.52,221.54,235.61
511,"1690511","Vila Velha de Ródão",9.12,0,0,0,10.55,19.67
501,"16A0501","Belmonte",0,70.33,0,38.68,0,109.01
503,"16A0503","Covilhã",4.56,207.47,0,21.1,7.03,240.16
504,"16A0504","Fundão",0,161.76,0,10.55,7.03,179.34
1001,"16B1001","Alcobaça",0,21.1,0,63.3,17.58,101.98
1101,"16B1101","Alenquer",4.56,0,0,45.71,193.41,243.68
1102,"16B1102","Arruda dos Vinhos",0,0,0,31.65,101.98,133.63
1005,"16B1005","Bombarral",0,3.52,0,7.03,200.44,210.99
1104,"16B1104","Cadaval",0,14.07,0,21.1,334.07,369.24
1006,"16B1006","Caldas da Rainha",0,3.52,0,70.33,147.69,221.54
1108,"16B1108","Lourinhã",0,7.03,0,7.03,35.16,49.22
1011,"16B1011","Nazaré",0,0,0,0,14.07,14.07
1012,"16B1012","Óbidos",0,56.26,0,7.03,147.69,210.98
1014,"16B1014","Peniche",0,0,0,0,3.52,3.52
1112,"16B1112","Sobral de Monte Agraço",0,0,0,42.2,24.62,66.82
1113,"16B1113","Torres Vedras",4.56,0,0,105.49,210.99,321.04
1401,"16C1401","Abrantes",18.25,3.52,0,28.13,1167.47,1217.37
1402,"16C1402","Alcanena",0,7.03,0,7.03,56.26,70.32
1408,"16C1408","Constância",0,0,0,109.01,7.03,116.04
1410,"16C1410","Entroncamento",0,0,0,0,0,0
1411,"16C1411","Ferreira do Zêzere",9.12,59.78,0,63.3,17.58,149.78
1421,"16C1421","Ourém",0,7.03,0,24.62,10.55,42.2
1417,"16C1417","Sardoal",0,0,0,3.52,49.23,52.75
1418,"16C1418","Tomar",27.37,0,0,70.33,165.27,262.97
1419,"16C1419","Torres Novas",77.55,0,0,77.36,436.04,590.95
1420,"16C1420","Vila Nova da Barquinha",0,0,0,10.55,3.52,14.07
1115,"1711115","Amadora",0,0,0,0,0,0
1105,"1711105","Cascais",0,7.03,0,0,3.52,10.55
1106,"1711106","Lisboa",0,0,0,0,0,0
1107,"1711107","Loures",0,0,0,10.55,7.03,17.58
1109,"1711109","Mafra",0,0,0,133.63,77.36,210.99
1116,"1711116","Odivelas",0,0,0,3.52,0,3.52
1110,"1711110","Oeiras",0,0,0,0,0,0
1111,"1711111","Sintra",0,0,0,14.07,77.36,91.43
1114,"1711114","Vila Franca de Xira",9.12,0,0,14.07,98.46,121.65
1502,"1721502","Alcochete",0,0,0,0,879.12,879.12
1503,"1721503","Almada",0,0,0,0,0,0
1504,"1721504","Barreiro",0,0,0,0,0,0
1506,"1721506","Moita",0,0,0,0,0,0
1507,"1721507","Montijo",0,0,0,0,2004.39,2004.39
1508,"1721508","Palmela",4.56,0,0,7.03,1818.02,1829.61
1510,"1721510","Seixal",0,0,0,0,0,0
1511,"1721511","Sesimbra",0,3.52,0,17.58,358.68,379.78
1512,"1721512","Setúbal",0,0,0,3.52,411.43,414.95
1501,"1811501","Alcácer do Sal",0,0,7.03,0,44733.14,44740.17
1505,"1811505","Grândola",31.93,0,0,63.3,19446.13,19541.36
211,"1810211","Odemira",688.85,0,7.03,7.03,1213.19,1916.1
1509,"1811509","Santiago do Cacém",0,0,24.62,38.68,3020.66,3083.96
1513,"1811513","Sines",4.56,0,0,3.52,144.18,152.26
1201,"1821201","Alter do Chão",9.12,0,0,0,59.78,68.9
1202,"1821202","Arronches",0,7.03,0,0,130.11,137.14
1203,"1821203","Avis",31.93,0,38.68,17.58,1547.25,1635.44
1204,"1821204","Campo Maior",0,0,0,35.16,288.35,323.51
1205,"1821205","Castelo de Vide",0,98.46,0,38.68,63.3,200.44
1206,"1821206","Crato",0,28.13,0,0,1515.6,1543.73
1207,"1821207","Elvas",0,0,0,63.3,10.55,73.85
1208,"1821208","Fronteira",0,77.36,0,0,10.55,87.91
1209,"1821209","Gavião",4.56,0,0,0,833.41,837.97
1210,"1821210","Marvão",0,1209.67,0,10.55,274.29,1494.51
1211,"1821211","Monforte",0,0,0,10.55,70.33,80.88
707,"1820707","Mora",0,0,0,3.52,509.89,513.41
1212,"1821212","Nisa",18.25,0,0,3.52,453.63,475.4
1213,"1821213","Ponte de Sor",0,0,0,35.16,5777.58,5812.74
1214,"1821214","Portalegre",0,397.36,0,10.55,151.21,559.12
701,"1830701","Alandroal",95.8,0,0,3.52,492.31,591.63
702,"1830702","Arraiolos",4.56,0,3.52,281.32,158.24,447.64
703,"1830703","Borba",22.81,0,0,31.65,0,54.46
704,"1830704","Estremoz",0,0,0,263.74,365.71,629.45
705,"1830705","Évora",0,0,0,3.52,284.83,288.35
706,"1830706","Montemor-o-Novo",0,3.52,0,38.68,4726.15,4768.35
708,"1830708","Mourão",0,0,0,0,0,0
709,"1830709","Portel",50.18,0,0,49.23,457.14,556.55
710,"1830710","Redondo",0,0,3.52,3.52,327.03,334.07
711,"1830711","Reguengos de Monsaraz",9.12,0,10.55,0,0,19.67
1215,"1831215","Sousel",4.56,0,3.52,225.05,3.52,236.65
712,"1830712","Vendas Novas",0,0,0,0,2869.45,2869.45
713,"1830713","Viana do Alentejo",0,0,0,0,249.67,249.67
714,"1830714","Vila Viçosa",4.56,0,0,31.65,70.33,106.54
201,"1840201","Aljustrel",1482.62,0,87.91,0,242.64,1813.17
202,"1840202","Almodôvar",31.93,0,28.13,0,52.75,112.81
203,"1840203","Alvito",0,0,0,3.52,84.4,87.92
204,"1840204","Barrancos",0,7.03,0,0,0,7.03
205,"1840205","Beja",13.69,0,77.36,151.21,28.13,270.39
206,"1840206","Castro Verde",0,0,0,0,351.65,351.65
207,"1840207","Cuba",0,0,0,0,0,0
208,"1840208","Ferreira do Alentejo",0,0,0,59.78,3231.65,3291.43
209,"1840209","Mértola",1332.08,0,1026.81,0,365.71,2724.6
210,"1840210","Moura",54.74,0,0,3.52,379.78,438.04
212,"1840212","Ourique",41.06,0,7.03,7.03,0,55.12
213,"1840213","Serpa",95.8,0,70.33,77.36,924.83,1168.32
214,"1840214","Vidigueira",0,0,0,0,7.03,7.03
1403,"1851403","Almeirim",0,0,0,0,453.63,453.63
1404,"1851404","Alpiarça",0,0,0,0,28.13,28.13
1103,"1851103","Azambuja",0,0,0,59.78,559.12,618.9
1405,"1851405","Benavente",0,0,0,0,3674.72,3674.72
1406,"1851406","Cartaxo",4.56,0,0,49.23,218.02,271.81
1407,"1851407","Chamusca",0,0,0,0,3738.02,3738.02
1409,"1851409","Coruche",0,0,0,0,19794.27,19794.27
1412,"1851412","Golegã",0,0,0,0,130.11,130.11
1414,"1851414","Rio Maior",27.37,3.52,0,91.43,2858.9,2981.22
1415,"1851415","Salvaterra de Magos",0,0,0,3.52,351.65,355.17
1416,"1851416","Santarém",31.93,0,0,87.91,689.23,809.07
801,"1500801","Albufeira",2271.84,0,3006.59,17.58,14.07,5310.08
802,"1500802","Alcoutim",7253.45,0,889.67,0,1891.87,10034.99
803,"1500803","Aljezur",13.69,0,0,7.03,499.34,520.06
804,"1500804","Castro Marim",4557.36,0,3066.37,24.62,109.01,7757.36
805,"1500805","Faro",1040.12,0,3221.1,3.52,478.24,4742.98
806,"1500806","Lagoa",661.48,3.52,443.08,0,7.03,1115.11
807,"1500807","Lagos",328.46,0,429.01,3.52,467.69,1228.68
808,"1500808","Loulé",5957.87,0,14090.54,24.62,330.55,20403.58
809,"1500809","Monchique",9.12,49.23,116.04,3.52,847.47,1025.38
810,"1500810","Olhão",1345.77,0,1673.84,42.2,7.03,3068.84
811,"1500811","Portimão",273.72,3.52,1097.14,28.13,52.75,1455.26
812,"1500812","São Brás de Alportel",520.06,0,1554.28,17.58,309.45,2401.37
813,"1500813","Silves",1181.54,0,3354.72,35.16,1547.25,6118.67
814,"1500814","Tavira",2905.94,0,7011.86,154.73,386.81,10459.34
815,"1500815","Vila do Bispo",82.11,0,10.55,45.71,706.81,845.18
816,"1500816","Vila Real de Santo António",164.23,0,355.16,0,35.16,554.55
