Muni_ID,ID,Muni,irrig_leach_kgN,irrig_leach_nha
604,1620604,Condeixa-a-Nova,8686.505,4.5622
605,1620605,Figueira da Foz,51931.91,9.4267
608,1620608,Mira,2796.167,2.6108
610,1620610,Montemor-o-Velho,6580.97300000001,0.7791
613,1620613,Penacova,614.567,0.775
615,1620615,Soure,146636.031,29.9379
1004,1631004,Batalha,2595.723,2.6273
1009,1631009,Leiria,690.712,0.1418
1010,1631010,Marinha Grande,74.3389999999999,0.4827
1015,1631015,Pombal,13492.48,3.2844
1016,1631016,Porto de Mós,744.504000000001,0.2222
1002,1641002,Alvaiázere,358.049000000001,0.2499
1003,1641003,Ansião,1114.936,0.4665
601,1640601,Arganil,5418.043,3.8811
1007,1641007,Castanheira de Pêra,110.465,1.2274
1008,1641008,Figueiró dos Vinhos,392.146,1.0266
606,1640606,Góis,51.5730000000001,0.3034
607,1640607,Lousã,188.197999999999,0.459
609,1640609,Miranda do Corvo,1835.034,2.6556
611,1640611,Oliveira do Hospital,1980.761,0.6662
612,1640612,Pampilhosa da Serra,0,0
1013,1641013,Pedrógão Grande,121.673,0.2493
614,1640614,Penela,1620.079,1.4324
616,1640616,Tábua,881.712,0.413
617,1640617,Vila Nova de Poiares,81.4630000000002,0.3121
901,1650901,Aguiar da Beira,3631.669,1.211
1802,1651802,Carregal do Sal,337.018,0.2392
1803,1651803,Castro Daire,914.375,0.2965
1806,1651806,Mangualde,831.762000000003,0.2214
1808,1651808,Mortágua,0,0
1809,1651809,Nelas,327.129999999999,0.1181
1810,1651810,Oliveira de Frades,435.084999999999,0.2922
1811,1651811,Penalva do Castelo,327.222,0.1268
1814,1651814,Santa Comba Dão,448.127999999997,0.3637
1816,1651816,São Pedro do Sul,2351.447,0.6211
1817,1651817,Sátão,301.887999999999,0.1093
1821,1651821,Tondela,7164.724,1.7095
1822,1651822,Vila Nova de Paiva,1994.073,1.2447
1823,1651823,Viseu,644.874,0.1107
1824,1651824,Vouzela,2405.093,1.1918
1413,1661413,Mação,0,0
506,1660506,Oleiros,1178.637,0.988
508,1660508,Proença-a-Nova,0,0
509,1660509,Sertã,438.981000000002,0.1782
510,1660510,Vila de Rei,54.1790000000001,0.1594
905,1670905,Fornos de Algodres,236.244000000001,0.0834
906,1670906,Gouveia,7439.511,1.1191
912,1670912,Seia,6169.764,1.1354
902,1680902,Almeida,2522.167,0.1274
903,1680903,Celorico da Beira,0,0
904,1680904,Figueira de Castelo Rodrigo,3745.059,0.1569
907,1680907,Guarda,7053.622,0.3665
908,1680908,Manteigas,233.182,0.8097
909,1680909,Mêda,0,0
910,1680910,Pinhel,0,0
911,1680911,Sabugal,0,0
913,1680913,Trancoso,0,0
502,1690502,Castelo Branco,0,0
505,1690505,Idanha-a-Nova,0,0
507,1690507,Penamacor,1888.231,0.1562
511,1690511,Vila Velha de Ródão,0,0
501,16A0501,Belmonte,587.960999999999,0.1189
503,16A0503,Covilhã,0,0
504,16A0504,Fundão,3604.61200000001,0.1399
1001,16B1001,Alcobaça,12340.5,1.6843
1101,16B1101,Alenquer,0,0
1102,16B1102,Arruda dos Vinhos,0,0
1005,16B1005,Bombarral,884.597999999998,0.2087
1104,16B1104,Cadaval,0,0
1006,16B1006,Caldas da Rainha,17489.679,3.7653
1108,16B1108,Lourinhã,8155.46000000002,1.4463
1011,16B1011,Nazaré,577.059,0.6132
1012,16B1012,Óbidos,1214.094,0.3885
1014,16B1014,Peniche,1542.11,0.6333
1112,16B1112,Sobral de Monte Agraço,0,0
1113,16B1113,Torres Vedras,2519.15000000001,0.1733
1401,16C1401,Abrantes,0,0
1402,16C1402,Alcanena,1894.99,0.4323
1408,16C1408,Constância,0,0
1410,16C1410,Entroncamento,1782.818,3.4889
1411,16C1411,Ferreira do Zêzere,1357.325,0.5998
1421,16C1421,Ourém,0,0
1417,16C1417,Sardoal,0,0
1418,16C1418,Tomar,1216.413,0.1797
1419,16C1419,Torres Novas,0,0
1420,16C1420,Vila Nova da Barquinha,0,0
1115,1711115,Amadora,0,0
1105,1711105,Cascais,0,0
1106,1711106,Lisboa,0.280999999999999,0.0048
1107,1711107,Loures,3378.954,0.7884
1109,1711109,Mafra,61121.287,6.5821
1116,1711116,Odivelas,0,0
1110,1711110,Oeiras,0,0
1111,1711111,Sintra,0,0
1114,1711114,Vila Franca de Xira,17198.736,1.2804
1502,1721502,Alcochete,1390.636,0.412
1503,1721503,Almada,404.216,0.9533
1504,1721504,Barreiro,116.926,0.7044
1506,1721506,Moita,0,0
1507,1721507,Montijo,0,0
1508,1721508,Palmela,3717.22,0.1274
1510,1721510,Seixal,3758.638,5.5112
1511,1721511,Sesimbra,6218.992,3.3508
1512,1721512,Setúbal,4299.922,1.4817
1501,1811501,Alcácer do Sal,112402.671,1.1594
1505,1811505,Grândola,5981.865,0.1567
211,1810211,Odemira,0,0
1509,1811509,Santiago do Cacém,41366.959,0.6696
1513,1811513,Sines,21674.918,2.4343
1201,1821201,Alter do Chão,30492.336,0.917
1202,1821202,Arronches,0,0
1203,1821203,Avis,70725.547,1.5191
1204,1821204,Campo Maior,3766.845,0.2048
1205,1821205,Castelo de Vide,24626.419,1.2165
1206,1821206,Crato,0,0
1207,1821207,Elvas,8792.48300000001,0.1695
1208,1821208,Fronteira,7053.76400000001,0.3282
1209,1821209,Gavião,8103.842,0.5692
1210,1821210,Marvão,14465.811,1.6817
1211,1821211,Monforte,10113.565,0.2627
707,1820707,Mora,27597.161,0.6734
1212,1821212,Nisa,0,0
1213,1821213,Ponte de Sor,0,0
1214,1821214,Portalegre,0,0
701,1830701,Alandroal,0,0
702,1830702,Arraiolos,19022.159,0.3278
703,1830703,Borba,8119.495,0.955
704,1830704,Estremoz,36197.382,0.9465
705,1830705,Évora,56786.059,0.5316
706,1830706,Montemor-o-Novo,0,0
708,1830708,Mourão,0,0
709,1830709,Portel,8512.09299999999,0.2068
710,1830710,Redondo,0,0
711,1830711,Reguengos de Monsaraz,65981.407,2.2694
1215,1831215,Sousel,4208.67599999999,0.2038
712,1830712,Vendas Novas,0,0
713,1830713,Viana do Alentejo,35913.919,0.9027
714,1830714,Vila Viçosa,0,0
201,1840201,Aljustrel,40063.279,1.0292
202,1840202,Almodôvar,0,0
203,1840203,Alvito,7826.013,0.3408
204,1840204,Barrancos,0,0
205,1840205,Beja,21818.297,0.2252
206,1840206,Castro Verde,19272.957,0.3799
207,1840207,Cuba,37432.84,2.5713
208,1840208,Ferreira do Alentejo,80737.396,1.4929
209,1840209,Mértola,0,0
210,1840210,Moura,0,0
212,1840212,Ourique,7848.59599999999,0.1768
213,1840213,Serpa,199563.825,2.3059
214,1840214,Vidigueira,10105.462,0.4407
1403,1851403,Almeirim,6927.68000000001,0.7185
1404,1851404,Alpiarça,5757.303,1.1678
1103,1851103,Azambuja,0,0
1405,1851405,Benavente,14876.25,0.5167
1406,1851406,Cartaxo,3865.32400000001,0.5539
1407,1851407,Chamusca,18274.355,0.5668
1409,1851409,Coruche,706753.847,12.6579
1412,1851412,Golegã,12631.892,2.1693
1414,1851414,Rio Maior,1627.189,0.1764
1415,1851415,Salvaterra de Magos,69286.489,8.4393
1416,1851416,Santarém,23094.919,1.0009
801,1500801,Albufeira,710.663,0.2094
802,1500802,Alcoutim,0,0
803,1500803,Aljezur,0,0
804,1500804,Castro Marim,28964.444,4.0584
805,1500805,Faro,0,0
806,1500806,Lagoa,1860.128,1.2459
807,1500807,Lagos,4697.129,2.0047
808,1500808,Loulé,2627.74799999999,0.1892
809,1500809,Monchique,0,0
810,1500810,Olhão,0,0
811,1500811,Portimão,480.900000000001,0.1978
812,1500812,São Brás de Alportel,0,0
813,1500813,Silves,0,0
814,1500814,Tavira,6288.12999999999,0.57
815,1500815,Vila do Bispo,0,0
816,1500816,Vila Real de Santo António,920.364000000001,0.7683
