Muni_ID,ID,Muni,tot_orange
505,1690505,Idanha-a-Nova,44
507,1690507,Penamacor,6
511,1690511,Vila Velha de Ródão,13
501,16A0501,Belmonte,0
503,16A0503,Covilhã,3
504,16A0504,Fundão,40
1001,16B1001,Alcobaça,16
1101,16B1101,Alenquer,9
1102,16B1102,Arruda dos Vinhos,1
1005,16B1005,Bombarral,1
1104,16B1104,Cadaval,1
1006,16B1006,Caldas da Rainha,9
1108,16B1108,Lourinhã,2
1011,16B1011,Nazaré,1
1012,16B1012,Óbidos,8
1014,16B1014,Peniche,1
1112,16B1112,Sobral de Monte Agraço,1
1113,16B1113,Torres Vedras,6
1401,16C1401,Abrantes,37
1402,16C1402,Alcanena,3
1408,16C1408,Constância,7
1410,16C1410,Entroncamento,4
1411,16C1411,Ferreira do Zêzere,7
1421,16C1421,Ourém,5
1417,16C1417,Sardoal,10
1418,16C1418,Tomar,46
1419,16C1419,Torres Novas,95
1420,16C1420,Vila Nova da Barquinha,3
1115,1711115,Amadora,0
1105,1711105,Cascais,8
1106,1711106,Lisboa,0
1107,1711107,Loures,4
1109,1711109,Mafra,4
1116,1711116,Odivelas,1
1110,1711110,Oeiras,2
1111,1711111,Sintra,8
1114,1711114,Vila Franca de Xira,12
1502,1721502,Alcochete,4
1503,1721503,Almada,1
1504,1721504,Barreiro,2
1506,1721506,Moita,15
1507,1721507,Montijo,44
1508,1721508,Palmela,188
1510,1721510,Seixal,3
1511,1721511,Sesimbra,8
1512,1721512,Setúbal,61
1501,1811501,Alcácer do Sal,40
1505,1811505,Grândola,30
211,1810211,Odemira,301
1509,1811509,Santiago do Cacém,155
1513,1811513,Sines,16
1201,1821201,Alter do Chão,8
1202,1821202,Arronches,4
1203,1821203,Avis,16
1204,1821204,Campo Maior,15
1205,1821205,Castelo de Vide,1
1206,1821206,Crato,1
1207,1821207,Elvas,93
1208,1821208,Fronteira,1
1209,1821209,Gavião,9
1210,1821210,Marvão,2
1211,1821211,Monforte,1
707,1820707,Mora,14
1212,1821212,Nisa,4
1213,1821213,Ponte de Sor,91
1214,1821214,Portalegre,25
701,1830701,Alandroal,13
702,1830702,Arraiolos,9
703,1830703,Borba,7
704,1830704,Estremoz,7
705,1830705,Évora,17
706,1830706,Montemor-o-Novo,6
708,1830708,Mourão,1
709,1830709,Portel,7
710,1830710,Redondo,12
711,1830711,Reguengos de Monsaraz,46
1215,1831215,Sousel,2
712,1830712,Vendas Novas,30
713,1830713,Viana do Alentejo,25
714,1830714,Vila Viçosa,29
201,1840201,Aljustrel,54
202,1840202,Almodôvar,51
203,1840203,Alvito,71
204,1840204,Barrancos,0
205,1840205,Beja,87
206,1840206,Castro Verde,7
207,1840207,Cuba,10
208,1840208,Ferreira do Alentejo,127
209,1840209,Mértola,29
210,1840210,Moura,39
212,1840212,Ourique,1
213,1840213,Serpa,29
214,1840214,Vidigueira,108
1403,1851403,Almeirim,91
1404,1851404,Alpiarça,40
1103,1851103,Azambuja,31
1405,1851405,Benavente,25
1406,1851406,Cartaxo,17
1407,1851407,Chamusca,107
1409,1851409,Coruche,140
1412,1851412,Golegã,16
1414,1851414,Rio Maior,6
1415,1851415,Salvaterra de Magos,22
1416,1851416,Santarém,35
801,1500801,Albufeira,414
802,1500802,Alcoutim,43
803,1500803,Aljezur,14
804,1500804,Castro Marim,87
805,1500805,Faro,1114
806,1500806,Lagoa,254
807,1500807,Lagos,38
808,1500808,Loulé,887
809,1500809,Monchique,108
810,1500810,Olhão,855
811,1500811,Portimão,195
812,1500812,São Brás de Alportel,65
813,1500813,Silves,3707
814,1500814,Tavira,1741
815,1500815,Vila do Bispo,1
816,1500816,Vila Real de Santo António,61
