Muni_ID,ID,Muni,tot_chestnut
110,1610110,Ílhavo,0
111,1610111,Mealhada,0
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,1
115,1610115,Ovar,0
117,1610117,Sever do Vouga,2
118,1610118,Vagos,0
602,1620602,Cantanhede,1
603,1620603,Coimbra,2
604,1620604,Condeixa-a-Nova,0
605,1620605,Figueira da Foz,0
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,0
613,1620613,Penacova,0
615,1620615,Soure,0
1004,1631004,Batalha,0
1009,1631009,Leiria,3
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,1
1016,1631016,Porto de Mós,0
1002,1641002,Alvaiázere,1
1003,1641003,Ansião,1
601,1640601,Arganil,6
1007,1641007,Castanheira de Pêra,2
1008,1641008,Figueiró dos Vinhos,2
606,1640606,Góis,19
607,1640607,Lousã,3
609,1640609,Miranda do Corvo,3
611,1640611,Oliveira do Hospital,26
612,1640612,Pampilhosa da Serra,13
1013,1641013,Pedrógão Grande,0
614,1640614,Penela,0
616,1640616,Tábua,0
617,1640617,Vila Nova de Poiares,6
901,1650901,Aguiar da Beira,59
1802,1651802,Carregal do Sal,4
1803,1651803,Castro Daire,18
1806,1651806,Mangualde,11
1808,1651808,Mortágua,1
1809,1651809,Nelas,2
1810,1651810,Oliveira de Frades,8
1811,1651811,Penalva do Castelo,6
1814,1651814,Santa Comba Dão,7
1816,1651816,São Pedro do Sul,15
1817,1651817,Sátão,77
1821,1651821,Tondela,27
1822,1651822,Vila Nova de Paiva,51
1823,1651823,Viseu,41
1824,1651824,Vouzela,1
1413,1661413,Mação,1
506,1660506,Oleiros,27
508,1660508,Proença-a-Nova,1
509,1660509,Sertã,21
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,13
906,1670906,Gouveia,30
912,1670912,Seia,118
902,1680902,Almeida,20
903,1680903,Celorico da Beira,69
904,1680904,Figueira de Castelo Rodrigo,146
907,1680907,Guarda,571
908,1680908,Manteigas,4
909,1680909,Mêda,298
910,1680910,Pinhel,31
911,1680911,Sabugal,274
913,1680913,Trancoso,855
502,1690502,Castelo Branco,3
505,1690505,Idanha-a-Nova,3
507,1690507,Penamacor,12
511,1690511,Vila Velha de Ródão,3
501,16A0501,Belmonte,4
503,16A0503,Covilhã,43
504,16A0504,Fundão,117
1001,16B1001,Alcobaça,1
1101,16B1101,Alenquer,0
1102,16B1102,Arruda dos Vinhos,0
1005,16B1005,Bombarral,0
1104,16B1104,Cadaval,0
1006,16B1006,Caldas da Rainha,1
1108,16B1108,Lourinhã,0
1011,16B1011,Nazaré,0
1012,16B1012,Óbidos,0
1014,16B1014,Peniche,0
1112,16B1112,Sobral de Monte Agraço,0
1113,16B1113,Torres Vedras,0
1401,16C1401,Abrantes,0
1402,16C1402,Alcanena,0
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,8
1421,16C1421,Ourém,0
1417,16C1417,Sardoal,0
1418,16C1418,Tomar,2
1419,16C1419,Torres Novas,0
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,0
1109,1711109,Mafra,0
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,0
1114,1711114,Vila Franca de Xira,0
1502,1721502,Alcochete,0
1503,1721503,Almada,0
1504,1721504,Barreiro,0
1506,1721506,Moita,0
1507,1721507,Montijo,0
1508,1721508,Palmela,0
1510,1721510,Seixal,0
1511,1721511,Sesimbra,1
1512,1721512,Setúbal,0
1501,1811501,Alcácer do Sal,0
1505,1811505,Grândola,0
211,1810211,Odemira,0
1509,1811509,Santiago do Cacém,0
1513,1811513,Sines,0
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,0
1203,1821203,Avis,0
1204,1821204,Campo Maior,0
1205,1821205,Castelo de Vide,19
1206,1821206,Crato,0
1207,1821207,Elvas,0
1208,1821208,Fronteira,0
1209,1821209,Gavião,0
1210,1821210,Marvão,369
1211,1821211,Monforte,0
707,1820707,Mora,0
1212,1821212,Nisa,0
1213,1821213,Ponte de Sor,0
1214,1821214,Portalegre,160
701,1830701,Alandroal,0
702,1830702,Arraiolos,0
703,1830703,Borba,0
704,1830704,Estremoz,0
705,1830705,Évora,0
706,1830706,Montemor-o-Novo,0
708,1830708,Mourão,0
709,1830709,Portel,0
710,1830710,Redondo,0
711,1830711,Reguengos de Monsaraz,0
1215,1831215,Sousel,0
712,1830712,Vendas Novas,0
713,1830713,Viana do Alentejo,0
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,0
202,1840202,Almodôvar,0
203,1840203,Alvito,0
204,1840204,Barrancos,0
205,1840205,Beja,0
206,1840206,Castro Verde,0
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,0
209,1840209,Mértola,0
210,1840210,Moura,0
212,1840212,Ourique,0
213,1840213,Serpa,0
214,1840214,Vidigueira,0
1403,1851403,Almeirim,0
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,0
1405,1851405,Benavente,0
1406,1851406,Cartaxo,0
1407,1851407,Chamusca,0
1409,1851409,Coruche,0
1412,1851412,Golegã,0
1414,1851414,Rio Maior,0
1415,1851415,Salvaterra de Magos,0
1416,1851416,Santarém,0
801,1500801,Albufeira,0
802,1500802,Alcoutim,0
803,1500803,Aljezur,0
804,1500804,Castro Marim,0
805,1500805,Faro,0
806,1500806,Lagoa,0
807,1500807,Lagos,0
808,1500808,Loulé,0
809,1500809,Monchique,17
810,1500810,Olhão,0
811,1500811,Portimão,0
812,1500812,São Brás de Alportel,0
813,1500813,Silves,0
814,1500814,Tavira,0
815,1500815,Vila do Bispo,0
816,1500816,Vila Real de Santo António,0
