Muni_ID,ID,Muni,tot_nuts
1818,1171818,Sernancelhe,10
1819,1171819,Tabuaço,4
1820,1171820,Tarouca,4
409,1170409,Torre de Moncorvo,17
410,1170410,Vila Flor,49
914,1170914,Vila Nova de Foz Côa,9
1714,1171714,Vila Real,22
401,1180401,Alfândega da Fé,69
1702,1181702,Boticas,1
402,1180402,Bragança,227
1703,1181703,Chaves,29
405,1180405,Macedo de Cavaleiros,131
406,1180406,Miranda do Douro,15
407,1180407,Mirandela,49
408,1180408,Mogadouro,16
1706,1181706,Montalegre,1
1707,1181707,Murça,13
1712,1181712,Valpaços,106
1713,1181713,Vila Pouca de Aguiar,9
411,1180411,Vimioso,29
412,1180412,Vinhais,178
101,1610101,Águeda,11
102,1610102,Albergaria-a-Velha,1
103,1610103,Anadia,14
105,1610105,Aveiro,0
108,1610108,Estarreja,0
110,1610110,Ílhavo,0
111,1610111,Mealhada,7
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,7
115,1610115,Ovar,0
117,1610117,Sever do Vouga,0
118,1610118,Vagos,2
602,1620602,Cantanhede,26
603,1620603,Coimbra,22
604,1620604,Condeixa-a-Nova,6
605,1620605,Figueira da Foz,3
608,1620608,Mira,2
610,1620610,Montemor-o-Velho,1
613,1620613,Penacova,0
615,1620615,Soure,13
1004,1631004,Batalha,8
1009,1631009,Leiria,30
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,18
1016,1631016,Porto de Mós,15
1002,1641002,Alvaiázere,8
1003,1641003,Ansião,7
601,1640601,Arganil,2
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,4
606,1640606,Góis,0
607,1640607,Lousã,1
609,1640609,Miranda do Corvo,12
611,1640611,Oliveira do Hospital,6
612,1640612,Pampilhosa da Serra,0
1013,1641013,Pedrógão Grande,0
614,1640614,Penela,16
616,1640616,Tábua,3
617,1640617,Vila Nova de Poiares,2
901,1650901,Aguiar da Beira,0
1802,1651802,Carregal do Sal,3
1803,1651803,Castro Daire,5
1806,1651806,Mangualde,9
1808,1651808,Mortágua,0
1809,1651809,Nelas,0
1810,1651810,Oliveira de Frades,1
1811,1651811,Penalva do Castelo,0
1814,1651814,Santa Comba Dão,3
1816,1651816,São Pedro do Sul,19
1817,1651817,Sátão,3
1821,1651821,Tondela,12
1822,1651822,Vila Nova de Paiva,1
1823,1651823,Viseu,15
1824,1651824,Vouzela,6
1413,1661413,Mação,0
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,5
509,1660509,Sertã,3
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,6
906,1670906,Gouveia,6
912,1670912,Seia,11
902,1680902,Almeida,0
903,1680903,Celorico da Beira,3
904,1680904,Figueira de Castelo Rodrigo,1
907,1680907,Guarda,6
908,1680908,Manteigas,2
909,1680909,Mêda,17
910,1680910,Pinhel,3
911,1680911,Sabugal,1
913,1680913,Trancoso,13
502,1690502,Castelo Branco,0
505,1690505,Idanha-a-Nova,0
507,1690507,Penamacor,0
511,1690511,Vila Velha de Ródão,0
501,16A0501,Belmonte,0
503,16A0503,Covilhã,3
504,16A0504,Fundão,7
1001,16B1001,Alcobaça,16
1101,16B1101,Alenquer,20
1102,16B1102,Arruda dos Vinhos,18
1005,16B1005,Bombarral,0
1104,16B1104,Cadaval,4
1006,16B1006,Caldas da Rainha,36
1108,16B1108,Lourinhã,4
1011,16B1011,Nazaré,1
1012,16B1012,Óbidos,4
1014,16B1014,Peniche,0
1112,16B1112,Sobral de Monte Agraço,19
1113,16B1113,Torres Vedras,25
1401,16C1401,Abrantes,18
1402,16C1402,Alcanena,3
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,21
1421,16C1421,Ourém,7
1417,16C1417,Sardoal,4
1418,16C1418,Tomar,37
1419,16C1419,Torres Novas,38
1420,16C1420,Vila Nova da Barquinha,2
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,33
1109,1711109,Mafra,44
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,6
1114,1711114,Vila Franca de Xira,13
1502,1721502,Alcochete,0
1503,1721503,Almada,0
1504,1721504,Barreiro,0
1506,1721506,Moita,0
1507,1721507,Montijo,0
1508,1721508,Palmela,7
1510,1721510,Seixal,0
1511,1721511,Sesimbra,3
1512,1721512,Setúbal,16
1501,1811501,Alcácer do Sal,0
1505,1811505,Grândola,12
211,1810211,Odemira,6
1509,1811509,Santiago do Cacém,56
1513,1811513,Sines,1
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,0
1203,1821203,Avis,0
1204,1821204,Campo Maior,0
1205,1821205,Castelo de Vide,13
1206,1821206,Crato,0
1207,1821207,Elvas,10
1208,1821208,Fronteira,0
1209,1821209,Gavião,1
1210,1821210,Marvão,0
1211,1821211,Monforte,0
707,1820707,Mora,0
1212,1821212,Nisa,0
1213,1821213,Ponte de Sor,4
1214,1821214,Portalegre,1
701,1830701,Alandroal,0
702,1830702,Arraiolos,93
703,1830703,Borba,0
704,1830704,Estremoz,35
705,1830705,Évora,5
706,1830706,Montemor-o-Novo,5
708,1830708,Mourão,0
709,1830709,Portel,1
710,1830710,Redondo,5
711,1830711,Reguengos de Monsaraz,6
1215,1831215,Sousel,0
712,1830712,Vendas Novas,0
713,1830713,Viana do Alentejo,1
714,1830714,Vila Viçosa,2
201,1840201,Aljustrel,0
202,1840202,Almodôvar,0
203,1840203,Alvito,0
204,1840204,Barrancos,0
205,1840205,Beja,23
206,1840206,Castro Verde,0
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,0
209,1840209,Mértola,0
210,1840210,Moura,2
212,1840212,Ourique,0
213,1840213,Serpa,12
214,1840214,Vidigueira,12
1403,1851403,Almeirim,3
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,21
1405,1851405,Benavente,0
1406,1851406,Cartaxo,19
1407,1851407,Chamusca,0
1409,1851409,Coruche,0
1412,1851412,Golegã,0
1414,1851414,Rio Maior,62
1415,1851415,Salvaterra de Magos,0
1416,1851416,Santarém,46
801,1500801,Albufeira,10
802,1500802,Alcoutim,0
803,1500803,Aljezur,0
804,1500804,Castro Marim,2
805,1500805,Faro,6
806,1500806,Lagoa,1
807,1500807,Lagos,1
808,1500808,Loulé,20
809,1500809,Monchique,1
810,1500810,Olhão,6
811,1500811,Portimão,2
812,1500812,São Brás de Alportel,4
813,1500813,Silves,10
814,1500814,Tavira,1
815,1500815,Vila do Bispo,0
816,1500816,Vila Real de Santo António,0
