Muni_ID,ID,Muni,tot_other_fresh
706,1830706,Montemor-o-Novo,19
708,1830708,Mourão,2
709,1830709,Portel,1
710,1830710,Redondo,1
711,1830711,Reguengos de Monsaraz,23
1215,1831215,Sousel,26
712,1830712,Vendas Novas,3
713,1830713,Viana do Alentejo,0
714,1830714,Vila Viçosa,16
201,1840201,Aljustrel,0
202,1840202,Almodôvar,28
203,1840203,Alvito,2
204,1840204,Barrancos,1
205,1840205,Beja,4
206,1840206,Castro Verde,0
207,1840207,Cuba,11
208,1840208,Ferreira do Alentejo,48
209,1840209,Mértola,3
210,1840210,Moura,478
212,1840212,Ourique,14
213,1840213,Serpa,67
214,1840214,Vidigueira,9
1403,1851403,Almeirim,75
1404,1851404,Alpiarça,22
1103,1851103,Azambuja,7
1405,1851405,Benavente,4
1406,1851406,Cartaxo,11
1407,1851407,Chamusca,2
1409,1851409,Coruche,59
1412,1851412,Golegã,0
1414,1851414,Rio Maior,4
1415,1851415,Salvaterra de Magos,0
1416,1851416,Santarém,79
801,1500801,Albufeira,391
802,1500802,Alcoutim,296
803,1500803,Aljezur,5
804,1500804,Castro Marim,376
805,1500805,Faro,106
806,1500806,Lagoa,89
807,1500807,Lagos,106
808,1500808,Loulé,601
809,1500809,Monchique,25
810,1500810,Olhão,221
811,1500811,Portimão,71
812,1500812,São Brás de Alportel,81
813,1500813,Silves,194
814,1500814,Tavira,534
815,1500815,Vila do Bispo,17
816,1500816,Vila Real de Santo António,52
