Muni_ID,ID,Muni,tot_pear
504,16A0504,Fundão,75
1001,16B1001,Alcobaça,845
1101,16B1101,Alenquer,86
1102,16B1102,Arruda dos Vinhos,31
1005,16B1005,Bombarral,1936
1104,16B1104,Cadaval,2261
1006,16B1006,Caldas da Rainha,1104
1108,16B1108,Lourinhã,461
1011,16B1011,Nazaré,68
1012,16B1012,Óbidos,669
1014,16B1014,Peniche,33
1112,16B1112,Sobral de Monte Agraço,9
1113,16B1113,Torres Vedras,955
1401,16C1401,Abrantes,6
1402,16C1402,Alcanena,2
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,30
1421,16C1421,Ourém,12
1417,16C1417,Sardoal,3
1418,16C1418,Tomar,13
1419,16C1419,Torres Novas,4
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,4
1109,1711109,Mafra,592
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,21
1114,1711114,Vila Franca de Xira,13
1502,1721502,Alcochete,0
1503,1721503,Almada,1
1504,1721504,Barreiro,0
1506,1721506,Moita,1
1507,1721507,Montijo,11
1508,1721508,Palmela,21
1510,1721510,Seixal,1
1511,1721511,Sesimbra,7
1512,1721512,Setúbal,4
1501,1811501,Alcácer do Sal,0
1505,1811505,Grândola,2
211,1810211,Odemira,3
1509,1811509,Santiago do Cacém,5
1513,1811513,Sines,2
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,1
1203,1821203,Avis,0
1204,1821204,Campo Maior,0
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,1
1207,1821207,Elvas,9
1208,1821208,Fronteira,0
1209,1821209,Gavião,2
1210,1821210,Marvão,1
1211,1821211,Monforte,0
707,1820707,Mora,1
1212,1821212,Nisa,4
1213,1821213,Ponte de Sor,22
1214,1821214,Portalegre,4
701,1830701,Alandroal,20
702,1830702,Arraiolos,0
703,1830703,Borba,0
704,1830704,Estremoz,0
705,1830705,Évora,3
706,1830706,Montemor-o-Novo,2
708,1830708,Mourão,0
709,1830709,Portel,10
710,1830710,Redondo,0
711,1830711,Reguengos de Monsaraz,2
1215,1831215,Sousel,0
712,1830712,Vendas Novas,2
713,1830713,Viana do Alentejo,0
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,0
202,1840202,Almodôvar,1
203,1840203,Alvito,0
204,1840204,Barrancos,0
205,1840205,Beja,2
206,1840206,Castro Verde,1
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,90
209,1840209,Mértola,0
210,1840210,Moura,0
212,1840212,Ourique,0
213,1840213,Serpa,0
214,1840214,Vidigueira,0
1403,1851403,Almeirim,0
1404,1851404,Alpiarça,1
1103,1851103,Azambuja,49
1405,1851405,Benavente,1
1406,1851406,Cartaxo,13
1407,1851407,Chamusca,0
1409,1851409,Coruche,4
1412,1851412,Golegã,0
1414,1851414,Rio Maior,107
1415,1851415,Salvaterra de Magos,1
1416,1851416,Santarém,26
801,1500801,Albufeira,1
802,1500802,Alcoutim,1
803,1500803,Aljezur,1
804,1500804,Castro Marim,1
805,1500805,Faro,1
806,1500806,Lagoa,0
807,1500807,Lagos,2
808,1500808,Loulé,3
809,1500809,Monchique,1
810,1500810,Olhão,2
811,1500811,Portimão,1
812,1500812,São Brás de Alportel,0
813,1500813,Silves,1
814,1500814,Tavira,8
815,1500815,Vila do Bispo,0
816,1500816,Vila Real de Santo António,0
