Muni_ID,ID,Muni,tot_apple
505,1690505,Idanha-a-Nova,10
507,1690507,Penamacor,7
511,1690511,Vila Velha de Ródão,5
501,16A0501,Belmonte,131
503,16A0503,Covilhã,164
504,16A0504,Fundão,183
1001,16B1001,Alcobaça,1506
1101,16B1101,Alenquer,44
1102,16B1102,Arruda dos Vinhos,13
1005,16B1005,Bombarral,369
1104,16B1104,Cadaval,204
1006,16B1006,Caldas da Rainha,953
1108,16B1108,Lourinhã,75
1011,16B1011,Nazaré,74
1012,16B1012,Óbidos,491
1014,16B1014,Peniche,14
1112,16B1112,Sobral de Monte Agraço,8
1113,16B1113,Torres Vedras,111
1401,16C1401,Abrantes,11
1402,16C1402,Alcanena,1
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,1
1411,16C1411,Ferreira do Zêzere,50
1421,16C1421,Ourém,17
1417,16C1417,Sardoal,7
1418,16C1418,Tomar,15
1419,16C1419,Torres Novas,2
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,3
1109,1711109,Mafra,46
1116,1711116,Odivelas,1
1110,1711110,Oeiras,1
1111,1711111,Sintra,46
1114,1711114,Vila Franca de Xira,12
1502,1721502,Alcochete,0
1503,1721503,Almada,1
1504,1721504,Barreiro,0
1506,1721506,Moita,1
1507,1721507,Montijo,8
1508,1721508,Palmela,70
1510,1721510,Seixal,1
1511,1721511,Sesimbra,16
1512,1721512,Setúbal,10
1501,1811501,Alcácer do Sal,1
1505,1811505,Grândola,2
211,1810211,Odemira,5
1509,1811509,Santiago do Cacém,6
1513,1811513,Sines,2
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,0
1203,1821203,Avis,0
1204,1821204,Campo Maior,0
1205,1821205,Castelo de Vide,2
1206,1821206,Crato,1
1207,1821207,Elvas,17
1208,1821208,Fronteira,0
1209,1821209,Gavião,3
1210,1821210,Marvão,2
1211,1821211,Monforte,0
707,1820707,Mora,1
1212,1821212,Nisa,2
1213,1821213,Ponte de Sor,5
1214,1821214,Portalegre,35
701,1830701,Alandroal,191
702,1830702,Arraiolos,0
703,1830703,Borba,0
704,1830704,Estremoz,0
705,1830705,Évora,1
706,1830706,Montemor-o-Novo,2
708,1830708,Mourão,0
709,1830709,Portel,0
710,1830710,Redondo,0
711,1830711,Reguengos de Monsaraz,0
1215,1831215,Sousel,1
712,1830712,Vendas Novas,4
713,1830713,Viana do Alentejo,0
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,0
202,1840202,Almodôvar,4
203,1840203,Alvito,1
204,1840204,Barrancos,0
205,1840205,Beja,1
206,1840206,Castro Verde,1
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,10
209,1840209,Mértola,1
210,1840210,Moura,0
212,1840212,Ourique,0
213,1840213,Serpa,0
214,1840214,Vidigueira,0
1403,1851403,Almeirim,1
1404,1851404,Alpiarça,2
1103,1851103,Azambuja,20
1405,1851405,Benavente,6
1406,1851406,Cartaxo,4
1407,1851407,Chamusca,0
1409,1851409,Coruche,8
1412,1851412,Golegã,0
1414,1851414,Rio Maior,23
1415,1851415,Salvaterra de Magos,6
1416,1851416,Santarém,22
801,1500801,Albufeira,0
802,1500802,Alcoutim,0
803,1500803,Aljezur,1
804,1500804,Castro Marim,0
805,1500805,Faro,1
806,1500806,Lagoa,0
807,1500807,Lagos,1
808,1500808,Loulé,1
809,1500809,Monchique,4
810,1500810,Olhão,0
811,1500811,Portimão,1
812,1500812,São Brás de Alportel,0
813,1500813,Silves,0
814,1500814,Tavira,2
815,1500815,Vila do Bispo,0
816,1500816,Vila Real de Santo António,0
