Muni_ID,ID,Muni,tot_tempo_past
1405,1851405,Benavente,682
1406,1851406,Cartaxo,24
1407,1851407,Chamusca,123
1409,1851409,Coruche,4411
1412,1851412,Golegã,7
1414,1851414,Rio Maior,97
1415,1851415,Salvaterra de Magos,1
1416,1851416,Santarém,301
801,1500801,Albufeira,14
802,1500802,Alcoutim,15
803,1500803,Aljezur,158
804,1500804,Castro Marim,62
805,1500805,Faro,0
806,1500806,Lagoa,16
807,1500807,Lagos,36
808,1500808,Loulé,362
809,1500809,Monchique,0
810,1500810,Olhão,0
811,1500811,Portimão,46
812,1500812,São Brás de Alportel,0
813,1500813,Silves,91
814,1500814,Tavira,6
815,1500815,Vila do Bispo,0
816,1500816,Vila Real de Santo António,0
