Muni_ID,ID,Muni,tot_oat
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,12
115,1610115,Ovar,2
117,1610117,Sever do Vouga,7
118,1610118,Vagos,40
602,1620602,Cantanhede,271
603,1620603,Coimbra,107
604,1620604,Condeixa-a-Nova,156
605,1620605,Figueira da Foz,163
608,1620608,Mira,7
610,1620610,Montemor-o-Velho,227
613,1620613,Penacova,174
615,1620615,Soure,288
1004,1631004,Batalha,2
1009,1631009,Leiria,50
1010,1631010,Marinha Grande,2
1015,1631015,Pombal,387
1016,1631016,Porto de Mós,19
1002,1641002,Alvaiázere,27
1003,1641003,Ansião,153
601,1640601,Arganil,43
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,8
606,1640606,Góis,0
607,1640607,Lousã,4
609,1640609,Miranda do Corvo,1
611,1640611,Oliveira do Hospital,40
612,1640612,Pampilhosa da Serra,0
1013,1641013,Pedrógão Grande,19
614,1640614,Penela,81
616,1640616,Tábua,143
617,1640617,Vila Nova de Poiares,82
901,1650901,Aguiar da Beira,8
1802,1651802,Carregal do Sal,4
1803,1651803,Castro Daire,25
1806,1651806,Mangualde,59
1808,1651808,Mortágua,201
1809,1651809,Nelas,1
1810,1651810,Oliveira de Frades,3
1811,1651811,Penalva do Castelo,9
1814,1651814,Santa Comba Dão,76
1816,1651816,São Pedro do Sul,30
1817,1651817,Sátão,40
1821,1651821,Tondela,30
1822,1651822,Vila Nova de Paiva,4
1823,1651823,Viseu,58
1824,1651824,Vouzela,6
1413,1661413,Mação,24
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,41
509,1660509,Sertã,4
510,1660510,Vila de Rei,7
905,1670905,Fornos de Algodres,0
906,1670906,Gouveia,43
912,1670912,Seia,19
902,1680902,Almeida,47
903,1680903,Celorico da Beira,228
904,1680904,Figueira de Castelo Rodrigo,1229
907,1680907,Guarda,196
908,1680908,Manteigas,0
909,1680909,Mêda,209
910,1680910,Pinhel,123
911,1680911,Sabugal,67
913,1680913,Trancoso,179
502,1690502,Castelo Branco,489
505,1690505,Idanha-a-Nova,1571
507,1690507,Penamacor,828
511,1690511,Vila Velha de Ródão,12
501,16A0501,Belmonte,109
503,16A0503,Covilhã,483
504,16A0504,Fundão,1049
1001,16B1001,Alcobaça,102
1101,16B1101,Alenquer,196
1102,16B1102,Arruda dos Vinhos,238
1005,16B1005,Bombarral,29
1104,16B1104,Cadaval,52
1006,16B1006,Caldas da Rainha,38
1108,16B1108,Lourinhã,107
1011,16B1011,Nazaré,2
1012,16B1012,Óbidos,25
1014,16B1014,Peniche,25
1112,16B1112,Sobral de Monte Agraço,134
1113,16B1113,Torres Vedras,368
1401,16C1401,Abrantes,317
1402,16C1402,Alcanena,15
1408,16C1408,Constância,8
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,11
1421,16C1421,Ourém,55
1417,16C1417,Sardoal,11
1418,16C1418,Tomar,66
1419,16C1419,Torres Novas,155
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,10
1106,1711106,Lisboa,0
1107,1711107,Loures,127
1109,1711109,Mafra,446
1116,1711116,Odivelas,0
1110,1711110,Oeiras,94
1111,1711111,Sintra,320
1114,1711114,Vila Franca de Xira,235
1502,1721502,Alcochete,0
1503,1721503,Almada,21
1504,1721504,Barreiro,0
1506,1721506,Moita,59
1507,1721507,Montijo,79
1508,1721508,Palmela,91
1510,1721510,Seixal,1
1511,1721511,Sesimbra,10
1512,1721512,Setúbal,23
1501,1811501,Alcácer do Sal,1122
1505,1811505,Grândola,371
211,1810211,Odemira,1818
1509,1811509,Santiago do Cacém,1076
1513,1811513,Sines,241
1201,1821201,Alter do Chão,904
1202,1821202,Arronches,1884
1203,1821203,Avis,877
1204,1821204,Campo Maior,1126
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,176
1207,1821207,Elvas,2702
1208,1821208,Fronteira,856
1209,1821209,Gavião,20
1210,1821210,Marvão,0
1211,1821211,Monforte,1268
707,1820707,Mora,1060
1212,1821212,Nisa,52
1213,1821213,Ponte de Sor,1264
1214,1821214,Portalegre,433
701,1830701,Alandroal,1286
702,1830702,Arraiolos,1602
703,1830703,Borba,395
704,1830704,Estremoz,1303
705,1830705,Évora,3827
706,1830706,Montemor-o-Novo,1645
708,1830708,Mourão,767
709,1830709,Portel,893
710,1830710,Redondo,1022
711,1830711,Reguengos de Monsaraz,2469
1215,1831215,Sousel,437
712,1830712,Vendas Novas,353
713,1830713,Viana do Alentejo,1591
714,1830714,Vila Viçosa,354
201,1840201,Aljustrel,2053
202,1840202,Almodôvar,2281
203,1840203,Alvito,488
204,1840204,Barrancos,0
205,1840205,Beja,3487
206,1840206,Castro Verde,3548
207,1840207,Cuba,396
208,1840208,Ferreira do Alentejo,551
209,1840209,Mértola,4506
210,1840210,Moura,1588
212,1840212,Ourique,1865
213,1840213,Serpa,2589
214,1840214,Vidigueira,600
1403,1851403,Almeirim,16
1404,1851404,Alpiarça,14
1103,1851103,Azambuja,193
1405,1851405,Benavente,227
1406,1851406,Cartaxo,47
1407,1851407,Chamusca,303
1409,1851409,Coruche,436
1412,1851412,Golegã,98
1414,1851414,Rio Maior,167
1415,1851415,Salvaterra de Magos,49
1416,1851416,Santarém,1086
801,1500801,Albufeira,6
802,1500802,Alcoutim,352
803,1500803,Aljezur,461
804,1500804,Castro Marim,102
805,1500805,Faro,29
806,1500806,Lagoa,18
807,1500807,Lagos,19
808,1500808,Loulé,539
809,1500809,Monchique,73
810,1500810,Olhão,18
811,1500811,Portimão,0
812,1500812,São Brás de Alportel,42
813,1500813,Silves,474
814,1500814,Tavira,622
815,1500815,Vila do Bispo,263
816,1500816,Vila Real de Santo António,36
