Muni_ID,ID,Muni,tot_wheat
705,1830705,Évora,12782
706,1830706,Montemor-o-Novo,3120
708,1830708,Mourão,2321
709,1830709,Portel,3089
710,1830710,Redondo,1679
711,1830711,Reguengos de Monsaraz,4092
1215,1831215,Sousel,2740
712,1830712,Vendas Novas,337
713,1830713,Viana do Alentejo,1549
714,1830714,Vila Viçosa,1046
201,1840201,Aljustrel,12503
202,1840202,Almodôvar,1442
203,1840203,Alvito,1988
204,1840204,Barrancos,0
205,1840205,Beja,31372
206,1840206,Castro Verde,6471
207,1840207,Cuba,3432
208,1840208,Ferreira do Alentejo,11317
209,1840209,Mértola,5659
210,1840210,Moura,6849
212,1840212,Ourique,2852
213,1840213,Serpa,10335
214,1840214,Vidigueira,4945
1403,1851403,Almeirim,117
1404,1851404,Alpiarça,157
1103,1851103,Azambuja,451
1405,1851405,Benavente,930
1406,1851406,Cartaxo,355
1407,1851407,Chamusca,213
1409,1851409,Coruche,263
1412,1851412,Golegã,98
1414,1851414,Rio Maior,317
1415,1851415,Salvaterra de Magos,242
1416,1851416,Santarém,3274
801,1500801,Albufeira,37
802,1500802,Alcoutim,191
803,1500803,Aljezur,389
804,1500804,Castro Marim,63
805,1500805,Faro,22
806,1500806,Lagoa,2
807,1500807,Lagos,227
808,1500808,Loulé,276
809,1500809,Monchique,11
810,1500810,Olhão,2
811,1500811,Portimão,68
812,1500812,São Brás de Alportel,4
813,1500813,Silves,546
814,1500814,Tavira,584
815,1500815,Vila do Bispo,425
816,1500816,Vila Real de Santo António,51
