Muni_ID,ID,Muni,tot_olive
1418,16C1418,Tomar,2543
1419,16C1419,Torres Novas,3219
1420,16C1420,Vila Nova da Barquinha,94
1115,1711115,Amadora,9
1105,1711105,Cascais,45
1106,1711106,Lisboa,1
1107,1711107,Loures,146
1109,1711109,Mafra,15
1116,1711116,Odivelas,8
1110,1711110,Oeiras,6
1111,1711111,Sintra,13
1114,1711114,Vila Franca de Xira,31
1502,1721502,Alcochete,0
1503,1721503,Almada,8
1504,1721504,Barreiro,18
1506,1721506,Moita,1
1507,1721507,Montijo,94
1508,1721508,Palmela,88
1510,1721510,Seixal,19
1511,1721511,Sesimbra,8
1512,1721512,Setúbal,118
1501,1811501,Alcácer do Sal,2269
1505,1811505,Grândola,992
211,1810211,Odemira,825
1509,1811509,Santiago do Cacém,3159
1513,1811513,Sines,10
1201,1821201,Alter do Chão,3284
1202,1821202,Arronches,1785
1203,1821203,Avis,7626
1204,1821204,Campo Maior,4127
1205,1821205,Castelo de Vide,1869
1206,1821206,Crato,2147
1207,1821207,Elvas,5460
1208,1821208,Fronteira,3065
1209,1821209,Gavião,942
1210,1821210,Marvão,1427
1211,1821211,Monforte,1691
707,1820707,Mora,1328
1212,1821212,Nisa,4094
1213,1821213,Ponte de Sor,2484
1214,1821214,Portalegre,3938
701,1830701,Alandroal,2371
702,1830702,Arraiolos,1180
703,1830703,Borba,1191
704,1830704,Estremoz,4291
705,1830705,Évora,3353
706,1830706,Montemor-o-Novo,2521
708,1830708,Mourão,1420
709,1830709,Portel,4203
710,1830710,Redondo,2601
711,1830711,Reguengos de Monsaraz,2527
1215,1831215,Sousel,5568
712,1830712,Vendas Novas,115
713,1830713,Viana do Alentejo,1230
714,1830714,Vila Viçosa,1431
201,1840201,Aljustrel,3148
202,1840202,Almodôvar,548
203,1840203,Alvito,1518
204,1840204,Barrancos,661
205,1840205,Beja,10093
206,1840206,Castro Verde,1151
207,1840207,Cuba,1169
208,1840208,Ferreira do Alentejo,9850
209,1840209,Mértola,966
210,1840210,Moura,19304
212,1840212,Ourique,513
213,1840213,Serpa,23189
214,1840214,Vidigueira,5448
1403,1851403,Almeirim,53
1404,1851404,Alpiarça,58
1103,1851103,Azambuja,233
1405,1851405,Benavente,55
1406,1851406,Cartaxo,215
1407,1851407,Chamusca,520
1409,1851409,Coruche,480
1412,1851412,Golegã,250
1414,1851414,Rio Maior,1053
1415,1851415,Salvaterra de Magos,25
1416,1851416,Santarém,5753
801,1500801,Albufeira,381
802,1500802,Alcoutim,1035
803,1500803,Aljezur,4
804,1500804,Castro Marim,761
805,1500805,Faro,475
806,1500806,Lagoa,69
807,1500807,Lagos,39
808,1500808,Loulé,2120
809,1500809,Monchique,65
810,1500810,Olhão,357
811,1500811,Portimão,114
812,1500812,São Brás de Alportel,554
813,1500813,Silves,743
814,1500814,Tavira,1597
815,1500815,Vila do Bispo,1
816,1500816,Vila Real de Santo António,85
