Muni_ID,ID,Muni,tot_otherpulses
1815,1171815,São João da Pesqueira,1
1818,1171818,Sernancelhe,0
1819,1171819,Tabuaço,0
1820,1171820,Tarouca,0
409,1170409,Torre de Moncorvo,1
410,1170410,Vila Flor,0
914,1170914,Vila Nova de Foz Côa,0
1714,1171714,Vila Real,6
401,1180401,Alfândega da Fé,1
1702,1181702,Boticas,0
402,1180402,Bragança,4
1703,1181703,Chaves,3
405,1180405,Macedo de Cavaleiros,6
406,1180406,Miranda do Douro,11
407,1180407,Mirandela,5
408,1180408,Mogadouro,76
1706,1181706,Montalegre,0
1707,1181707,Murça,0
1712,1181712,Valpaços,3
1713,1181713,Vila Pouca de Aguiar,0
411,1180411,Vimioso,9
412,1180412,Vinhais,0
101,1610101,Águeda,21
102,1610102,Albergaria-a-Velha,6
103,1610103,Anadia,51
105,1610105,Aveiro,7
108,1610108,Estarreja,5
110,1610110,Ílhavo,35
111,1610111,Mealhada,11
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,9
115,1610115,Ovar,0
117,1610117,Sever do Vouga,2
118,1610118,Vagos,2
602,1620602,Cantanhede,49
603,1620603,Coimbra,55
604,1620604,Condeixa-a-Nova,56
605,1620605,Figueira da Foz,14
608,1620608,Mira,1
610,1620610,Montemor-o-Velho,23
613,1620613,Penacova,19
615,1620615,Soure,88
1004,1631004,Batalha,14
1009,1631009,Leiria,57
1010,1631010,Marinha Grande,2
1015,1631015,Pombal,101
1016,1631016,Porto de Mós,61
1002,1641002,Alvaiázere,135
1003,1641003,Ansião,180
601,1640601,Arganil,4
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,4
606,1640606,Góis,2
607,1640607,Lousã,19
609,1640609,Miranda do Corvo,28
611,1640611,Oliveira do Hospital,20
612,1640612,Pampilhosa da Serra,1
1013,1641013,Pedrógão Grande,4
614,1640614,Penela,109
616,1640616,Tábua,14
617,1640617,Vila Nova de Poiares,23
901,1650901,Aguiar da Beira,1
1802,1651802,Carregal do Sal,16
1803,1651803,Castro Daire,1
1806,1651806,Mangualde,17
1808,1651808,Mortágua,21
1809,1651809,Nelas,9
1810,1651810,Oliveira de Frades,0
1811,1651811,Penalva do Castelo,9
1814,1651814,Santa Comba Dão,40
1816,1651816,São Pedro do Sul,7
1817,1651817,Sátão,4
1821,1651821,Tondela,49
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,44
1824,1651824,Vouzela,1
1413,1661413,Mação,0
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,0
509,1660509,Sertã,2
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,1
906,1670906,Gouveia,3
912,1670912,Seia,7
902,1680902,Almeida,1
903,1680903,Celorico da Beira,5
904,1680904,Figueira de Castelo Rodrigo,14
907,1680907,Guarda,11
908,1680908,Manteigas,0
909,1680909,Mêda,12
910,1680910,Pinhel,9
911,1680911,Sabugal,3
913,1680913,Trancoso,8
502,1690502,Castelo Branco,93
505,1690505,Idanha-a-Nova,76
507,1690507,Penamacor,14
511,1690511,Vila Velha de Ródão,1
501,16A0501,Belmonte,2
503,16A0503,Covilhã,1
504,16A0504,Fundão,47
1001,16B1001,Alcobaça,144
1101,16B1101,Alenquer,15
1102,16B1102,Arruda dos Vinhos,8
1005,16B1005,Bombarral,2
1104,16B1104,Cadaval,2
1006,16B1006,Caldas da Rainha,25
1108,16B1108,Lourinhã,63
1011,16B1011,Nazaré,4
1012,16B1012,Óbidos,10
1014,16B1014,Peniche,26
1112,16B1112,Sobral de Monte Agraço,17
1113,16B1113,Torres Vedras,56
1401,16C1401,Abrantes,4
1402,16C1402,Alcanena,5
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,40
1421,16C1421,Ourém,113
1417,16C1417,Sardoal,2
1418,16C1418,Tomar,24
1419,16C1419,Torres Novas,37
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,4
1109,1711109,Mafra,44
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,16
1114,1711114,Vila Franca de Xira,3
1502,1721502,Alcochete,2
1503,1721503,Almada,0
1504,1721504,Barreiro,0
1506,1721506,Moita,0
1507,1721507,Montijo,11
1508,1721508,Palmela,17
1510,1721510,Seixal,0
1511,1721511,Sesimbra,0
1512,1721512,Setúbal,0
1501,1811501,Alcácer do Sal,0
1505,1811505,Grândola,20
211,1810211,Odemira,198
1509,1811509,Santiago do Cacém,585
1513,1811513,Sines,168
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,8
1203,1821203,Avis,0
1204,1821204,Campo Maior,0
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,0
1207,1821207,Elvas,85
1208,1821208,Fronteira,7
1209,1821209,Gavião,1
1210,1821210,Marvão,0
1211,1821211,Monforte,0
707,1820707,Mora,0
1212,1821212,Nisa,2
1213,1821213,Ponte de Sor,2
1214,1821214,Portalegre,0
701,1830701,Alandroal,29
702,1830702,Arraiolos,0
703,1830703,Borba,0
704,1830704,Estremoz,14
705,1830705,Évora,248
706,1830706,Montemor-o-Novo,7
708,1830708,Mourão,0
709,1830709,Portel,0
710,1830710,Redondo,210
711,1830711,Reguengos de Monsaraz,52
1215,1831215,Sousel,0
712,1830712,Vendas Novas,0
713,1830713,Viana do Alentejo,52
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,0
202,1840202,Almodôvar,4
203,1840203,Alvito,0
204,1840204,Barrancos,0
205,1840205,Beja,341
206,1840206,Castro Verde,0
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,288
209,1840209,Mértola,0
210,1840210,Moura,0
212,1840212,Ourique,38
213,1840213,Serpa,160
214,1840214,Vidigueira,17
1403,1851403,Almeirim,0
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,1
1405,1851405,Benavente,0
1406,1851406,Cartaxo,0
1407,1851407,Chamusca,0
1409,1851409,Coruche,0
1412,1851412,Golegã,0
1414,1851414,Rio Maior,13
1415,1851415,Salvaterra de Magos,1
1416,1851416,Santarém,9
801,1500801,Albufeira,3
802,1500802,Alcoutim,72
803,1500803,Aljezur,13
804,1500804,Castro Marim,33
805,1500805,Faro,0
806,1500806,Lagoa,1
807,1500807,Lagos,51
808,1500808,Loulé,24
809,1500809,Monchique,6
810,1500810,Olhão,0
811,1500811,Portimão,5
812,1500812,São Brás de Alportel,16
813,1500813,Silves,15
814,1500814,Tavira,131
815,1500815,Vila do Bispo,40
816,1500816,Vila Real de Santo António,6
