Muni_ID,ID,Muni,tot_for_roots
501,16A0501,Belmonte,137.2
503,16A0503,Covilhã,240.8
504,16A0504,Fundão,533.8
1001,16B1001,Alcobaça,54.6
1101,16B1101,Alenquer,57.6
1102,16B1102,Arruda dos Vinhos,21.8
1005,16B1005,Bombarral,13.6
1104,16B1104,Cadaval,52.4
1006,16B1006,Caldas da Rainha,54.6
1108,16B1108,Lourinhã,55.4
1011,16B1011,Nazaré,15.8
1012,16B1012,Óbidos,23
1014,16B1014,Peniche,18.6
1112,16B1112,Sobral de Monte Agraço,35.2
1113,16B1113,Torres Vedras,143.8
1401,16C1401,Abrantes,86.4
1402,16C1402,Alcanena,17.6
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0.4
1411,16C1411,Ferreira do Zêzere,4.4
1421,16C1421,Ourém,43
1417,16C1417,Sardoal,2.4
1418,16C1418,Tomar,19.6
1419,16C1419,Torres Novas,25
1420,16C1420,Vila Nova da Barquinha,0.4
1115,1711115,Amadora,0
1105,1711105,Cascais,9.2
1106,1711106,Lisboa,0
1107,1711107,Loures,43.4
1109,1711109,Mafra,138.6
1116,1711116,Odivelas,5.2
1110,1711110,Oeiras,0
1111,1711111,Sintra,261
1114,1711114,Vila Franca de Xira,71.4
1502,1721502,Alcochete,4.6
1503,1721503,Almada,5.6
1504,1721504,Barreiro,0
1506,1721506,Moita,29.2
1507,1721507,Montijo,88.2
1508,1721508,Palmela,115.8
1510,1721510,Seixal,7.2
1511,1721511,Sesimbra,23.4
1512,1721512,Setúbal,40.6
1501,1811501,Alcácer do Sal,227.6
1505,1811505,Grândola,278
211,1810211,Odemira,160.6
1509,1811509,Santiago do Cacém,126
1513,1811513,Sines,12.4
1201,1821201,Alter do Chão,135.8
1202,1821202,Arronches,150.4
1203,1821203,Avis,179
1204,1821204,Campo Maior,13
1205,1821205,Castelo de Vide,298.2
1206,1821206,Crato,123
1207,1821207,Elvas,88
1208,1821208,Fronteira,42.4
1209,1821209,Gavião,162
1210,1821210,Marvão,76.4
1211,1821211,Monforte,65.6
707,1820707,Mora,233.2
1212,1821212,Nisa,313
1213,1821213,Ponte de Sor,331.2
1214,1821214,Portalegre,297.4
701,1830701,Alandroal,34
702,1830702,Arraiolos,131.4
703,1830703,Borba,11.6
704,1830704,Estremoz,111.4
705,1830705,Évora,318
706,1830706,Montemor-o-Novo,642
708,1830708,Mourão,13.2
709,1830709,Portel,32
710,1830710,Redondo,188.4
711,1830711,Reguengos de Monsaraz,46.8
1215,1831215,Sousel,62.8
712,1830712,Vendas Novas,72
713,1830713,Viana do Alentejo,76.8
714,1830714,Vila Viçosa,20.2
201,1840201,Aljustrel,22
202,1840202,Almodôvar,35.4
203,1840203,Alvito,14.8
204,1840204,Barrancos,0
205,1840205,Beja,119.6
206,1840206,Castro Verde,32.4
207,1840207,Cuba,10.2
208,1840208,Ferreira do Alentejo,271
209,1840209,Mértola,51.6
210,1840210,Moura,44.2
212,1840212,Ourique,34.2
213,1840213,Serpa,161.4
214,1840214,Vidigueira,207.6
1403,1851403,Almeirim,0
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,20.8
1405,1851405,Benavente,234.8
1406,1851406,Cartaxo,33
1407,1851407,Chamusca,131.2
1409,1851409,Coruche,84.6
1412,1851412,Golegã,2.8
1414,1851414,Rio Maior,29
1415,1851415,Salvaterra de Magos,1.4
1416,1851416,Santarém,72
801,1500801,Albufeira,1
802,1500802,Alcoutim,56.4
803,1500803,Aljezur,20.8
804,1500804,Castro Marim,35.2
805,1500805,Faro,1.2
806,1500806,Lagoa,0.6
807,1500807,Lagos,6.4
808,1500808,Loulé,35
809,1500809,Monchique,7.4
810,1500810,Olhão,0
811,1500811,Portimão,1.6
812,1500812,São Brás de Alportel,0
813,1500813,Silves,8
814,1500814,Tavira,4.8
815,1500815,Vila do Bispo,0
816,1500816,Vila Real de Santo António,0
