Muni_ID,ID,Muni,sludge99_N,sludge99_nha
1311,1151311,Penafiel,208.1660739,0.05310359
1813,1151813,Resende,15.06060597,0.003523773
1709,1151709,Ribeira de Pena,0.376472562,0.000117099
104,1160104,Arouca,0,0
113,1160113,Oliveira de Azeméis,39.70678254,0.020310375
109,1160109,Santa Maria da Feira,0.298111757,0.000174436
116,1160116,São João da Madeira,0,0
119,1160119,Vale de Cambra,0,0
1701,1171701,Alijó,11.78989412,0.001278592
1801,1171801,Armamar,11.92447028,0.002659931
403,1170403,Carrazeda de Ansiães,1.022097453,0.000128614
404,1170404,Freixo de Espada à Cinta,0,0
1805,1171805,Lamego,40.67096114,0.006601357
1704,1171704,Mesão Frio,0,0
1807,1171807,Moimenta da Beira,43.11547755,0.007703319
1812,1171812,Penedono,0,0
1708,1171708,Peso da Régua,95.54566988,0.022995348
1710,1171710,Sabrosa,5.880467344,0.00124244
1711,1171711,Santa Marta de Penaguião,0,0
1815,1171815,São João da Pesqueira,21.07394598,0.001667902
1818,1171818,Sernancelhe,0,0
1819,1171819,Tabuaço,8.818997521,0.001954132
1820,1171820,Tarouca,27.93733037,0.012780115
409,1170409,Torre de Moncorvo,83.38611718,0.004857066
410,1170410,Vila Flor,0,0
914,1170914,Vila Nova de Foz Côa,0,0
1714,1171714,Vila Real,200.2765889,0.018054322
401,1180401,Alfândega da Fé,0,0
1702,1181702,Boticas,0,0
402,1180402,Bragança,77.40684708,0.001752039
1703,1181703,Chaves,100.2524286,0.003818267
405,1180405,Macedo de Cavaleiros,50.93452306,0.002115397
406,1180406,Miranda do Douro,0,0
407,1180407,Mirandela,130.6581244,0.004673372
408,1180408,Mogadouro,0,0
1706,1181706,Montalegre,4.306437267,0.000125125
1707,1181707,Murça,9.943304719,0.002033812
1712,1181712,Valpaços,15.70282386,0.000599322
1713,1181713,Vila Pouca de Aguiar,0,0
411,1180411,Vimioso,0.298111757,2.0237E-05
412,1180412,Vinhais,0.350920125,1.53663E-05
101,1610101,Águeda,0,0
102,1610102,Albergaria-a-Velha,0,0
103,1610103,Anadia,0.03807313,7.38137E-06
105,1610105,Aveiro,424.3441994,0.146224741
108,1610108,Estarreja,0,0
110,1610110,Ílhavo,320.1813963,0.343542271
111,1610111,Mealhada,0,0
112,1610112,Murtosa,0,0
114,1610114,Oliveira do Bairro,5.195662051,0.00209587
115,1610115,Ovar,5.715057907,0.003007925
117,1610117,Sever do Vouga,0,0
118,1610118,Vagos,0,0
602,1620602,Cantanhede,0,0
603,1620603,Coimbra,554.6156303,0.085430627
604,1620604,Condeixa-a-Nova,37.81760575,0.012893831
605,1620605,Figueira da Foz,220.6027002,0.032513294
608,1620608,Mira,0,0
610,1620610,Montemor-o-Velho,0.851747877,9.35165E-05
613,1620613,Penacova,12.94656773,0.009815442
615,1620615,Soure,12.12888977,0.001866557
1004,1631004,Batalha,0,0
1009,1631009,Leiria,514.502564,0.061668772
1010,1631010,Marinha Grande,0,0
1015,1631015,Pombal,132.3019978,0.017367025
1016,1631016,Porto de Mós,0,0
1002,1641002,Alvaiázere,0,0
1003,1641003,Ansião,9.709925801,0.002996891
601,1640601,Arganil,0,0
1007,1641007,Castanheira de Pêra,0,0
1008,1641008,Figueiró dos Vinhos,0,0
606,1640606,Góis,0,0
607,1640607,Lousã,2.470068844,0.004273476
609,1640609,Miranda do Corvo,0,0
611,1640611,Oliveira do Hospital,20.7826482,0.004962428
612,1640612,Pampilhosa da Serra,0,0
1013,1641013,Pedrógão Grande,0,0
614,1640614,Penela,0,0
616,1640616,Tábua,0,0
617,1640617,Vila Nova de Poiares,0,0
901,1650901,Aguiar da Beira,0,0
1802,1651802,Carregal do Sal,0,0
1803,1651803,Castro Daire,0,0
1806,1651806,Mangualde,0,0
1808,1651808,Mortágua,0,0
1809,1651809,Nelas,0,0
1810,1651810,Oliveira de Frades,0,0
1811,1651811,Penalva do Castelo,0,0
1814,1651814,Santa Comba Dão,0.924998195,0.000594472
1816,1651816,São Pedro do Sul,52.21214488,0.015562487
1817,1651817,Sátão,0,0
1821,1651821,Tondela,7.921255258,0.001354292
1822,1651822,Vila Nova de Paiva,0,0
1823,1651823,Viseu,2.408742997,0.000295805
1824,1651824,Vouzela,0,0
1413,1661413,Mação,0,0
506,1660506,Oleiros,0,0
508,1660508,Proença-a-Nova,0,0
509,1660509,Sertã,0,0
510,1660510,Vila de Rei,0,0
905,1670905,Fornos de Algodres,0,0
906,1670906,Gouveia,0,0
912,1670912,Seia,0,0
902,1680902,Almeida,2.129369693,8.71657E-05
903,1680903,Celorico da Beira,0,0
904,1680904,Figueira de Castelo Rodrigo,0.085174788,2.90313E-06
907,1680907,Guarda,123.8066644,0.004865467
908,1680908,Manteigas,0,0
909,1680909,Mêda,0,0
910,1680910,Pinhel,3.328630704,0.00013814
911,1680911,Sabugal,2.214544481,8.02052E-05
913,1680913,Trancoso,0,0
502,1690502,Castelo Branco,0,0
505,1690505,Idanha-a-Nova,0,0
507,1690507,Penamacor,0,0
511,1690511,Vila Velha de Ródão,0,0
501,16A0501,Belmonte,0.263019744,3.92919E-05
503,16A0503,Covilhã,0.125803161,8.9712E-06
504,16A0504,Fundão,40.11800642,0.00147341
1001,16B1001,Alcobaça,66.94934588,0.006674244
1101,16B1101,Alenquer,155.5725276,0.010507398
1102,16B1102,Arruda dos Vinhos,24.80816655,0.006674244
1005,16B1005,Bombarral,37.60936737,0.006674244
1104,16B1104,Cadaval,43.39593729,0.006674244
1006,16B1006,Caldas da Rainha,358.2109506,0.047850782
1108,16B1108,Lourinhã,89.94672134,0.012323157
1011,16B1011,Nazaré,36.26375953,0.032997051
1012,16B1012,Óbidos,1067.587489,0.234428522
1014,16B1014,Peniche,20.9104078,0.006674244
1112,16B1112,Sobral de Monte Agraço,22.58564315,0.006674244
1113,16B1113,Torres Vedras,210.2356527,0.012544642
1401,16C1401,Abrantes,174.7994061,0.011195043
1402,16C1402,Alcanena,25.86937141,0.006674244
1408,16C1408,Constância,7.007956652,0.006674244
1410,16C1410,Entroncamento,1.17466702,0.006674244
1411,16C1411,Ferreira do Zêzere,26.07627299,0.006674244
1421,16C1421,Ourém,383.2710421,0.058865158
1417,16C1417,Sardoal,9.030252714,0.006674244
1418,16C1418,Tomar,284.3119611,0.035970643
1419,16C1419,Torres Novas,68.7847631,0.006674244
1420,16C1420,Vila Nova da Barquinha,4.618577146,0.006674244
1115,1711115,Amadora,1.955553618,0.006674244
1105,1711105,Cascais,5.451519822,0.010208839
1106,1711106,Lisboa,0,0
1107,1711107,Loures,2272.017527,0.383721927
1109,1711109,Mafra,420.3646467,0.041944187
1116,1711116,Odivelas,2.028970307,0.006674244
1110,1711110,Oeiras,64.66153945,0.06037492
1111,1711111,Sintra,59.90896139,0.007678667
1114,1711114,Vila Franca de Xira,295.1384776,0.030116171
1502,1721502,Alcochete,24.52784828,0.006674244
1503,1721503,Almada,1176.092306,2.186045179
1504,1721504,Barreiro,1.608492908,0.006674244
1506,1721506,Moita,12.90131448,0.006674244
1507,1721507,Montijo,115.3163833,0.006945097
1508,1721508,Palmela,158.4258607,0.006798518
1510,1721510,Seixal,29.5042084,0.029533742
1511,1721511,Sesimbra,1366.893328,0.524920633
1512,1721512,Setúbal,41.44038367,0.006674244
1501,1811501,Alcácer do Sal,0,0
1505,1811505,Grândola,3.819237482,8.49229E-05
211,1810211,Odemira,0,0
1509,1811509,Santiago do Cacém,0,0
1513,1811513,Sines,139.7011316,0.016507282
1201,1821201,Alter do Chão,0,0
1202,1821202,Arronches,3.406991509,0.000129978
1203,1821203,Avis,0,0
1204,1821204,Campo Maior,0,0
1205,1821205,Castelo de Vide,11.43641875,0.000552137
1206,1821206,Crato,4.751049659,0.000183353
1207,1821207,Elvas,71.00511004,0.001235172
1208,1821208,Fronteira,0,0
1209,1821209,Gavião,0.425873939,5.38331E-05
1210,1821210,Marvão,4.684613325,0.000447689
1211,1821211,Monforte,0,0
707,1820707,Mora,0,0
1212,1821212,Nisa,27.25593207,0.001064477
1213,1821213,Ponte de Sor,5.394971054,9.39449E-05
1214,1821214,Portalegre,278.656132,0.009446931
701,1830701,Alandroal,0,0
702,1830702,Arraiolos,0,0
703,1830703,Borba,0,0
704,1830704,Estremoz,0,0
705,1830705,Évora,0,0
706,1830706,Montemor-o-Novo,3.228124455,3.57172E-05
708,1830708,Mourão,0,0
709,1830709,Portel,1440.545002,0.037093987
710,1830710,Redondo,0,0
711,1830711,Reguengos de Monsaraz,0,0
1215,1831215,Sousel,5.962235141,0.000247848
712,1830712,Vendas Novas,0,0
713,1830713,Viana do Alentejo,0,0
714,1830714,Vila Viçosa,0.209529978,1.59691E-05
201,1840201,Aljustrel,0,0
202,1840202,Almodôvar,0,0
203,1840203,Alvito,0.340699151,2.18187E-05
204,1840204,Barrancos,0,0
205,1840205,Beja,1.022097453,1.1261E-05
206,1840206,Castro Verde,204.3939381,0.00428409
207,1840207,Cuba,0,0
208,1840208,Ferreira do Alentejo,0,0
209,1840209,Mértola,0,0
210,1840210,Moura,0,0
212,1840212,Ourique,0,0
213,1840213,Serpa,0,0
214,1840214,Vidigueira,1.326171445,4.66945E-05
1403,1851403,Almeirim,64.62952298,0.00700667
1404,1851404,Alpiarça,64.5332694,0.006674244
1103,1851103,Azambuja,87.75429425,0.007754886
1405,1851405,Benavente,306.2614614,0.008352282
1406,1851406,Cartaxo,53.89452378,0.006674244
1407,1851407,Chamusca,163.032491,0.007367035
1409,1851409,Coruche,473.5750482,0.00701967
1412,1851412,Golegã,42.28066541,0.007571752
1414,1851414,Rio Maior,52.17924296,0.006674244
1415,1851415,Salvaterra de Magos,76.1006599,0.006692521
1416,1851416,Santarém,370.1021798,0.011982846
801,1500801,Albufeira,678.526208,0.127951388
802,1500802,Alcoutim,0,0
803,1500803,Aljezur,25.55243632,0.004790483
804,1500804,Castro Marim,0,0
805,1500805,Faro,0,0
806,1500806,Lagoa,57.51683065,0.031293161
807,1500807,Lagos,170.4960761,0.042827449
808,1500808,Loulé,703.8921115,0.041803784
809,1500809,Monchique,0,0
810,1500810,Olhão,66.8681706,0.015173172
811,1500811,Portimão,0,0
812,1500812,São Brás de Alportel,0,0
813,1500813,Silves,90.14047785,0.005749855
814,1500814,Tavira,193.5761149,0.015789243
815,1500815,Vila do Bispo,6.82931448,0.002672922
816,1500816,Vila Real de Santo António,0,0
