Muni_ID,ID,Muni,tot_pear
504,16A0504,Fundão,122
1001,16B1001,Alcobaça,931
1101,16B1101,Alenquer,129
1102,16B1102,Arruda dos Vinhos,60
1005,16B1005,Bombarral,1934
1104,16B1104,Cadaval,2073
1006,16B1006,Caldas da Rainha,1137
1108,16B1108,Lourinhã,847
1011,16B1011,Nazaré,71
1012,16B1012,Óbidos,715
1014,16B1014,Peniche,46
1112,16B1112,Sobral de Monte Agraço,5
1113,16B1113,Torres Vedras,1145
1401,16C1401,Abrantes,9
1402,16C1402,Alcanena,3
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,2
1411,16C1411,Ferreira do Zêzere,14
1421,16C1421,Ourém,23
1417,16C1417,Sardoal,5
1418,16C1418,Tomar,10
1419,16C1419,Torres Novas,18
1420,16C1420,Vila Nova da Barquinha,1
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,5
1109,1711109,Mafra,643
1116,1711116,Odivelas,1
1110,1711110,Oeiras,0
1111,1711111,Sintra,61
1114,1711114,Vila Franca de Xira,70
1502,1721502,Alcochete,0
1503,1721503,Almada,1
1504,1721504,Barreiro,1
1506,1721506,Moita,3
1507,1721507,Montijo,15
1508,1721508,Palmela,21
1510,1721510,Seixal,2
1511,1721511,Sesimbra,14
1512,1721512,Setúbal,11
1501,1811501,Alcácer do Sal,0
1505,1811505,Grândola,3
211,1810211,Odemira,6
1509,1811509,Santiago do Cacém,10
1513,1811513,Sines,2
1201,1821201,Alter do Chão,1
1202,1821202,Arronches,1
1203,1821203,Avis,0
1204,1821204,Campo Maior,0
1205,1821205,Castelo de Vide,2
1206,1821206,Crato,0
1207,1821207,Elvas,2
1208,1821208,Fronteira,0
1209,1821209,Gavião,4
1210,1821210,Marvão,0
1211,1821211,Monforte,0
707,1820707,Mora,18
1212,1821212,Nisa,7
1213,1821213,Ponte de Sor,9
1214,1821214,Portalegre,10
701,1830701,Alandroal,14
702,1830702,Arraiolos,1
703,1830703,Borba,2
704,1830704,Estremoz,3
705,1830705,Évora,5
706,1830706,Montemor-o-Novo,5
708,1830708,Mourão,0
709,1830709,Portel,6
710,1830710,Redondo,2
711,1830711,Reguengos de Monsaraz,3
1215,1831215,Sousel,0
712,1830712,Vendas Novas,7
713,1830713,Viana do Alentejo,1
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,0
202,1840202,Almodôvar,0
203,1840203,Alvito,0
204,1840204,Barrancos,0
205,1840205,Beja,1
206,1840206,Castro Verde,0
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,66
209,1840209,Mértola,5
210,1840210,Moura,3
212,1840212,Ourique,2
213,1840213,Serpa,11
214,1840214,Vidigueira,0
1403,1851403,Almeirim,3
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,105
1405,1851405,Benavente,4
1406,1851406,Cartaxo,28
1407,1851407,Chamusca,1
1409,1851409,Coruche,7
1412,1851412,Golegã,0
1414,1851414,Rio Maior,38
1415,1851415,Salvaterra de Magos,4
1416,1851416,Santarém,37
801,1500801,Albufeira,2
802,1500802,Alcoutim,1
803,1500803,Aljezur,4
804,1500804,Castro Marim,14
805,1500805,Faro,1
806,1500806,Lagoa,3
807,1500807,Lagos,13
808,1500808,Loulé,19
809,1500809,Monchique,2
810,1500810,Olhão,13
811,1500811,Portimão,5
812,1500812,São Brás de Alportel,0
813,1500813,Silves,6
814,1500814,Tavira,8
815,1500815,Vila do Bispo,1
816,1500816,Vila Real de Santo António,5
