Muni_ID,ID,Muni,tot_apple
409,1170409,Torre de Moncorvo,50
410,1170410,Vila Flor,88
914,1170914,Vila Nova de Foz Côa,16
1714,1171714,Vila Real,80
401,1180401,Alfândega da Fé,23
1702,1181702,Boticas,3
402,1180402,Bragança,166
1703,1181703,Chaves,97
405,1180405,Macedo de Cavaleiros,111
406,1180406,Miranda do Douro,98
407,1180407,Mirandela,65
408,1180408,Mogadouro,85
1706,1181706,Montalegre,7
1707,1181707,Murça,67
1712,1181712,Valpaços,218
1713,1181713,Vila Pouca de Aguiar,13
411,1180411,Vimioso,94
412,1180412,Vinhais,115
101,1610101,Águeda,27
102,1610102,Albergaria-a-Velha,3
103,1610103,Anadia,15
105,1610105,Aveiro,2
108,1610108,Estarreja,1
110,1610110,Ílhavo,0
111,1610111,Mealhada,15
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,5
115,1610115,Ovar,3
117,1610117,Sever do Vouga,1
118,1610118,Vagos,3
602,1620602,Cantanhede,25
603,1620603,Coimbra,36
604,1620604,Condeixa-a-Nova,9
605,1620605,Figueira da Foz,15
608,1620608,Mira,11
610,1620610,Montemor-o-Velho,5
613,1620613,Penacova,6
615,1620615,Soure,76
1004,1631004,Batalha,205
1009,1631009,Leiria,451
1010,1631010,Marinha Grande,11
1015,1631015,Pombal,56
1016,1631016,Porto de Mós,438
1002,1641002,Alvaiázere,8
1003,1641003,Ansião,6
601,1640601,Arganil,20
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,7
606,1640606,Góis,3
607,1640607,Lousã,2
609,1640609,Miranda do Corvo,27
611,1640611,Oliveira do Hospital,16
612,1640612,Pampilhosa da Serra,3
1013,1641013,Pedrógão Grande,5
614,1640614,Penela,6
616,1640616,Tábua,15
617,1640617,Vila Nova de Poiares,4
901,1650901,Aguiar da Beira,154
1802,1651802,Carregal do Sal,31
1803,1651803,Castro Daire,10
1806,1651806,Mangualde,92
1808,1651808,Mortágua,2
1809,1651809,Nelas,32
1810,1651810,Oliveira de Frades,2
1811,1651811,Penalva do Castelo,147
1814,1651814,Santa Comba Dão,27
1816,1651816,São Pedro do Sul,84
1817,1651817,Sátão,66
1821,1651821,Tondela,46
1822,1651822,Vila Nova de Paiva,11
1823,1651823,Viseu,294
1824,1651824,Vouzela,120
1413,1661413,Mação,18
506,1660506,Oleiros,13
508,1660508,Proença-a-Nova,15
509,1660509,Sertã,34
510,1660510,Vila de Rei,5
905,1670905,Fornos de Algodres,26
906,1670906,Gouveia,85
912,1670912,Seia,117
902,1680902,Almeida,5
903,1680903,Celorico da Beira,77
904,1680904,Figueira de Castelo Rodrigo,35
907,1680907,Guarda,270
908,1680908,Manteigas,29
909,1680909,Mêda,120
910,1680910,Pinhel,415
911,1680911,Sabugal,56
913,1680913,Trancoso,208
502,1690502,Castelo Branco,80
505,1690505,Idanha-a-Nova,26
507,1690507,Penamacor,24
511,1690511,Vila Velha de Ródão,17
501,16A0501,Belmonte,211
503,16A0503,Covilhã,280
504,16A0504,Fundão,409
1001,16B1001,Alcobaça,2397
1101,16B1101,Alenquer,59
1102,16B1102,Arruda dos Vinhos,12
1005,16B1005,Bombarral,588
1104,16B1104,Cadaval,367
1006,16B1006,Caldas da Rainha,1774
1108,16B1108,Lourinhã,244
1011,16B1011,Nazaré,95
1012,16B1012,Óbidos,890
1014,16B1014,Peniche,44
1112,16B1112,Sobral de Monte Agraço,6
1113,16B1113,Torres Vedras,303
1401,16C1401,Abrantes,42
1402,16C1402,Alcanena,10
1408,16C1408,Constância,1
1410,16C1410,Entroncamento,5
1411,16C1411,Ferreira do Zêzere,184
1421,16C1421,Ourém,91
1417,16C1417,Sardoal,7
1418,16C1418,Tomar,18
1419,16C1419,Torres Novas,11
1420,16C1420,Vila Nova da Barquinha,1
1115,1711115,Amadora,0
1105,1711105,Cascais,5
1106,1711106,Lisboa,0
1107,1711107,Loures,6
1109,1711109,Mafra,91
1116,1711116,Odivelas,1
1110,1711110,Oeiras,0
1111,1711111,Sintra,75
1114,1711114,Vila Franca de Xira,19
1502,1721502,Alcochete,0
1503,1721503,Almada,2
1504,1721504,Barreiro,1
1506,1721506,Moita,2
1507,1721507,Montijo,25
1508,1721508,Palmela,94
1510,1721510,Seixal,2
1511,1721511,Sesimbra,24
1512,1721512,Setúbal,10
1501,1811501,Alcácer do Sal,1
1505,1811505,Grândola,5
211,1810211,Odemira,14
1509,1811509,Santiago do Cacém,25
1513,1811513,Sines,2
1201,1821201,Alter do Chão,1
1202,1821202,Arronches,0
1203,1821203,Avis,0
1204,1821204,Campo Maior,0
1205,1821205,Castelo de Vide,5
1206,1821206,Crato,1
1207,1821207,Elvas,0
1208,1821208,Fronteira,0
1209,1821209,Gavião,9
1210,1821210,Marvão,3
1211,1821211,Monforte,0
707,1820707,Mora,0
1212,1821212,Nisa,5
1213,1821213,Ponte de Sor,14
1214,1821214,Portalegre,41
701,1830701,Alandroal,260
702,1830702,Arraiolos,1
703,1830703,Borba,2
704,1830704,Estremoz,2
705,1830705,Évora,4
706,1830706,Montemor-o-Novo,5
708,1830708,Mourão,0
709,1830709,Portel,1
710,1830710,Redondo,1
711,1830711,Reguengos de Monsaraz,0
1215,1831215,Sousel,0
712,1830712,Vendas Novas,6
713,1830713,Viana do Alentejo,0
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,0
202,1840202,Almodôvar,0
203,1840203,Alvito,0
204,1840204,Barrancos,0
205,1840205,Beja,0
206,1840206,Castro Verde,0
207,1840207,Cuba,7
208,1840208,Ferreira do Alentejo,0
209,1840209,Mértola,0
210,1840210,Moura,0
212,1840212,Ourique,0
213,1840213,Serpa,0
214,1840214,Vidigueira,0
1403,1851403,Almeirim,1
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,63
1405,1851405,Benavente,8
1406,1851406,Cartaxo,50
1407,1851407,Chamusca,4
1409,1851409,Coruche,12
1412,1851412,Golegã,0
1414,1851414,Rio Maior,82
1415,1851415,Salvaterra de Magos,6
1416,1851416,Santarém,39
801,1500801,Albufeira,0
802,1500802,Alcoutim,0
803,1500803,Aljezur,1
804,1500804,Castro Marim,0
805,1500805,Faro,1
806,1500806,Lagoa,1
807,1500807,Lagos,2
808,1500808,Loulé,5
809,1500809,Monchique,11
810,1500810,Olhão,0
811,1500811,Portimão,2
812,1500812,São Brás de Alportel,0
813,1500813,Silves,1
814,1500814,Tavira,1
815,1500815,Vila do Bispo,0
816,1500816,Vila Real de Santo António,0
