Muni_ID,ID,Muni,tot_peach
505,1690505,Idanha-a-Nova,24
507,1690507,Penamacor,9
511,1690511,Vila Velha de Ródão,7
501,16A0501,Belmonte,195
503,16A0503,Covilhã,537
504,16A0504,Fundão,466
1001,16B1001,Alcobaça,503
1101,16B1101,Alenquer,86
1102,16B1102,Arruda dos Vinhos,13
1005,16B1005,Bombarral,99
1104,16B1104,Cadaval,38
1006,16B1006,Caldas da Rainha,403
1108,16B1108,Lourinhã,14
1011,16B1011,Nazaré,9
1012,16B1012,Óbidos,265
1014,16B1014,Peniche,7
1112,16B1112,Sobral de Monte Agraço,1
1113,16B1113,Torres Vedras,151
1401,16C1401,Abrantes,222
1402,16C1402,Alcanena,2
1408,16C1408,Constância,19
1410,16C1410,Entroncamento,9
1411,16C1411,Ferreira do Zêzere,10
1421,16C1421,Ourém,9
1417,16C1417,Sardoal,5
1418,16C1418,Tomar,6
1419,16C1419,Torres Novas,19
1420,16C1420,Vila Nova da Barquinha,2
1115,1711115,Amadora,0
1105,1711105,Cascais,1
1106,1711106,Lisboa,0
1107,1711107,Loures,3
1109,1711109,Mafra,157
1116,1711116,Odivelas,1
1110,1711110,Oeiras,0
1111,1711111,Sintra,17
1114,1711114,Vila Franca de Xira,21
1502,1721502,Alcochete,0
1503,1721503,Almada,0
1504,1721504,Barreiro,4
1506,1721506,Moita,4
1507,1721507,Montijo,111
1508,1721508,Palmela,158
1510,1721510,Seixal,4
1511,1721511,Sesimbra,22
1512,1721512,Setúbal,59
1501,1811501,Alcácer do Sal,10
1505,1811505,Grândola,36
211,1810211,Odemira,9
1509,1811509,Santiago do Cacém,91
1513,1811513,Sines,3
1201,1821201,Alter do Chão,1
1202,1821202,Arronches,3
1203,1821203,Avis,0
1204,1821204,Campo Maior,24
1205,1821205,Castelo de Vide,1
1206,1821206,Crato,0
1207,1821207,Elvas,1
1208,1821208,Fronteira,1
1209,1821209,Gavião,8
1210,1821210,Marvão,3
1211,1821211,Monforte,0
707,1820707,Mora,3
1212,1821212,Nisa,1
1213,1821213,Ponte de Sor,256
1214,1821214,Portalegre,9
701,1830701,Alandroal,15
702,1830702,Arraiolos,1
703,1830703,Borba,1
704,1830704,Estremoz,0
705,1830705,Évora,2
706,1830706,Montemor-o-Novo,5
708,1830708,Mourão,0
709,1830709,Portel,1
710,1830710,Redondo,1
711,1830711,Reguengos de Monsaraz,6
1215,1831215,Sousel,0
712,1830712,Vendas Novas,13
713,1830713,Viana do Alentejo,15
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,0
202,1840202,Almodôvar,3
203,1840203,Alvito,0
204,1840204,Barrancos,0
205,1840205,Beja,4
206,1840206,Castro Verde,0
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,0
209,1840209,Mértola,1
210,1840210,Moura,3
212,1840212,Ourique,0
213,1840213,Serpa,1
214,1840214,Vidigueira,0
1403,1851403,Almeirim,192
1404,1851404,Alpiarça,116
1103,1851103,Azambuja,14
1405,1851405,Benavente,14
1406,1851406,Cartaxo,11
1407,1851407,Chamusca,50
1409,1851409,Coruche,141
1412,1851412,Golegã,2
1414,1851414,Rio Maior,71
1415,1851415,Salvaterra de Magos,4
1416,1851416,Santarém,17
801,1500801,Albufeira,49
802,1500802,Alcoutim,6
803,1500803,Aljezur,18
804,1500804,Castro Marim,19
805,1500805,Faro,23
806,1500806,Lagoa,13
807,1500807,Lagos,23
808,1500808,Loulé,46
809,1500809,Monchique,36
810,1500810,Olhão,26
811,1500811,Portimão,54
812,1500812,São Brás de Alportel,2
813,1500813,Silves,35
814,1500814,Tavira,85
815,1500815,Vila do Bispo,1
816,1500816,Vila Real de Santo António,39
