"Muni_ID","ID","Muni","almonds","chestnut","locust","nuuts","other_dried_nuts","sum"
1303,"1151303","Felgueiras",0,0,0,0,0,0
1305,"1151305","Lousada",0,0,0,0,0,0
1307,"1151307","Marco de Canaveses",0,0,0,0,0,0
1705,"1151705","Mondim de Basto",0,0,0,0,0,0
1309,"1151309","Paços de Ferreira",0,0,0,0,0,0
1310,"1151310","Paredes",0,0,0,0,0,0
1311,"1151311","Penafiel",0,0,0,0,0,0
1813,"1151813","Resende",0,0,0,0,0,0
1709,"1151709","Ribeira de Pena",0,0,0,0,0,0
104,"1160104","Arouca",0,0,0,0,0,0
113,"1160113","Oliveira de Azeméis",0,0,0,0,0,0
109,"1160109","Santa Maria da Feira",0,0,0,0,0,0
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,0,0,0,0,0
1701,"1171701","Alijó",0,0,0,0,0,0
1801,"1171801","Armamar",0,0,0,0,0,0
403,"1170403","Carrazeda de Ansiães",0,0,0,0,0,0
404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0
1805,"1171805","Lamego",0,0,0,0,0,0
1704,"1171704","Mesão Frio",0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",0,0,0,0,0,0
1812,"1171812","Penedono",0,0,0,0,0,0
1708,"1171708","Peso da Régua",0,0,0,0,0,0
1710,"1171710","Sabrosa",0,0,0,0,0,0
1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",0,0,0,0,0,0
1818,"1171818","Sernancelhe",0,0,0,0,0,0
1819,"1171819","Tabuaço",0,6.777,0,0,0,6.777
1820,"1171820","Tarouca",0,0,0,0,0,0
409,"1170409","Torre de Moncorvo",0,0,0,0,0,0
410,"1170410","Vila Flor",0,0,0,0,0,0
914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0,0
1714,"1171714","Vila Real",0,0,0,0,0,0
401,"1180401","Alfândega da Fé",92.46620124,0,0,0,0,92.46620124
1702,"1181702","Boticas",0,0,0,0,0,0
402,"1180402","Bragança",0,61.6707,0,61.6707,0,123.3414
1703,"1181703","Chaves",0,0,0,0,0,0
405,"1180405","Macedo de Cavaleiros",0,0,0,0,0,0
406,"1180406","Miranda do Douro",0,0,0,0,0,0
407,"1180407","Mirandela",220.6934568,5.618133,0,12.336399,0,238.6479888
408,"1180408","Mogadouro",43.90890588,15.92595,0,13.20261255,0,73.03746843
1706,"1181706","Montalegre",0,0,0,0,0,0
1707,"1181707","Murça",0,109.49140323,0,44.14086,0,153.63226323
1712,"1181712","Valpaços",6.9812136,97.708527,0,29.190798,3.359133,137.2396716
1713,"1181713","Vila Pouca de Aguiar",0,0,0,0,0,0
411,"1180411","Vimioso",0,0,0,0,0,0
412,"1180412","Vinhais",0,0,0,0,0,0
101,"1610101","Águeda",0,0,0,0,0,0
102,"1610102","Albergaria-a-Velha",0,0,0,0,0,0
103,"1610103","Anadia",0,0,0,2.7108,0,2.7108
105,"1610105","Aveiro",0,0,0,0,0,0
108,"1610108","Estarreja",0,0,0,0,0,0
110,"1610110","Ílhavo",0,0,0,0,0,0
111,"1610111","Mealhada",0,0,0,31.418172,0,31.418172
112,"1610112","Murtosa",0,0,0,0,0,0
114,"1610114","Oliveira do Bairro",0,0,0,70.60787796672,0,70.60787796672
115,"1610115","Ovar",0,0,0,0,0,0
117,"1610117","Sever do Vouga",0,233.30952,0,0,0,233.30952
118,"1610118","Vagos",0,0,0,0,0,0
602,"1620602","Cantanhede",0,0,0,131.9806039392,0,131.9806039392
603,"1620603","Coimbra",0,0,0,160.6047670296,0,160.6047670296
604,"1620604","Condeixa-a-Nova",0,0,0,43.887852,0,43.887852
605,"1620605","Figueira da Foz",0,0,0,0,0,0
608,"1620608","Mira",0,0,0,0,0,0
610,"1620610","Montemor-o-Velho",0,0,0,2.259,0,2.259
613,"1620613","Penacova",0,0,0,0,0,0
615,"1620615","Soure",0,0,0,0,0,0
1004,"1631004","Batalha",0,0,0,0,0,0
1009,"1631009","Leiria",0,0,0,2.259,0,2.259
1010,"1631010","Marinha Grande",0,0,0,0,0,0
1015,"1631015","Pombal",0,0,0,72.25565112,0,72.25565112
1016,"1631016","Porto de Mós",0,0,0,13.450086,0,13.450086
1002,"1641002","Alvaiázere",0,0,0,0,0,0
1003,"1641003","Ansião",0,0,0,0,0,0
601,"1640601","Arganil",0,0,0,0,0,0
1007,"1641007","Castanheira de Pêra",0,0,0,0,0,0
1008,"1641008","Figueiró dos Vinhos",0,0,0,25.244325,0,25.244325
606,"1640606","Góis",0,0,0,0,0,0
607,"1640607","Lousã",0,0,0,0,0,0
609,"1640609","Miranda do Corvo",0,0,0,356.29277814,0,356.29277814
611,"1640611","Oliveira do Hospital",0,0,0,12.6504,12.6504,25.3008
612,"1640612","Pampilhosa da Serra",0,0,0,0,0,0
1013,"1641013","Pedrógão Grande",0,0,0,0,0,0
614,"1640614","Penela",0,0,0,0,0,0
616,"1640616","Tábua",8.742275784,0,0,0,0,8.742275784
617,"1640617","Vila Nova de Poiares",0,7.94926982772,0,7.94926982772,0,15.89853965544
901,"1650901","Aguiar da Beira",0,156.97490715648,0,21.33076038912,0,178.3056675456
1802,"1651802","Carregal do Sal",0,0,0,45.7302924,0,45.7302924
1803,"1651803","Castro Daire",0,9.036,0,4.518,0,13.554
1806,"1651806","Mangualde",1.856898,17.968086,0,8.0700516,4.518,32.4130356
1808,"1651808","Mortágua",0,0,0,0,0,0
1809,"1651809","Nelas",0,0,0,0,0,0
1810,"1651810","Oliveira de Frades",0,4.518,0,0,0,4.518
1811,"1651811","Penalva do Castelo",0,0,0,0,2.259,2.259
1814,"1651814","Santa Comba Dão",0,0,0,0,0,0
1816,"1651816","São Pedro do Sul",0,23.9454,0,29.93175,5.98635,59.8635
1817,"1651817","Sátão",0,25.2800172,0,2.259,2.6900172,30.2290344
1821,"1651821","Tondela",0,108.432,0,135.54,27.108,271.08
1822,"1651822","Vila Nova de Paiva",0,59.29875,0,0,0,59.29875
1823,"1651823","Viseu",0,4.518,0,7.877133,29.132064,41.527197
1824,"1651824","Vouzela",0,0,0,10.1655,0,10.1655
1413,"1661413","Mação",0,0,0,0,0,0
506,"1660506","Oleiros",0,39.0052494,0,0,0,39.0052494
508,"1660508","Proença-a-Nova",0,0,0,0,0,0
509,"1660509","Sertã",0,0,0,4.57302924,0,4.57302924
510,"1660510","Vila de Rei",0,0,0,0,0,0
905,"1670905","Fornos de Algodres",0,4.9490172,0,0,0,4.9490172
906,"1670906","Gouveia",0,197.2391634,0,0,21.4605,218.6996634
912,"1670912","Seia",0,49.698,0,12.4245,12.4245,74.547
902,"1680902","Almeida",0,0,0,135.57686688,0,135.57686688
903,"1680903","Celorico da Beira",0,0,0,0,0,0
904,"1680904","Figueira de Castelo Rodrigo",151.6529952,0,0,18.2979,0,169.9508952
907,"1680907","Guarda",8.69715,185.15884464,0,17.3943,0,211.25029464
908,"1680908","Manteigas",0,0,0,0,0,0
909,"1680909","Mêda",9.4878,0,0,0,0,9.4878
910,"1680910","Pinhel",10.1786022,0,0,3.49702236,0,13.67562456
911,"1680911","Sabugal",0,10.7600688,0,0,0,10.7600688
913,"1680913","Trancoso",0,0,0,0,0,0
502,"1690502","Castelo Branco",0,0,0,0,0,0
505,"1690505","Idanha-a-Nova",0,0,0,0,0,0
507,"1690507","Penamacor",0,3.86300295,0,0,0,3.86300295
511,"1690511","Vila Velha de Ródão",4.518,0,0,0,0,4.518
501,"16A0501","Belmonte",0,0,0,21.9811995,0,21.9811995
503,"16A0503","Covilhã",0,0,0,0,0,0
504,"16A0504","Fundão",0,23.513931,0,0,0,23.513931
1001,"16B1001","Alcobaça",0,20.154798,0,114.32799,0,134.482788
1101,"16B1101","Alenquer",0,0,0,8.14629285,0,8.14629285
1102,"16B1102","Arruda dos Vinhos",0,0,0,0,0,0
1005,"16B1005","Bombarral",0,0,0,0,0,0
1104,"16B1104","Cadaval",0,0,0,0,0,0
1006,"16B1006","Caldas da Rainha",0,0,0,891.8498115,0,891.8498115
1108,"16B1108","Lourinhã",0,0,0,0,0,0
1011,"16B1011","Nazaré",0,0,0,0,0,0
1012,"16B1012","Óbidos",0,0,0,0,0,0
1014,"16B1014","Peniche",0,0,0,0,0,0
1112,"16B1112","Sobral de Monte Agraço",0,0,0,0,0,0
1113,"16B1113","Torres Vedras",0,0,0,8.56578915,0,8.56578915
1401,"16C1401","Abrantes",2.4632136,0,0,14.595399,0,17.0586126
1402,"16C1402","Alcanena",0,0,0,0,0,0
1408,"16C1408","Constância",0,0,0,0,0,0
1410,"16C1410","Entroncamento",0,0,0,0,0,0
1411,"16C1411","Ferreira do Zêzere",25.996572,0,0,471.480408,0,497.47698
1421,"16C1421","Ourém",0,0,0,0,0,0
1417,"16C1417","Sardoal",0,0,0,0,0,0
1418,"16C1418","Tomar",6.67855278,0,0,108.29709252,0,114.9756453
1419,"16C1419","Torres Novas",0,0,0,0,0,0
1420,"16C1420","Vila Nova da Barquinha",0,0,0,0,0,0
1115,"1711115","Amadora",0,0,0,0,0,0
1105,"1711105","Cascais",0,0,0,0,0,0
1106,"1711106","Lisboa",0,0,0,0,0,0
1107,"1711107","Loures",0,0,0,22.66743852,0,22.66743852
1109,"1711109","Mafra",0,0,0,165.0348594,0,165.0348594
1116,"1711116","Odivelas",0,0,0,0,0,0
1110,"1711110","Oeiras",0,0,0,0,0,0
1111,"1711111","Sintra",0,0,0,1.9883718,0,1.9883718
1114,"1711114","Vila Franca de Xira",0,0,0,0,0,0
1502,"1721502","Alcochete",0,0,0,0,0,0
1503,"1721503","Almada",0,0,0,0,0,0
1504,"1721504","Barreiro",0,0,0,0,0,0
1506,"1721506","Moita",0,0,0,0,0,0
1507,"1721507","Montijo",0,0,0,0,0,0
1508,"1721508","Palmela",0,0,0,5.36860386,0,5.36860386
1510,"1721510","Seixal",0,0,0,0,0,0
1511,"1721511","Sesimbra",0,0,0,214.7441544,0,214.7441544
1512,"1721512","Setúbal",0,0,0,27.6447384,0,27.6447384
1501,"1811501","Alcácer do Sal",0,0,0,0,0,0
1505,"1811505","Grândola",67.07589966,0,0,275.58833148,0,342.66423114
211,"1810211","Odemira",0,0,0,0,0,0
1509,"1811509","Santiago do Cacém",0,0,221.098125024,398.628778464,0,619.726903488
1513,"1811513","Sines",0,0,0,0,0,0
1201,"1821201","Alter do Chão",45.0076383,0,0,0,0,45.0076383
1202,"1821202","Arronches",0,0,0,0,0,0
1203,"1821203","Avis",0,0,0,394.89063948,0,394.89063948
1204,"1821204","Campo Maior",0,0,0,80.5290579,0,80.5290579
1205,"1821205","Castelo de Vide",0,0,0,0,0,0
1206,"1821206","Crato",0,0,0,0,0,0
1207,"1821207","Elvas",0,0,0,279.53007973632,0,279.53007973632
1208,"1821208","Fronteira",0,0,0,0,235.1806397604,235.1806397604
1209,"1821209","Gavião",0,0,0,0,0,0
1210,"1821210","Marvão",0,0,0,0,0,0
1211,"1821211","Monforte",0,0,0,240.5790691974,0,240.5790691974
707,"1820707","Mora",0,0,0,0,0,0
1212,"1821212","Nisa",0,0,0,24.83196714,0,24.83196714
1213,"1821213","Ponte de Sor",0,0,0,67.77,0,67.77
1214,"1821214","Portalegre",0,338.023206,0,21.20152824,30.7224,389.94713424
701,"1830701","Alandroal",0,0,0,0,0,0
702,"1830702","Arraiolos",0,0,0,8589.766176,0,8589.766176
703,"1830703","Borba",0,0,0,277.3778661,0,277.3778661
704,"1830704","Estremoz",0,0,0,6348.8598624,87.4883592,6436.3482216
705,"1830705","Évora",0,0,0,70.98487326,0,70.98487326
706,"1830706","Montemor-o-Novo",0,0,0,0,0,0
708,"1830708","Mourão",0,0,0,0,0,0
709,"1830709","Portel",0,0,0,501.0696936,0,501.0696936
710,"1830710","Redondo",0,0,0,0,0,0
711,"1830711","Reguengos de Monsaraz",0,0,0,0,0,0
1215,"1831215","Sousel",0,0,0,1470.99745764,0,1470.99745764
712,"1830712","Vendas Novas",0,0,0,0,0,0
713,"1830713","Viana do Alentejo",0,0,0,0,0,0
714,"1830714","Vila Viçosa",0,0,0,82.31859252,0,82.31859252
201,"1840201","Aljustrel",15406.041997125,0,0,0,0,15406.041997125
202,"1840202","Almodôvar",0,0,0,0,0,0
203,"1840203","Alvito",0,0,0,0,0,0
204,"1840204","Barrancos",0,0,0,0,0,0
205,"1840205","Beja",0,0,0,572.57016102,0,572.57016102
206,"1840206","Castro Verde",0,0,0,0,0,0
207,"1840207","Cuba",0,0,0,0,0,0
208,"1840208","Ferreira do Alentejo",0,0,0,1057.28250465504,0,1057.28250465504
209,"1840209","Mértola",40.6520604,0,159.69178224,0,0,200.34384264
210,"1840210","Moura",46.87425,0,0,16.50348594,0,63.37773594
212,"1840212","Ourique",333.2409095511,0,56.2516508628,101.4188920308,0,490.9114524447
213,"1840213","Serpa",0,0,0,3591.39714516,0,3591.39714516
214,"1840214","Vidigueira",0,0,0,0,0,0
1403,"1851403","Almeirim",0,0,0,0,0,0
1404,"1851404","Alpiarça",0,0,0,0,0,0
1103,"1851103","Azambuja",0,0,0,0,0,0
1405,"1851405","Benavente",0,0,0,0,0,0
1406,"1851406","Cartaxo",0,0,0,60.9333289668,0,60.9333289668
1407,"1851407","Chamusca",0,0,0,0,0,0
1409,"1851409","Coruche",0,0,0,0,0,0
1412,"1851412","Golegã",0,0,0,0,0,0
1414,"1851414","Rio Maior",0,0,0,8.32506523056,0,8.32506523056
1415,"1851415","Salvaterra de Magos",0,0,0,127.775817,0,127.775817
1416,"1851416","Santarém",34.638000003765,0,0,34.638000003765,0,69.27600000753
801,"1500801","Albufeira",0,0,106.7235183,16.1401032,0,122.8636215
802,"1500802","Alcoutim",0,0,0,0,0,0
803,"1500803","Aljezur",0,0,0,0,0,0
804,"1500804","Castro Marim",0,0,3653.7066,0,0,3653.7066
805,"1500805","Faro",0,0,0,0,0,0
806,"1500806","Lagoa",27.1762218,0,56.21901012,0,0,83.39523192
807,"1500807","Lagos",0,0,538.141239,0,0,538.141239
808,"1500808","Loulé",0,0,373.63932288,14.4576,0,388.09692288
809,"1500809","Monchique",0,0,0,0,0,0
810,"1500810","Olhão",0,0,0,0,0,0
811,"1500811","Portimão",6.173847,0,80.4999168,20.175129,0,106.8488928
812,"1500812","São Brás de Alportel",0,0,1.494518256,0,0,1.494518256
813,"1500813","Silves",0,0,0,0,0,0
814,"1500814","Tavira",0,0,1108.4949144,0,0,1108.4949144
815,"1500815","Vila do Bispo",0,0,0,0,0,0
816,"1500816","Vila Real de Santo António",0,0,50.2094376,0,0,50.2094376
