"Muni_ID","ID","Muni","bean","chickpea","other_pulses","sum"
1812,"1171812","Penedono",0,0,0,0
1708,"1171708","Peso da Régua",0,0,0,0
1710,"1171710","Sabrosa",0,0,0,0
1711,"1171711","Santa Marta de Penaguião",0,0,0,0
1815,"1171815","São João da Pesqueira",0,0,0,0
1818,"1171818","Sernancelhe",0,0,0,0
1819,"1171819","Tabuaço",37.2735,3.3885,0,40.662
1820,"1171820","Tarouca",0,0,0,0
409,"1170409","Torre de Moncorvo",0,0,0,0
410,"1170410","Vila Flor",0,0,0,0
914,"1170914","Vila Nova de Foz Côa",0,0,0,0
1714,"1171714","Vila Real",0,0,0,0
401,"1180401","Alfândega da Fé",0,0,0,0
1702,"1181702","Boticas",0,0,0,0
402,"1180402","Bragança",92.50605,0,0,92.50605
1703,"1181703","Chaves",0,0,0,0
405,"1180405","Macedo de Cavaleiros",0,0,0,0
406,"1180406","Miranda do Douro",0,0,0,0
407,"1180407","Mirandela",6.777,6.777,0,13.554
408,"1180408","Mogadouro",0,0,0,0
1706,"1181706","Montalegre",0,0,0,0
1707,"1181707","Murça",115.8697575,0,0,115.8697575
1712,"1181712","Valpaços",30.4965,0,0,30.4965
1713,"1181713","Vila Pouca de Aguiar",0,0,0,0
411,"1180411","Vimioso",0,0,0,0
412,"1180412","Vinhais",0,0,0,0
101,"1610101","Águeda",197.842424832,0,0,197.842424832
102,"1610102","Albergaria-a-Velha",16.095375,0,0,16.095375
103,"1610103","Anadia",13.48026624,0,0,13.48026624
105,"1610105","Aveiro",340.542786168,0,0,340.542786168
108,"1610108","Estarreja",120.16009548,0,0,120.16009548
110,"1610110","Ílhavo",38.1193400808,0,0,38.1193400808
111,"1610111","Mealhada",65.3120959536,0,0,65.3120959536
112,"1610112","Murtosa",25.97929254756,0,0,25.97929254756
114,"1610114","Oliveira do Bairro",259.61751448704,0,0,259.61751448704
115,"1610115","Ovar",43.799751,0,0,43.799751
117,"1610117","Sever do Vouga",419.957136,0,0,419.957136
118,"1610118","Vagos",107.20652755968,0,0,107.20652755968
602,"1620602","Cantanhede",654.3128946816,11.401389864,0,665.7142845456
603,"1620603","Coimbra",45.615987,0,0,45.615987
604,"1620604","Condeixa-a-Nova",628.2633789504,0,0,628.2633789504
605,"1620605","Figueira da Foz",479.7954653184,0,0,479.7954653184
608,"1620608","Mira",113.119425,0,0,113.119425
610,"1620610","Montemor-o-Velho",20.7936432,0,0,20.7936432
613,"1620613","Penacova",248.78782656,0,0,248.78782656
615,"1620615","Soure",963.6894,0,0,963.6894
1004,"1631004","Batalha",200.67696408708,0,0,200.67696408708
1009,"1631009","Leiria",115.9029648,0,0,115.9029648
1010,"1631010","Marinha Grande",14.19634005372,0,0,14.19634005372
1015,"1631015","Pombal",1280.11367448,0,0,1280.11367448
1016,"1631016","Porto de Mós",0,0,0,0
1002,"1641002","Alvaiázere",6.0993,0,0,6.0993
1003,"1641003","Ansião",93.5713944,0,0,93.5713944
601,"1640601","Arganil",962.9114004,0,0,962.9114004
1007,"1641007","Castanheira de Pêra",0,0,0,0
1008,"1641008","Figueiró dos Vinhos",95.95872819,0,0,95.95872819
606,"1640606","Góis",11.45075805,0,0,11.45075805
607,"1640607","Lousã",78.2443403145,0,0,78.2443403145
609,"1640609","Miranda do Corvo",528.71438682,0,0,528.71438682
611,"1640611","Oliveira do Hospital",277.08930144,18.9756,0,296.06490144
612,"1640612","Pampilhosa da Serra",0,0,0,0
1013,"1641013","Pedrógão Grande",0,0,0,0
614,"1640614","Penela",271.9099566,0,0,271.9099566
616,"1640616","Tábua",260.694238464,15.953058,0,276.647296464
617,"1640617","Vila Nova de Poiares",20.71029116016,0,0,20.71029116016
901,"1650901","Aguiar da Beira",752.9894555904,0,18.55066800384,771.54012359424
1802,"1651802","Carregal do Sal",151.7033709,0,0,151.7033709
1803,"1651803","Castro Daire",187.0614648,0,0,187.0614648
1806,"1651806","Mangualde",85.2158052,16.4622366,0,101.6780418
1808,"1651808","Mortágua",0,0,0,0
1809,"1651809","Nelas",128.803662,10.1655,0,138.969162
1810,"1651810","Oliveira de Frades",131.035554,0,0,131.035554
1811,"1651811","Penalva do Castelo",86.7537324,16.9425,0,103.6962324
1814,"1651814","Santa Comba Dão",197.92759871016,0,0,197.92759871016
1816,"1651816","São Pedro do Sul",653.77407258,8.979525,0,662.75359758
1817,"1651817","Sátão",122.6799648,10.1655,0,132.8454648
1821,"1651821","Tondela",2337.1650144,40.662,0,2377.8270144
1822,"1651822","Vila Nova de Paiva",148.246875,0,0,148.246875
1823,"1651823","Viseu",406.66518,18.2468466,0,424.9120266
1824,"1651824","Vouzela",707.6651832,0,0,707.6651832
1413,"1661413","Mação",0,0,0,0
506,"1660506","Oleiros",0,0,0,0
508,"1660508","Proença-a-Nova",0,0,0,0
509,"1660509","Sertã",0,0,0,0
510,"1660510","Vila de Rei",0,0,0,0
905,"1670905","Fornos de Algodres",135.621324,16.2526014,0,151.8739254
906,"1670906","Gouveia",356.2958052,32.19075,0,388.4865552
912,"1670912","Seia",217.503297,4.9474359,0,222.4507329
902,"1680902","Almeida",0,0,0,0
903,"1680903","Celorico da Beira",0,0,0,0
904,"1680904","Figueira de Castelo Rodrigo",0,0,0,0
907,"1680907","Guarda",366.17088816,107.82900513,0,473.99989329
908,"1680908","Manteigas",0,0,0,0
909,"1680909","Mêda",4.7439,0,0,4.7439
910,"1680910","Pinhel",15.86875212,5.57444394,1.01374884,22.4569449
911,"1680911","Sabugal",27.108,10.1655,0,37.2735
913,"1680913","Trancoso",0,0,0,0
502,"1690502","Castelo Branco",0,0,0,0
505,"1690505","Idanha-a-Nova",0,0,0,0
507,"1690507","Penamacor",15.98457105,0,0,15.98457105
511,"1690511","Vila Velha de Ródão",3.3885,0,0,3.3885
501,"16A0501","Belmonte",5.08275,0,0,5.08275
503,"16A0503","Covilhã",0,0,0,0
504,"16A0504","Fundão",37.964754,4.6928466,0,42.6576006
1001,"16B1001","Alcobaça",181.040778,0,0,181.040778
1101,"16B1101","Alenquer",0,15.13042056,0,15.13042056
1102,"16B1102","Arruda dos Vinhos",2.374209,1.3043466,0,3.6785556
1005,"16B1005","Bombarral",11.871045,0,0,11.871045
1104,"16B1104","Cadaval",0,0,0,0
1006,"16B1006","Caldas da Rainha",234.94108275,0,0,234.94108275
1108,"16B1108","Lourinhã",0,0,20.1462138,20.1462138
1011,"16B1011","Nazaré",6.1736556627,0,0,6.1736556627
1012,"16B1012","Óbidos",12.539709,0,0,12.539709
1014,"16B1014","Peniche",33.488217945,0,0,33.488217945
1112,"16B1112","Sobral de Monte Agraço",0,0,0,0
1113,"16B1113","Torres Vedras",23.33558295,0,0,23.33558295
1401,"16C1401","Abrantes",2.374209,0,0,2.374209
1402,"16C1402","Alcanena",0,0,0,0
1408,"16C1408","Constância",0,0,0,0
1410,"16C1410","Entroncamento",0,0,0,0
1411,"16C1411","Ferreira do Zêzere",0,0,0,0
1421,"16C1421","Ourém",0,0,0,0
1417,"16C1417","Sardoal",0,0,0,0
1418,"16C1418","Tomar",0,0,0,0
1419,"16C1419","Torres Novas",0,0,0,0
1420,"16C1420","Vila Nova da Barquinha",0,0,0,0
1115,"1711115","Amadora",0,0,0,0
1105,"1711105","Cascais",0,0,0,0
1106,"1711106","Lisboa",0,0,0,0
1107,"1711107","Loures",0,0,0,0
1109,"1711109","Mafra",1137.2068044,0,0,1137.2068044
1116,"1711116","Odivelas",0,0,0,0
1110,"1711110","Oeiras",0,0,0,0
1111,"1711111","Sintra",1.3075092,0,0,1.3075092
1114,"1711114","Vila Franca de Xira",19.3917078,0,0,19.3917078
1502,"1721502","Alcochete",0,0,0,0
1503,"1721503","Almada",2.37744397836,0,0,2.37744397836
1504,"1721504","Barreiro",0,0,0,0
1506,"1721506","Moita",0,0,0,0
1507,"1721507","Montijo",1.69976196,0,0,1.69976196
1508,"1721508","Palmela",3.53027484,0,0,3.53027484
1510,"1721510","Seixal",0,0,0,0
1511,"1721511","Sesimbra",35.3027484,0,0,35.3027484
1512,"1721512","Setúbal",0,0,0,0
1501,"1811501","Alcácer do Sal",0,0,32.12808317136,32.12808317136
1505,"1811505","Grândola",23.11354584,0,0,23.11354584
211,"1810211","Odemira",0,0,0,0
1509,"1811509","Santiago do Cacém",85.970383488,0,0,85.970383488
1513,"1811513","Sines",180.9892728,0,0,180.9892728
1201,"1821201","Alter do Chão",0,0,0,0
1202,"1821202","Arronches",0,0,0,0
1203,"1821203","Avis",0,0,0,0
1204,"1821204","Campo Maior",0,0,0,0
1205,"1821205","Castelo de Vide",0,0,0,0
1206,"1821206","Crato",0,0,0,0
1207,"1821207","Elvas",0,0,350.92703851128,350.92703851128
1208,"1821208","Fronteira",0,0,0,0
1209,"1821209","Gavião",193.1445,0,0,193.1445
1210,"1821210","Marvão",0,0,0,0
1211,"1821211","Monforte",0,0,0,0
707,"1820707","Mora",0,0,0,0
1212,"1821212","Nisa",57.490970322528,0,0,57.490970322528
1213,"1821213","Ponte de Sor",20.331,0,0,20.331
1214,"1821214","Portalegre",0,0,0,0
701,"1830701","Alandroal",0,0,0,0
702,"1830702","Arraiolos",91.4895,0,0,91.4895
703,"1830703","Borba",0,0,0,0
704,"1830704","Estremoz",132.0774048,1094.10147,0,1226.1788748
705,"1830705","Évora",0,0,0,0
706,"1830706","Montemor-o-Novo",0,0,0,0
708,"1830708","Mourão",0,0,0,0
709,"1830709","Portel",0,0,0,0
710,"1830710","Redondo",0,0,0,0
711,"1830711","Reguengos de Monsaraz",0,0,0,0
1215,"1831215","Sousel",0,0,0,0
712,"1830712","Vendas Novas",0,0,0,0
713,"1830713","Viana do Alentejo",0,0,0,0
714,"1830714","Vila Viçosa",0,0,0,0
201,"1840201","Aljustrel",0,0,434.21838372,434.21838372
202,"1840202","Almodôvar",0,0,0,0
203,"1840203","Alvito",0,0,0,0
204,"1840204","Barrancos",0,0,0,0
205,"1840205","Beja",0,0,0,0
206,"1840206","Castro Verde",0,0,0,0
207,"1840207","Cuba",0,0,0,0
208,"1840208","Ferreira do Alentejo",0,0,0,0
209,"1840209","Mértola",0,0,0,0
210,"1840210","Moura",0,0,0,0
212,"1840212","Ourique",0,0,0,0
213,"1840213","Serpa",0,0,0,0
214,"1840214","Vidigueira",0,0,0,0
1403,"1851403","Almeirim",0,6.814689156,0,6.814689156
1404,"1851404","Alpiarça",0,0,0,0
1103,"1851103","Azambuja",0,0,0,0
1405,"1851405","Benavente",0,0,0,0
1406,"1851406","Cartaxo",7.683254325,0,0,7.683254325
1407,"1851407","Chamusca",0,0,0,0
1409,"1851409","Coruche",0,0,0,0
1412,"1851412","Golegã",0,0,0,0
1414,"1851414","Rio Maior",0,0,0,0
1415,"1851415","Salvaterra de Magos",160.95375,0,0,160.95375
1416,"1851416","Santarém",51.9570000056475,193.099922420989,0,245.056922426637
801,"1500801","Albufeira",0,0,0,0
802,"1500802","Alcoutim",0,0,0,0
803,"1500803","Aljezur",0,0,0,0
804,"1500804","Castro Marim",0,0,0,0
805,"1500805","Faro",0,0,0,0
806,"1500806","Lagoa",0,0,0,0
807,"1500807","Lagos",0,0,0,0
808,"1500808","Loulé",0,0,0,0
809,"1500809","Monchique",0,0,0,0
810,"1500810","Olhão",0,0,0,0
811,"1500811","Portimão",0,0,0,0
812,"1500812","São Brás de Alportel",0,0,0,0
813,"1500813","Silves",0,0,0,0
814,"1500814","Tavira",0,0,23.70612672,23.70612672
815,"1500815","Vila do Bispo",0,0,0,0
816,"1500816","Vila Real de Santo António",0,0,0,0
