"Muni_ID","ID","Muni","apple","cherry","other_fresh_fruits","peach","pear","sum"
611,"1640611","Oliveira do Hospital",319.7515104,12.6504,51.65411328,37.9512,12.6504,434.65762368
612,"1640612","Pampilhosa da Serra",0,0,0,0,0,0
1013,"1641013","Pedrógão Grande",13.36437445725,0,0,0,0,13.36437445725
614,"1640614","Penela",0,35.310429,0,0,0,35.310429
616,"1640616","Tábua",11.3139087336,0,0,0,67.8834524016,79.1973611352
617,"1640617","Vila Nova de Poiares",6.6755709,0,0,0,0,6.6755709
901,"1650901","Aguiar da Beira",2933.45245581696,38.6203555584,0,19.3101777792,0,2991.38298915456
1802,"1651802","Carregal do Sal",101.52025065,0,0,0,0,101.52025065
1803,"1651803","Castro Daire",11.295,0,4.6119744,2.259,2.259,20.4249744
1806,"1651806","Mangualde",118.4267196,9.388404,27.108,9.036,26.0019936,189.9611172
1808,"1651808","Mortágua",0,0,0,0,0,0
1809,"1651809","Nelas",49.600863,0,33.885,6.777,0,90.262863
1810,"1651810","Oliveira de Frades",2.259,0,2.259,0,0,4.518
1811,"1651811","Penalva do Castelo",193.2118182,0,0,4.694202,0,197.9060202
1814,"1651814","Santa Comba Dão",33.59711819052,0,10.5273918,11.3485283604,11.19903939684,66.67207774776
1816,"1651816","São Pedro do Sul",175.63831173,5.98635,5.98635,11.9727,5.98635,205.57006173
1817,"1651817","Sátão",16.2453726,4.694202,0,0,4.8062484,25.745823
1821,"1651821","Tondela",559.454904,27.108,81.324,81.324,83.0534904,832.2643944
1822,"1651822","Vila Nova de Paiva",0,0,0,0,0,0
1823,"1651823","Viseu",385.7757552,2.259,17.6983614,18.8545176,8.5408272,433.1284614
1824,"1651824","Vouzela",648.1949751,32.082318,0,0,32.4421767,712.7194698
1413,"1661413","Mação",0,0,0,0,0,0
506,"1660506","Oleiros",100.3563009,236.953287,34.1181288,0,34.8453009,406.2730176
508,"1660508","Proença-a-Nova",0,0,0,0,0,0
509,"1660509","Sertã",24.51186684,0,0,0,4.08531114,28.59717798
510,"1660510","Vila de Rei",40.27191588,0,0,0,6.84890397,47.12081985
905,"1670905","Fornos de Algodres",31.0964904,7.129404,14.023872,0,0,52.2497664
906,"1670906","Gouveia",1838.2506327,42.921,110.8735272,158.593095,269.8486191,2420.486874
912,"1670912","Seia",1065.0430494,12.4245,0,12.4245,78.5104155,1168.4024649
902,"1680902","Almeida",270.50097312,0,156.54110976,0,37.9512,464.99328288
903,"1680903","Celorico da Beira",0,0,0,0,0,0
904,"1680904","Figueira de Castelo Rodrigo",57.22851204,0,1541.59075584,0,36.5958,1635.41506788
907,"1680907","Guarda",1079.53200432,539.5885803,153.2785716,606.017412,198.55071621,2576.96728443
908,"1680908","Manteigas",16.22108835,10.958409,0,0,0,27.17949735
909,"1680909","Mêda",59.75163432,13.6371312,0,13.3904484,3.1626,89.94181392
910,"1680910","Pinhel",462.42629082,6.1024626,209.11183488,0,24.99249168,702.63307998
911,"1680911","Sabugal",49.8891114,9.564606,2.3529744,53.398242,40.7089872,155.913921
913,"1680913","Trancoso",0,0,0,0,0,0
502,"1690502","Castelo Branco",0,0,0,0,0,0
505,"1690505","Idanha-a-Nova",0,0,0,0,0,0
507,"1690507","Penamacor",6.20990064,24.0145254,9.96171561,5.1957,3.61205064,48.99389229
511,"1690511","Vila Velha de Ródão",4.518,2.259,0,4.518,2.259,13.554
501,"16A0501","Belmonte",595.1181888,243.4623696,58.7511684,802.7708904,105.7157784,1805.8183956
503,"16A0503","Covilhã",0,0,0,0,0,0
504,"16A0504","Fundão",412.7753232,2977.7378976,307.4458338,1641.543012,157.6492848,5497.1513514
1001,"16B1001","Alcobaça",23819.0188896,58.9111056,619.919298,1862.211168,13124.6309664,39484.6914276
1101,"16B1101","Alenquer",63.76054608,0,289.43152866,205.06777308,104.74946856,663.00931638
1102,"16B1102","Arruda dos Vinhos",0,0,0,0,0,0
1005,"16B1005","Bombarral",549.65988,0,187.0560432,128.8858896,2338.3252368,3203.9270496
1104,"16B1104","Cadaval",0,0,0,0,0,0
1006,"16B1006","Caldas da Rainha",33119.1556272,0,468.48937905,2012.5697562,36680.7438216,72280.95858405
1108,"16B1108","Lourinhã",614.0486088,0,220.8902157,0,5458.0494168,6292.9882413
1011,"16B1011","Nazaré",249.10318783944,0,3.75412305807,8.51036377176,242.2234680372,503.59114270647
1012,"16B1012","Óbidos",876.8100672,0,89.5110678,205.1750304,1268.6507856,2440.146951
1014,"16B1014","Peniche",44.302586328,0,0,0,107.591995368,151.894581696
1112,"16B1112","Sobral de Monte Agraço",3.27555,0,0,0,7.82987472,11.10542472
1113,"16B1113","Torres Vedras",595.2157776,0,198.80119413,83.4573996,4838.74113312,5716.21550445
1401,"16C1401","Abrantes",15.3178272,2.259,10.2929076,25.8628392,9.9179136,63.6504876
1402,"16C1402","Alcanena",0,0,46.8715392,0,0,46.8715392
1408,"16C1408","Constância",0,0,0,0,0,0
1410,"16C1410","Entroncamento",124.245,0,0,382.42611,0,506.67111
1411,"16C1411","Ferreira do Zêzere",1511.9505072,204.556968,560.0079072,443.206764,874.7372088,3594.4593552
1421,"16C1421","Ourém",0,0,0,0,0,0
1417,"16C1417","Sardoal",0,0,0,0,0,0
1418,"16C1418","Tomar",53.46167472,8.39936862,43.2905724,65.98331172,55.68335604,226.8182835
1419,"16C1419","Torres Novas",0,0,0,0,0,0
1420,"16C1420","Vila Nova da Barquinha",0,0,0,0,0,0
1115,"1711115","Amadora",0,0,0,0,0,0
1105,"1711105","Cascais",0,0,0,0,0,0
1106,"1711106","Lisboa",0,0,0,0,0,0
1107,"1711107","Loures",26.68484412,0,18.88180632,6.43815,29.43779706,81.4425975
1109,"1711109","Mafra",3041.951328,0,1605.9493044,3124.825002,49341.0355308,57113.7611652
1116,"1711116","Odivelas",1.4350288464,0,0,0,0,1.4350288464
1110,"1711110","Oeiras",0,0,0,0,0,0
1111,"1711111","Sintra",36.9540774,0,2.7857988,4.7813994,11.9415258,56.4628014
1114,"1711114","Vila Franca de Xira",7.9921161,0,12.5360946,13.29952365,21.0669822,54.89471655
1502,"1721502","Alcochete",0,0,0,0,0,0
1503,"1721503","Almada",2.05376985,0,11.08871417412,0,2.05376985,15.19625387412
1504,"1721504","Barreiro",0,0,0,0,0,0
1506,"1721506","Moita",8.999856,0,22.1972448384,32.5488792096,8.999856,72.745836048
1507,"1721507","Montijo",13.85300124,0,10.08110376,18.08449227,19.09853478,61.11713205
1508,"1721508","Palmela",196.5438432,4.93006419,178.48259604,219.21311151,66.6714483,665.84106324
1510,"1721510","Seixal",0,0,57.937332024,0,62.125382484,120.062714508
1511,"1721511","Sesimbra",230.9316966,0,150.4331352,307.4962095,108.9456966,797.8067379
1512,"1721512","Setúbal",359.56958342112,0,1286.18804090304,334.0313740872,114.58191172032,2094.37091013168
1501,"1811501","Alcácer do Sal",0,0,44.80089498144,0,0,44.80089498144
1505,"1811505","Grândola",22.37254866,0,289.27416672,22.75696269,22.37254866,356.77622673
211,"1810211","Odemira",0,0,0,0,0,0
1509,"1811509","Santiago do Cacém",134.079637824,0,411.840061056,273.878557632,166.428517824,986.226774336
1513,"1811513","Sines",47.439,0,69.5645496,47.439,0,164.4425496
1201,"1821201","Alter do Chão",0,0,0,0,0,0
1202,"1821202","Arronches",0,0,0,0,0,0
1203,"1821203","Avis",0,0,0,0,0,0
1204,"1821204","Campo Maior",0,14.79019257,368.9405577,1360.69771644,0,1744.42846671
1205,"1821205","Castelo de Vide",30.840688017,31.7076165405,0,0,0,62.5483045575
1206,"1821206","Crato",0,0,0,0,0,0
1207,"1821207","Elvas",249.67796942592,16.04352444408,1382.5258587504,3192.66136437192,124.83898471296,4965.74770170528
1208,"1821208","Fronteira",0,0,0,0,0,0
1209,"1821209","Gavião",55.2049902,0,0,21.4605,55.2049902,131.8704804
1210,"1821210","Marvão",85.78204614,0,0,0,85.78204614,171.56409228
1211,"1821211","Monforte",0,0,0,0,0,0
707,"1820707","Mora",13.879296,0,0,13.879296,0,27.758592
1212,"1821212","Nisa",78.091570261872,0,0,0,0,78.091570261872
1213,"1821213","Ponte de Sor",30.9871548,0,13.554,201.8366802,226.677096,473.054931
1214,"1821214","Portalegre",376.55831232,623.76764004,22.52566368,12.41645796,15.3612,1050.629274
701,"1830701","Alandroal",0,0,0,0,0,0
702,"1830702","Arraiolos",0,0,0,0,0,0
703,"1830703","Borba",0,0,1458.70407,0,0,1458.70407
704,"1830704","Estremoz",0,0,5101.400304,0,0,5101.400304
705,"1830705","Évora",63.40412106,0,354.77920296,0,103.72727106,521.91059508
706,"1830706","Montemor-o-Novo",0,0,0,0,0,0
708,"1830708","Mourão",0,0,0,0,0,0
709,"1830709","Portel",0,0,29.8133784,0,0,29.8133784
710,"1830710","Redondo",0,0,0,0,0,0
711,"1830711","Reguengos de Monsaraz",0,0,105.85674,790.368763536,272.305877976,1168.531381512
1215,"1831215","Sousel",24.33155346,0,431.13457764,0,0,455.4661311
712,"1830712","Vendas Novas",0,0,0,0,0,0
713,"1830713","Viana do Alentejo",0,0,0,0,0,0
714,"1830714","Vila Viçosa",0,0,114.63376824,0,0,114.63376824
201,"1840201","Aljustrel",0,0,0,0,0,0
202,"1840202","Almodôvar",13.16248240896,0,4.09172055552,4.51082613888,0,21.76502910336
203,"1840203","Alvito",88.80129,0,0,0,0,88.80129
204,"1840204","Barrancos",0,0,38.9230218,0,0,38.9230218
205,"1840205","Beja",11.89546479,0,34.94166984,24.1084998,23.79092958,94.73656401
206,"1840206","Castro Verde",93.2413545,0,0,1437.93538875,93.2413545,1624.41809775
207,"1840207","Cuba",0,0,616.1431536,0,0,616.1431536
208,"1840208","Ferreira do Alentejo",555.5124538272,0,2486.70606652416,3540.99267598176,4999.6120844448,11582.8232807779
209,"1840209","Mértola",1.42082064,0,1.32503904,0,0,2.74585968
210,"1840210","Moura",0,9.37485,23.12213004,0,0,32.49698004
212,"1840212","Ourique",0,0,0,0,0,0
213,"1840213","Serpa",0,0,4623.39247032,0,0,4623.39247032
214,"1840214","Vidigueira",0,0,26.35331328,0,0,26.35331328
1403,"1851403","Almeirim",0,35.0290190448,1117.8863761824,1363.6052157024,0,2516.5206109296
1404,"1851404","Alpiarça",38.93404572,15.1353,414.63457056,367.0158897,15.1353,850.85510598
1103,"1851103","Azambuja",0,0,0,0,0,0
1405,"1851405","Benavente",34.83323784,0,25.66519929,12.99982212,5.30865,78.80690925
1406,"1851406","Cartaxo",21.36559362696,0,64.04658361929,22.26299773212,78.34050996552,186.01568494389
1407,"1851407","Chamusca",0,0,42.62695482528,278.7776653896,0,321.40462021488
1409,"1851409","Coruche",2918.60541,0,22581.59652,13544.62515,1236.41847,40281.24555
1412,"1851412","Golegã",0,0,0,0,0,0
1414,"1851414","Rio Maior",140.86055113488,0,6.9911532,0,713.5240867452,861.37579108008
1415,"1851415","Salvaterra de Magos",570.7419975,0,0,107.3025,114.1483995,792.192897
1416,"1851416","Santarém",439.964948447822,37.3397640040587,138.55200001506,37.3397640040587,736.958088080104,1390.1545645511
801,"1500801","Albufeira",0,0,49.2715008,10.958409,3.6046863,63.8345961
802,"1500802","Alcoutim",0,0,0,0,0,0
803,"1500803","Aljezur",0,0,0,0,0,0
804,"1500804","Castro Marim",0,0,19388.5452,891.1755,0,20279.7207
805,"1500805","Faro",0,0,0,0,0,0
806,"1500806","Lagoa",0,0,116.91120168,22.1603382,0,139.07153988
807,"1500807","Lagos",28.77161796,0,207.3518028,143.63485542,47.06951796,426.82779414
808,"1500808","Loulé",0,0,298.77497856,214.8110208,14.4576,528.04359936
809,"1500809","Monchique",0,0,0,0,0,0
810,"1500810","Olhão",0,0,0,0,0,0
811,"1500811","Portimão",0,0,91.0611936,115.568181,0,206.6293746
812,"1500812","São Brás de Alportel",0,0,0,1.374592464,0,1.374592464
813,"1500813","Silves",0,0,0,0,0,0
814,"1500814","Tavira",17.1684,0,1197.42035904,924.0376248,89.12803176,2227.7544156
815,"1500815","Vila do Bispo",0,0,0,0,0,0
816,"1500816","Vila Real de Santo António",0,0,628.5369312,87.667272,0,716.2042032
