Muni_ID,ID,Muni,ns
1202,1821202,Arronches,27.536128491
1203,1821203,Avis,35.15154158
1204,1821204,Campo Maior,47.504813392
1205,1821205,Castelo de Vide,30.408680539
1206,1821206,Crato,29.801945045
1207,1821207,Elvas,40.530737919
1208,1821208,Fronteira,38.318238004
1209,1821209,Gavião,93.488686638
1210,1821210,Marvão,37.633123088
1211,1821211,Monforte,24.821934868
707,1820707,Mora,30.012216405
1212,1821212,Nisa,39.945557508
1213,1821213,Ponte de Sor,32.940289411
1214,1821214,Portalegre,31.850730583
701,1830701,Alandroal,26.393542093
702,1830702,Arraiolos,34.07559147
703,1830703,Borba,31.998429382
704,1830704,Estremoz,29.156889826
705,1830705,Évora,34.955958882
706,1830706,Montemor-o-Novo,31.833502987
708,1830708,Mourão,15.226713725
709,1830709,Portel,28.207493241
710,1830710,Redondo,28.802634949
711,1830711,Reguengos de Monsaraz,35.038071532
1215,1831215,Sousel,43.419728966
712,1830712,Vendas Novas,26.076002734
713,1830713,Viana do Alentejo,23.895529811
714,1830714,Vila Viçosa,48.596372228
201,1840201,Aljustrel,56.318438466
202,1840202,Almodôvar,28.087717908
203,1840203,Alvito,31.427345502
204,1840204,Barrancos,17.132224862
205,1840205,Beja,56.167004539
206,1840206,Castro Verde,22.455690631
207,1840207,Cuba,41.304661901
208,1840208,Ferreira do Alentejo,53.629201226
209,1840209,Mértola,18.504111792
210,1840210,Moura,37.307315027
212,1840212,Ourique,26.928250394
213,1840213,Serpa,46.2737945
214,1840214,Vidigueira,41.333368544
1403,1851403,Almeirim,76.46444059
1404,1851404,Alpiarça,82.548970938
1103,1851103,Azambuja,138.740014139
1405,1851405,Benavente,52.988654958
1406,1851406,Cartaxo,113.155170275
1407,1851407,Chamusca,42.686760055
1409,1851409,Coruche,22.602499111
1412,1851412,Golegã,139.301217765
1414,1851414,Rio Maior,196.14722435
1415,1851415,Salvaterra de Magos,91.055316155
1416,1851416,Santarém,104.133652789
801,1500801,Albufeira,102.781633038
802,1500802,Alcoutim,61.081700555
803,1500803,Aljezur,57.554180727
804,1500804,Castro Marim,72.549024575
805,1500805,Faro,128.804090635
806,1500806,Lagoa,51.960282916
807,1500807,Lagos,84.627229339
808,1500808,Loulé,97.876885615
809,1500809,Monchique,71.465303383
810,1500810,Olhão,114.496482869
811,1500811,Portimão,98.093192333
812,1500812,São Brás de Alportel,76.343867166
813,1500813,Silves,98.872488359
814,1500814,Tavira,82.657177814
815,1500815,Vila do Bispo,38.016046967
816,1500816,Vila Real de Santo António,64.47295423
