Muni_ID,ID,Muni,tot_maize
1003,1641003,Ansião,104
601,1640601,Arganil,169
1007,1641007,Castanheira de Pêra,4
1008,1641008,Figueiró dos Vinhos,32
606,1640606,Góis,24
607,1640607,Lousã,48
609,1640609,Miranda do Corvo,43
611,1640611,Oliveira do Hospital,188
612,1640612,Pampilhosa da Serra,15
1013,1641013,Pedrógão Grande,42
614,1640614,Penela,38
616,1640616,Tábua,185
617,1640617,Vila Nova de Poiares,35
901,1650901,Aguiar da Beira,402
1802,1651802,Carregal do Sal,113
1803,1651803,Castro Daire,570
1806,1651806,Mangualde,394
1808,1651808,Mortágua,208
1809,1651809,Nelas,97
1810,1651810,Oliveira de Frades,549
1811,1651811,Penalva do Castelo,348
1814,1651814,Santa Comba Dão,109
1816,1651816,São Pedro do Sul,848
1817,1651817,Sátão,515
1821,1651821,Tondela,589
1822,1651822,Vila Nova de Paiva,224
1823,1651823,Viseu,926
1824,1651824,Vouzela,524
1413,1661413,Mação,20
506,1660506,Oleiros,83
508,1660508,Proença-a-Nova,67
509,1660509,Sertã,181
510,1660510,Vila de Rei,13
905,1670905,Fornos de Algodres,472
906,1670906,Gouveia,100
912,1670912,Seia,173
902,1680902,Almeida,12
903,1680903,Celorico da Beira,96
904,1680904,Figueira de Castelo Rodrigo,8
907,1680907,Guarda,220
908,1680908,Manteigas,1
909,1680909,Mêda,89
910,1680910,Pinhel,163
911,1680911,Sabugal,162
913,1680913,Trancoso,240
502,1690502,Castelo Branco,168
505,1690505,Idanha-a-Nova,549
507,1690507,Penamacor,200
511,1690511,Vila Velha de Ródão,18
501,16A0501,Belmonte,149
503,16A0503,Covilhã,274
504,16A0504,Fundão,633
1001,16B1001,Alcobaça,224
1101,16B1101,Alenquer,101
1102,16B1102,Arruda dos Vinhos,23
1005,16B1005,Bombarral,17
1104,16B1104,Cadaval,10
1006,16B1006,Caldas da Rainha,125
1108,16B1108,Lourinhã,210
1011,16B1011,Nazaré,28
1012,16B1012,Óbidos,47
1014,16B1014,Peniche,111
1112,16B1112,Sobral de Monte Agraço,52
1113,16B1113,Torres Vedras,302
1401,16C1401,Abrantes,571
1402,16C1402,Alcanena,18
1408,16C1408,Constância,241
1410,16C1410,Entroncamento,74
1411,16C1411,Ferreira do Zêzere,24
1421,16C1421,Ourém,343
1417,16C1417,Sardoal,8
1418,16C1418,Tomar,489
1419,16C1419,Torres Novas,766
1420,16C1420,Vila Nova da Barquinha,29
1115,1711115,Amadora,0
1105,1711105,Cascais,1
1106,1711106,Lisboa,0
1107,1711107,Loures,74
1109,1711109,Mafra,222
1116,1711116,Odivelas,1
1110,1711110,Oeiras,0
1111,1711111,Sintra,181
1114,1711114,Vila Franca de Xira,1133
1502,1721502,Alcochete,30
1503,1721503,Almada,9
1504,1721504,Barreiro,4
1506,1721506,Moita,25
1507,1721507,Montijo,658
1508,1721508,Palmela,629
1510,1721510,Seixal,0
1511,1721511,Sesimbra,4
1512,1721512,Setúbal,3
1501,1811501,Alcácer do Sal,53
1505,1811505,Grândola,109
211,1810211,Odemira,1243
1509,1811509,Santiago do Cacém,1144
1513,1811513,Sines,23
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,18
1203,1821203,Avis,406
1204,1821204,Campo Maior,333
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,10
1207,1821207,Elvas,545
1208,1821208,Fronteira,478
1209,1821209,Gavião,58
1210,1821210,Marvão,3
1211,1821211,Monforte,75
707,1820707,Mora,581
1212,1821212,Nisa,0
1213,1821213,Ponte de Sor,521
1214,1821214,Portalegre,40
701,1830701,Alandroal,405
702,1830702,Arraiolos,314
703,1830703,Borba,64
704,1830704,Estremoz,193
705,1830705,Évora,431
706,1830706,Montemor-o-Novo,214
708,1830708,Mourão,0
709,1830709,Portel,16
710,1830710,Redondo,279
711,1830711,Reguengos de Monsaraz,3
1215,1831215,Sousel,30
712,1830712,Vendas Novas,25
713,1830713,Viana do Alentejo,706
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,128
202,1840202,Almodôvar,11
203,1840203,Alvito,51
204,1840204,Barrancos,0
205,1840205,Beja,120
206,1840206,Castro Verde,3
207,1840207,Cuba,1
208,1840208,Ferreira do Alentejo,431
209,1840209,Mértola,0
210,1840210,Moura,0
212,1840212,Ourique,285
213,1840213,Serpa,25
214,1840214,Vidigueira,41
1403,1851403,Almeirim,923
1404,1851404,Alpiarça,873
1103,1851103,Azambuja,447
1405,1851405,Benavente,980
1406,1851406,Cartaxo,586
1407,1851407,Chamusca,2438
1409,1851409,Coruche,3348
1412,1851412,Golegã,3559
1414,1851414,Rio Maior,326
1415,1851415,Salvaterra de Magos,1301
1416,1851416,Santarém,2008
801,1500801,Albufeira,0
802,1500802,Alcoutim,0
803,1500803,Aljezur,122
804,1500804,Castro Marim,3
805,1500805,Faro,4
806,1500806,Lagoa,0
807,1500807,Lagos,20
808,1500808,Loulé,4
809,1500809,Monchique,39
810,1500810,Olhão,0
811,1500811,Portimão,12
812,1500812,São Brás de Alportel,2
813,1500813,Silves,45
814,1500814,Tavira,13
815,1500815,Vila do Bispo,7
816,1500816,Vila Real de Santo António,1
