Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip
611,1640611,Oliveira do Hospital,94,0,63,0,0,0
612,1640612,Pampilhosa da Serra,7,0,2,0,0,0
1013,1641013,Pedrógão Grande,16,0,15,0,0,0
614,1640614,Penela,16,0,11,0,0,0
616,1640616,Tábua,44,0,123,0,0,0
617,1640617,Vila Nova de Poiares,10,0,11,0,0,0
901,1650901,Aguiar da Beira,81,0,270,0,0,13
1802,1651802,Carregal do Sal,28,0,82,0,0,0
1803,1651803,Castro Daire,457,0,55,0,0,0
1806,1651806,Mangualde,107,0,276,0,0,0
1808,1651808,Mortágua,95,0,31,0,0,0
1809,1651809,Nelas,43,0,49,0,0,0
1810,1651810,Oliveira de Frades,402,0,102,3,0,0
1811,1651811,Penalva do Castelo,251,0,78,0,0,0
1814,1651814,Santa Comba Dão,49,0,45,0,0,0
1816,1651816,São Pedro do Sul,717,0,98,7,0,0
1817,1651817,Sátão,323,0,75,0,0,0
1821,1651821,Tondela,319,0,186,2,0,5
1822,1651822,Vila Nova de Paiva,100,0,3,0,0,0
1823,1651823,Viseu,659,0,200,2,0,0
1824,1651824,Vouzela,293,0,168,2,0,0
1413,1661413,Mação,12,0,4,0,0,0
506,1660506,Oleiros,49,0,23,0,0,0
508,1660508,Proença-a-Nova,36,0,15,0,0,0
509,1660509,Sertã,65,0,74,0,0,0
510,1660510,Vila de Rei,4,0,3,0,0,0
905,1670905,Fornos de Algodres,142,0,289,0,0,0
906,1670906,Gouveia,44,0,34,0,0,0
912,1670912,Seia,84,0,74,0,0,0
902,1680902,Almeida,5,0,4,0,0,0
903,1680903,Celorico da Beira,43,0,42,2,0,0
904,1680904,Figueira de Castelo Rodrigo,1,0,0,0,0,0
907,1680907,Guarda,87,0,56,1,0,0
908,1680908,Manteigas,1,0,0,0,0,0
909,1680909,Mêda,38,0,8,0,0,0
910,1680910,Pinhel,15,0,72,0,0,0
911,1680911,Sabugal,86,0,9,0,0,0
913,1680913,Trancoso,43,0,127,0,0,0
502,1690502,Castelo Branco,26,0,17,5,100,0
505,1690505,Idanha-a-Nova,18,0,53,35,402,0
507,1690507,Penamacor,28,0,88,9,28,0
511,1690511,Vila Velha de Ródão,2,0,15,0,0,0
501,16A0501,Belmonte,35,0,59,26,0,0
503,16A0503,Covilhã,98,0,59,93,0,0
504,16A0504,Fundão,161,0,305,27,0,0
1001,16B1001,Alcobaça,13,0,253,36,44,0
1101,16B1101,Alenquer,1,0,47,9,0,0
1102,16B1102,Arruda dos Vinhos,0,0,1,3,40,1
1005,16B1005,Bombarral,0,0,1,0,0,0
1104,16B1104,Cadaval,0,0,4,0,0,0
1006,16B1006,Caldas da Rainha,7,0,0,0,0,0
1108,16B1108,Lourinhã,1,0,9,1,0,0
1011,16B1011,Nazaré,0,0,68,0,0,0
1012,16B1012,Óbidos,8,0,41,0,0,0
1014,16B1014,Peniche,0,0,16,0,0,0
1112,16B1112,Sobral de Monte Agraço,0,0,6,0,0,0
1113,16B1113,Torres Vedras,6,0,16,5,0,0
1401,16C1401,Abrantes,88,0,38,18,4,26
1402,16C1402,Alcanena,0,0,24,23,1009,0
1408,16C1408,Constância,25,0,0,0,0,0
1410,16C1410,Entroncamento,7,0,1,0,0,27
1411,16C1411,Ferreira do Zêzere,8,0,0,0,0,0
1421,16C1421,Ourém,262,0,3,0,0,0
1417,16C1417,Sardoal,0,0,0,0,0,0
1418,16C1418,Tomar,152,0,0,0,0,2
1419,16C1419,Torres Novas,205,0,13,23,50,31
1420,16C1420,Vila Nova da Barquinha,14,0,8,0,959,4
1115,1711115,Amadora,0,0,5,0,0,0
1105,1711105,Cascais,0,0,4,0,0,0
1106,1711106,Lisboa,0,0,6,10,7,0
1107,1711107,Loures,4,0,18,165,415,48
1109,1711109,Mafra,18,0,86,143,336,0
1116,1711116,Odivelas,0,0,0,0,0,0
1110,1711110,Oeiras,0,0,2,0,0,0
1111,1711111,Sintra,6,0,1,0,0,0
1114,1711114,Vila Franca de Xira,23,0,768,45,804,142
1502,1721502,Alcochete,0,0,6,8,0,0
1503,1721503,Almada,0,0,31,0,185,0
1504,1721504,Barreiro,0,0,40,0,0,0
1506,1721506,Moita,0,0,12,0,0,0
1507,1721507,Montijo,33,0,48,0,0,25
1508,1721508,Palmela,2,0,1,0,0,30
1510,1721510,Seixal,0,0,167,0,166,0
1511,1721511,Sesimbra,1,0,317,34,152,0
1512,1721512,Setúbal,0,0,11,0,0,0
1501,1811501,Alcácer do Sal,0,0,185,0,473,0
1505,1811505,Grândola,37,0,5,0,323,11
211,1810211,Odemira,198,0,1,28,772,57
1509,1811509,Santiago do Cacém,39,0,31,0,354,157
1513,1811513,Sines,5,0,179,0,1143,0
1201,1821201,Alter do Chão,0,0,476,0,1681,0
1202,1821202,Arronches,0,0,55,21,227,0
1203,1821203,Avis,1,0,11,18,1071,0
1204,1821204,Campo Maior,0,0,285,133,851,0
1205,1821205,Castelo de Vide,0,0,358,432,7199,0
1206,1821206,Crato,0,0,110,214,1595,0
1207,1821207,Elvas,114,0,1,0,52,10
1208,1821208,Fronteira,0,0,7,4,38,0
1209,1821209,Gavião,29,0,42,204,648,0
1210,1821210,Marvão,0,0,53,6,857,0
1211,1821211,Monforte,0,0,6,0,0,0
707,1820707,Mora,71,0,210,31,2477,43
1212,1821212,Nisa,0,0,0,0,0,0
1213,1821213,Ponte de Sor,42,0,0,0,17,15
1214,1821214,Portalegre,3,0,26,0,379,0
701,1830701,Alandroal,0,0,0,0,0,0
702,1830702,Arraiolos,40,0,10,0,0,0
703,1830703,Borba,0,0,84,25,308,0
704,1830704,Estremoz,1,0,0,1,477,7
705,1830705,Évora,0,0,22,1,0,0
706,1830706,Montemor-o-Novo,0,0,3,0,0,34
708,1830708,Mourão,0,0,0,0,75,0
709,1830709,Portel,0,0,0,0,468,0
710,1830710,Redondo,10,0,0,0,0,0
711,1830711,Reguengos de Monsaraz,0,0,63,0,391,0
1215,1831215,Sousel,0,0,0,0,37,0
712,1830712,Vendas Novas,21,0,25,89,2251,0
713,1830713,Viana do Alentejo,0,0,12,0,393,0
714,1830714,Vila Viçosa,0,0,0,3,270,0
201,1840201,Aljustrel,13,0,1,21,163,7
202,1840202,Almodôvar,5,0,1,23,209,3
203,1840203,Alvito,0,0,1,20,160,0
204,1840204,Barrancos,0,0,0,0,0,0
205,1840205,Beja,3,0,2,14,0,13
206,1840206,Castro Verde,3,0,8,0,260,0
207,1840207,Cuba,0,0,0,0,3,0
208,1840208,Ferreira do Alentejo,0,0,0,0,30,28
209,1840209,Mértola,0,0,1,2,0,0
210,1840210,Moura,0,0,0,6,700,0
212,1840212,Ourique,18,0,0,0,0,0
213,1840213,Serpa,0,0,13,98,877,0
214,1840214,Vidigueira,1,0,0,5,94,0
1403,1851403,Almeirim,33,0,0,1,50,162
1404,1851404,Alpiarça,56,0,0,0,0,149
1103,1851103,Azambuja,52,0,2,1,101,22
1405,1851405,Benavente,36,0,0,0,0,39
1406,1851406,Cartaxo,94,0,0,0,0,82
1407,1851407,Chamusca,544,0,5,91,306,563
1409,1851409,Coruche,296,0,0,0,0,83
1412,1851412,Golegã,1071,0,0,0,0,312
1414,1851414,Rio Maior,14,0,4,0,260,4
1415,1851415,Salvaterra de Magos,145,0,0,0,25,52
1416,1851416,Santarém,405,0,0,0,40,329
801,1500801,Albufeira,0,0,0,0,0,0
802,1500802,Alcoutim,0,0,0,0,0,0
803,1500803,Aljezur,88,0,4,2,0,0
804,1500804,Castro Marim,0,0,3,0,0,0
805,1500805,Faro,1,0,1,0,0,2
806,1500806,Lagoa,0,0,0,0,0,0
807,1500807,Lagos,13,0,7,0,0,0
808,1500808,Loulé,2,0,0,0,0,1
809,1500809,Monchique,20,0,13,0,0,0
810,1500810,Olhão,0,0,0,0,0,0
811,1500811,Portimão,2,0,9,0,0,0
812,1500812,São Brás de Alportel,0,0,2,0,0,0
813,1500813,Silves,10,0,30,0,0,2
814,1500814,Tavira,0,0,6,0,0,3
815,1500815,Vila do Bispo,1,0,2,0,0,0
816,1500816,Vila Real de Santo António,0,0,0,0,0,1
