Muni_ID,ID,Muni,tot_potato
1003,1641003,Ansião,0
601,1640601,Arganil,9
1007,1641007,Castanheira de Pêra,3
1008,1641008,Figueiró dos Vinhos,19
606,1640606,Góis,5
607,1640607,Lousã,12
609,1640609,Miranda do Corvo,11
611,1640611,Oliveira do Hospital,94
612,1640612,Pampilhosa da Serra,0
1013,1641013,Pedrógão Grande,1
614,1640614,Penela,12
616,1640616,Tábua,46
617,1640617,Vila Nova de Poiares,14
901,1650901,Aguiar da Beira,213
1802,1651802,Carregal do Sal,12
1803,1651803,Castro Daire,34
1806,1651806,Mangualde,122
1808,1651808,Mortágua,54
1809,1651809,Nelas,27
1810,1651810,Oliveira de Frades,17
1811,1651811,Penalva do Castelo,28
1814,1651814,Santa Comba Dão,44
1816,1651816,São Pedro do Sul,54
1817,1651817,Sátão,43
1821,1651821,Tondela,68
1822,1651822,Vila Nova de Paiva,21
1823,1651823,Viseu,129
1824,1651824,Vouzela,9
1413,1661413,Mação,0
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,0
509,1660509,Sertã,12
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,48
906,1670906,Gouveia,63
912,1670912,Seia,52
902,1680902,Almeida,29
903,1680903,Celorico da Beira,96
904,1680904,Figueira de Castelo Rodrigo,33
907,1680907,Guarda,214
908,1680908,Manteigas,1
909,1680909,Meda,20
910,1680910,Pinhel,198
911,1680911,Sabugal,138
913,1680913,Trancoso,256
502,1690502,Castelo Branco,12
505,1690505,Idanha-a-Nova,29
507,1690507,Penamacor,9
511,1690511,Vila Velha de Ródão,0
501,16A0501,Belmonte,15
503,16A0503,Covilhã,62
504,16A0504,Fundão,32
1001,16B1001,Alcobaça,246
1101,16B1101,Alenquer,79
1102,16B1102,Arruda dos Vinhos,9
1005,16B1005,Bombarral,59
1104,16B1104,Cadaval,13
1006,16B1006,Caldas da Rainha,69
1108,16B1108,Lourinhã,1005
1011,16B1011,Nazaré,63
1012,16B1012,Óbidos,97
1014,16B1014,Peniche,104
1112,16B1112,Sobral de Monte Agraço,25
1113,16B1113,Torres Vedras,377
1401,16C1401,Abrantes,22
1402,16C1402,Alcanena,1
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,0
1421,16C1421,Ourém,3
1417,16C1417,Sardoal,1
1418,16C1418,Tomar,6
1419,16C1419,Torres Novas,22
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,3
1109,1711109,Mafra,166
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,72
1114,1711114,Vila Franca de Xira,22
1502,1721502,Alcochete,89
1503,1721503,Almada,4
1504,1721504,Barreiro,5
1506,1721506,Moita,36
1507,1721507,Montijo,567
1508,1721508,Palmela,413
1510,1721510,Seixal,0
1511,1721511,Sesimbra,1
1512,1721512,Setúbal,10
1501,1811501,Alcácer do Sal,115
1505,1811505,Grândola,22
211,1810211,Odemira,108
1509,1811509,Santiago do Cacém,5
1513,1811513,Sines,9
1201,1821201,Alter do Chão,1
1202,1821202,Arronches,3
1203,1821203,Avis,3
1204,1821204,Campo Maior,0
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,0
1207,1821207,Elvas,20
1208,1821208,Fronteira,0
1209,1821209,Gavião,3
1210,1821210,Marvão,13
1211,1821211,Monforte,0
707,1820707,Mora,1
1212,1821212,Nisa,0
1213,1821213,Ponte de Sor,2
1214,1821214,Portalegre,7
701,1830701,Alandroal,0
702,1830702,Arraiolos,0
703,1830703,Borba,1
704,1830704,Estremoz,17
705,1830705,Évora,7
706,1830706,Montemor-o-Novo,1
708,1830708,Mourão,0
709,1830709,Portel,0
710,1830710,Redondo,0
711,1830711,Reguengos de Monsaraz,1
1215,1831215,Sousel,0
712,1830712,Vendas Novas,6
713,1830713,Viana do Alentejo,1
714,1830714,Vila Viçosa,1
201,1840201,Aljustrel,0
202,1840202,Almodôvar,0
203,1840203,Alvito,1
204,1840204,Barrancos,0
205,1840205,Beja,1
206,1840206,Castro Verde,0
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,0
209,1840209,Mértola,0
210,1840210,Moura,1
212,1840212,Ourique,0
213,1840213,Serpa,1
214,1840214,Vidigueira,0
1403,1851403,Almeirim,454
1404,1851404,Alpiarça,145
1103,1851103,Azambuja,18
1405,1851405,Benavente,292
1406,1851406,Cartaxo,38
1407,1851407,Chamusca,125
1409,1851409,Coruche,248
1412,1851412,Golegã,269
1414,1851414,Rio Maior,5
1415,1851415,Salvaterra de Magos,242
1416,1851416,Santarém,167
801,1500801,Albufeira,0
802,1500802,Alcoutim,0
803,1500803,Aljezur,40
804,1500804,Castro Marim,2
805,1500805,Faro,12
806,1500806,Lagoa,2
807,1500807,Lagos,9
808,1500808,Loulé,1
809,1500809,Monchique,49
810,1500810,Olhão,5
811,1500811,Portimão,7
812,1500812,São Brás de Alportel,4
813,1500813,Silves,15
814,1500814,Tavira,10
815,1500815,Vila do Bispo,1
816,1500816,Vila Real de Santo António,6
