"Muni_ID","ID","Muni","potato","total"
1712,"1181712","Valpaços",4848.5,4848.5
1713,"1181713","Vila Pouca de Aguiar",2881.66,2881.66
411,"1180411","Vimioso",1052.03,1052.03
412,"1180412","Vinhais",2149.81,2149.81
101,"1610101","Águeda",824.78,824.78
102,"1610102","Albergaria-a-Velha",602.73,602.73
103,"1610103","Anadia",2981.91,2981.91
105,"1610105","Aveiro",1078.56,1078.56
108,"1610108","Estarreja",63.44,63.44
110,"1610110","Ílhavo",983.39,983.39
111,"1610111","Mealhada",697.89,697.89
112,"1610112","Murtosa",0,0
114,"1610114","Oliveira do Bairro",1713.01,1713.01
115,"1610115","Ovar",31.72,31.72
117,"1610117","Sever do Vouga",158.61,158.61
118,"1610118","Vagos",3552.91,3552.91
602,"1620602","Cantanhede",2823.29,2823.29
603,"1620603","Coimbra",1332.34,1332.34
604,"1620604","Condeixa-a-Nova",348.95,348.95
605,"1620605","Figueira da Foz",317.22,317.22
608,"1620608","Mira",1713.01,1713.01
610,"1620610","Montemor-o-Velho",1395.79,1395.79
613,"1620613","Penacova",666.17,666.17
615,"1620615","Soure",285.5,285.5
1004,"1631004","Batalha",253.78,253.78
1009,"1631009","Leiria",602.73,602.73
1010,"1631010","Marinha Grande",31.72,31.72
1015,"1631015","Pombal",697.89,697.89
1016,"1631016","Porto de Mós",380.67,380.67
1002,"1641002","Alvaiázere",31.72,31.72
1003,"1641003","Ansião",0,0
601,"1640601","Arganil",126.89,126.89
1007,"1641007","Castanheira de Pêra",31.72,31.72
1008,"1641008","Figueiró dos Vinhos",253.78,253.78
606,"1640606","Góis",63.44,63.44
607,"1640607","Lousã",158.61,158.61
609,"1640609","Miranda do Corvo",126.89,126.89
611,"1640611","Oliveira do Hospital",1205.45,1205.45
612,"1640612","Pampilhosa da Serra",0,0
1013,"1641013","Pedrógão Grande",0,0
614,"1640614","Penela",158.61,158.61
616,"1640616","Tábua",602.73,602.73
617,"1640617","Vila Nova de Poiares",190.33,190.33
901,"1650901","Aguiar da Beira",2728.13,2728.13
1802,"1651802","Carregal do Sal",158.61,158.61
1803,"1651803","Castro Daire",444.11,444.11
1806,"1651806","Mangualde",1586.12,1586.12
1808,"1651808","Mortágua",697.89,697.89
1809,"1651809","Nelas",348.95,348.95
1810,"1651810","Oliveira de Frades",222.06,222.06
1811,"1651811","Penalva do Castelo",348.95,348.95
1814,"1651814","Santa Comba Dão",571,571
1816,"1651816","São Pedro do Sul",697.89,697.89
1817,"1651817","Sátão",539.28,539.28
1821,"1651821","Tondela",888.23,888.23
1822,"1651822","Vila Nova de Paiva",285.5,285.5
1823,"1651823","Viseu",1649.56,1649.56
1824,"1651824","Vouzela",126.89,126.89
1413,"1661413","Mação",0,0
506,"1660506","Oleiros",0,0
508,"1660508","Proença-a-Nova",0,0
509,"1660509","Sertã",103.07,103.07
510,"1660510","Vila de Rei",0,0
905,"1670905","Fornos de Algodres",453.49,453.49
906,"1670906","Gouveia",577.17,577.17
912,"1670912","Seia",474.1,474.1
902,"1680902","Almeida",267.97,267.97
903,"1680903","Celorico da Beira",886.36,886.36
904,"1680904","Figueira de Castelo Rodrigo",309.2,309.2
907,"1680907","Guarda",1978.86,1978.86
908,"1680908","Manteigas",0,0
909,"1680909","Mêda",185.52,185.52
910,"1680910","Pinhel",1834.57,1834.57
911,"1680911","Sabugal",1278.01,1278.01
913,"1680913","Trancoso",2370.51,2370.51
502,"1690502","Castelo Branco",103.07,103.07
505,"1690505","Idanha-a-Nova",267.97,267.97
507,"1690507","Penamacor",82.45,82.45
511,"1690511","Vila Velha de Ródão",0,0
501,"16A0501","Belmonte",144.29,144.29
503,"16A0503","Covilhã",577.17,577.17
504,"16A0504","Fundão",288.58,288.58
1001,"16B1001","Alcobaça",3659.28,3659.28
1101,"16B1101","Alenquer",1180.41,1180.41
1102,"16B1102","Arruda dos Vinhos",118.04,118.04
1005,"16B1005","Bombarral",865.64,865.64
1104,"16B1104","Cadaval",196.74,196.74
1006,"16B1006","Caldas da Rainha",1023.02,1023.02
1108,"16B1108","Lourinhã",14951.9,14951.9
1011,"16B1011","Nazaré",944.33,944.33
1012,"16B1012","Óbidos",1455.84,1455.84
1014,"16B1014","Peniche",1534.54,1534.54
1112,"16B1112","Sobral de Monte Agraço",354.12,354.12
1113,"16B1113","Torres Vedras",5626.64,5626.64
1401,"16C1401","Abrantes",314.78,314.78
1402,"16C1402","Alcanena",0,0
1408,"16C1408","Constância",0,0
1410,"16C1410","Entroncamento",0,0
1411,"16C1411","Ferreira do Zêzere",0,0
1421,"16C1421","Ourém",39.35,39.35
1417,"16C1417","Sardoal",0,0
1418,"16C1418","Tomar",78.69,78.69
1419,"16C1419","Torres Novas",314.78,314.78
1420,"16C1420","Vila Nova da Barquinha",0,0
1115,"1711115","Amadora",0,0
1105,"1711105","Cascais",0,0
1106,"1711106","Lisboa",0,0
1107,"1711107","Loures",39.35,39.35
1109,"1711109","Mafra",2478.87,2478.87
1116,"1711116","Odivelas",0,0
1110,"1711110","Oeiras",0,0
1111,"1711111","Sintra",1062.37,1062.37
1114,"1711114","Vila Franca de Xira",314.78,314.78
1502,"1721502","Alcochete",1337.8,1337.8
1503,"1721503","Almada",78.69,78.69
1504,"1721504","Barreiro",78.69,78.69
1506,"1721506","Moita",550.86,550.86
1507,"1721507","Montijo",8420.28,8420.28
1508,"1721508","Palmela",6138.15,6138.15
1510,"1721510","Seixal",0,0
1511,"1721511","Sesimbra",0,0
1512,"1721512","Setúbal",157.39,157.39
1501,"1811501","Alcácer do Sal",1374.68,1374.68
1505,"1811505","Grândola",263.24,263.24
211,"1810211","Odemira",1286.94,1286.94
1509,"1811509","Santiago do Cacém",58.5,58.5
1513,"1811513","Sines",116.99,116.99
1201,"1821201","Alter do Chão",0,0
1202,"1821202","Arronches",29.25,29.25
1203,"1821203","Avis",29.25,29.25
1204,"1821204","Campo Maior",0,0
1205,"1821205","Castelo de Vide",0,0
1206,"1821206","Crato",0,0
1207,"1821207","Elvas",233.99,233.99
1208,"1821208","Fronteira",0,0
1209,"1821209","Gavião",29.25,29.25
1210,"1821210","Marvão",146.24,146.24
1211,"1821211","Monforte",0,0
707,"1820707","Mora",0,0
1212,"1821212","Nisa",0,0
1213,"1821213","Ponte de Sor",29.25,29.25
1214,"1821214","Portalegre",87.75,87.75
701,"1830701","Alandroal",0,0
702,"1830702","Arraiolos",0,0
703,"1830703","Borba",0,0
704,"1830704","Estremoz",204.74,204.74
705,"1830705","Évora",87.75,87.75
706,"1830706","Montemor-o-Novo",0,0
708,"1830708","Mourão",0,0
709,"1830709","Portel",0,0
710,"1830710","Redondo",0,0
711,"1830711","Reguengos de Monsaraz",0,0
1215,"1831215","Sousel",0,0
712,"1830712","Vendas Novas",58.5,58.5
713,"1830713","Viana do Alentejo",0,0
714,"1830714","Vila Viçosa",0,0
201,"1840201","Aljustrel",0,0
202,"1840202","Almodôvar",0,0
203,"1840203","Alvito",0,0
204,"1840204","Barrancos",0,0
205,"1840205","Beja",0,0
206,"1840206","Castro Verde",0,0
207,"1840207","Cuba",0,0
208,"1840208","Ferreira do Alentejo",0,0
209,"1840209","Mértola",0,0
210,"1840210","Moura",0,0
212,"1840212","Ourique",0,0
213,"1840213","Serpa",0,0
214,"1840214","Vidigueira",0,0
1403,"1851403","Almeirim",6767.7,6767.7
1404,"1851404","Alpiarça",2164.09,2164.09
1103,"1851103","Azambuja",275.43,275.43
1405,"1851405","Benavente",4328.18,4328.18
1406,"1851406","Cartaxo",550.86,550.86
1407,"1851407","Chamusca",1849.31,1849.31
1409,"1851409","Coruche",3698.63,3698.63
1412,"1851412","Golegã",4013.4,4013.4
1414,"1851414","Rio Maior",78.69,78.69
1415,"1851415","Salvaterra de Magos",3580.59,3580.59
1416,"1851416","Santarém",2478.87,2478.87
801,"1500801","Albufeira",0,0
802,"1500802","Alcoutim",0,0
803,"1500803","Aljezur",491.54,491.54
804,"1500804","Castro Marim",30.72,30.72
805,"1500805","Faro",153.61,153.61
806,"1500806","Lagoa",30.72,30.72
807,"1500807","Lagos",122.88,122.88
808,"1500808","Loulé",0,0
809,"1500809","Monchique",614.42,614.42
810,"1500810","Olhão",61.44,61.44
811,"1500811","Portimão",92.16,92.16
812,"1500812","São Brás de Alportel",61.44,61.44
813,"1500813","Silves",184.33,184.33
814,"1500814","Tavira",122.88,122.88
815,"1500815","Vila do Bispo",0,0
816,"1500816","Vila Real de Santo António",61.44,61.44
