Muni_ID,ID,Muni,horticulture_extensive,horticulture_intensive,sum
1109,1711109,Mafra,11625.4702395,103779.5895,115405.0597395
1116,1711116,Odivelas,1.368954,8.4256380792,9.7945920792
1110,1711110,Oeiras,0,0,0
1111,1711111,Sintra,128.7320517,949.2378993,1077.969951
1114,1711114,Vila Franca de Xira,11143.990368,129.4352784,11273.4256464
1502,1721502,Alcochete,269.884844424,4518.138381822,4788.023226246
1503,1721503,Almada,9.56892448512,767.89920711339,777.46813159851
1504,1721504,Barreiro,0,143.09049777444,143.09049777444
1506,1721506,Moita,102.2941632672,1160.6286296448,1262.922792912
1507,1721507,Montijo,795.82543677,272.41210971,1068.23754648
1508,1721508,Palmela,1132.85836494,2611.98070011,3744.83906505
1510,1721510,Seixal,0,78.838074414,78.838074414
1511,1721511,Sesimbra,137.0634696,2944.9494162,3082.0128858
1512,1721512,Setúbal,363.4730204832,3263.1019865208,3626.575007004
1501,1811501,Alcácer do Sal,362.53773882144,53.3431278216,415.88086664304
1505,1811505,Grândola,350.67604572,39.137175,389.81322072
211,1810211,Odemira,0,0,0
1509,1811509,Santiago do Cacém,19471.062602592,2929.06168848,22400.124291072
1513,1811513,Sines,3557.8111464,82.828494,3640.6396404
1201,1821201,Alter do Chão,70.029,0,70.029
1202,1821202,Arronches,854.410275,0,854.410275
1203,1821203,Avis,1801.871362368,1287.49961052,3089.370972888
1204,1821204,Campo Maior,1821.85237098,0,1821.85237098
1205,1821205,Castelo de Vide,0,0,0
1206,1821206,Crato,0,0,0
1207,1821207,Elvas,11080.1029839494,624.07781754696,11704.1808014964
1208,1821208,Fronteira,406.485056376,0,406.485056376
1209,1821209,Gavião,0,676.00575,676.00575
1210,1821210,Marvão,190.63646784,626.62791807,817.26438591
1211,1821211,Monforte,0,0,0
707,1820707,Mora,798.1483474944,41.637888,839.7862354944
1212,1821212,Nisa,0,99.099414462312,99.099414462312
1213,1821213,Ponte de Sor,846.6207912,2251.5999678,3098.220759
1214,1821214,Portalegre,46.0836,224.59149684,270.67509684
701,1830701,Alandroal,0,0,0
702,1830702,Arraiolos,11100.0916728,2936.5323822,14036.624055
703,1830703,Borba,31.9612356,419.333652,451.2948876
704,1830704,Estremoz,1072.5623568,1302.783372,2375.3457288
705,1830705,Évora,6907.37978889,8119.98562032,15027.36540921
706,1830706,Montemor-o-Novo,0,0,0
708,1830708,Mourão,61.3449522,0,61.3449522
709,1830709,Portel,86.1709104,0,86.1709104
710,1830710,Redondo,0,0,0
711,1830711,Reguengos de Monsaraz,1293.061250448,343.61097804,1636.672228488
1215,1831215,Sousel,3412.4214546,0,3412.4214546
712,1830712,Vendas Novas,0,0,0
713,1830713,Viana do Alentejo,185.33712998016,194.6106741312,379.94780411136
714,1830714,Vila Viçosa,33.19844472,9.0716922,42.27013692
201,1840201,Aljustrel,6362.19324846,119.70655605,6481.89980451
202,1840202,Almodôvar,0,0,0
203,1840203,Alvito,975.30066,0,975.30066
204,1840204,Barrancos,0,0,0
205,1840205,Beja,603.93133845,1055.66379435,1659.5951328
206,1840206,Castro Verde,177.89625,162.8343675,340.7306175
207,1840207,Cuba,1575.2603376,105.0435,1680.3038376
208,1840208,Ferreira do Alentejo,24154.1506608998,3269.2706342064,27423.4212951062
209,1840209,Mértola,0,1.5776856,1.5776856
210,1840210,Moura,1681.96808808,49.1054643,1731.07355238
212,1840212,Ourique,0,0,0
213,1840213,Serpa,18023.0108742,0,18023.0108742
214,1840214,Vidigueira,415.41889536,78.46031088,493.87920624
1403,1851403,Almeirim,20573.8130823984,1570.2452256744,22144.0583080728
1404,1851404,Alpiarça,16109.18995968,2631.27795912,18740.4679188
1103,1851103,Azambuja,0,0,0
1405,1851405,Benavente,7887.27046581,2465.99002395,10353.26048976
1406,1851406,Cartaxo,10380.6185186134,1115.60852799,11496.2270466034
1407,1851407,Chamusca,8798.74204230252,1876.21624954764,10674.9582918502
1409,1851409,Coruche,314550.693765,177887.23659,492437.930355
1412,1851412,Golegã,4209.0428952,7644.266244,11853.3091392
1414,1851414,Rio Maior,1435.5913627008,512.12434359024,1947.71570629104
1415,1851415,Salvaterra de Magos,84666.5869545,39160.777032,123827.3639865
1416,1851416,Santarém,23659.6660201717,3338.59748556289,26998.2635057346
801,1500801,Albufeira,21.6362502,15.9042636,37.5405138
802,1500802,Alcoutim,0,0,0
803,1500803,Aljezur,0,0,0
804,1500804,Castro Marim,477.947925,8044.355475,8522.3034
805,1500805,Faro,0,0,0
806,1500806,Lagoa,27.67575447,223.74746667,251.42322114
807,1500807,Lagos,422.0959572,757.9356138,1180.031571
808,1500808,Loulé,140.04498816,666.5098176,806.55480576
809,1500809,Monchique,0,0,0
810,1500810,Olhão,0,0,0
811,1500811,Portimão,39.7050876,215.5187655,255.2238531
812,1500812,São Brás de Alportel,0,0,0
813,1500813,Silves,0,0,0
814,1500814,Tavira,144.38967768,995.41009728,1139.79977496
815,1500815,Vila do Bispo,0,0,0
816,1500816,Vila Real de Santo António,326.8655532,143.1383724,470.0039256
