Muni_ID,ID,Muni,perma_grassland,tempo_grassland,sum
506,1660506,Oleiros,0,0,0
508,1660508,Proença-a-Nova,0,0,0
509,1660509,Sertã,60.80500602,0,60.80500602
510,1660510,Vila de Rei,0,0,0
905,1670905,Fornos de Algodres,23.5826046,9.7548138,33.3374184
906,1670906,Gouveia,8351.3879118,1098.7132185,9450.1011303
912,1670912,Seia,5624.1636264,117.2798253,5741.4434517
902,1680902,Almeida,1346.12147376,0,1346.12147376
903,1680903,Celorico da Beira,0,0,0
904,1680904,Figueira de Castelo Rodrigo,1086.5110041,0,1086.5110041
907,1680907,Guarda,15634.45778895,1233.54983367,16868.00762262
908,1680908,Manteigas,17.48161035,0,17.48161035
909,1680909,Mêda,153.81747864,0,153.81747864
910,1680910,Pinhel,827.39584278,50.72503176,878.12087454
911,1680911,Sabugal,3826.4383242,12.2876046,3838.7259288
913,1680913,Trancoso,0,0,0
502,1690502,Castelo Branco,0,0,0
505,1690505,Idanha-a-Nova,0,0,0
507,1690507,Penamacor,1346.06090997,286.7402916,1632.80120157
511,1690511,Vila Velha de Ródão,162.548604,93.502269,256.050873
501,16A0501,Belmonte,2033.8217505,390.755043,2424.5767935
503,16A0503,Covilhã,0,0,0
504,16A0504,Fundão,3210.9692562,115.764714,3326.7339702
1001,16B1001,Alcobaça,374.402142,240.434406,614.836548
1101,16B1101,Alenquer,142.0343991,142.0343991,284.0687982
1102,16B1102,Arruda dos Vinhos,4.452489,0,4.452489
1005,16B1005,Bombarral,262.696851,0,262.696851
1104,16B1104,Cadaval,0,0,0
1006,16B1006,Caldas da Rainha,788.090553,65.67421275,853.76476575
1108,16B1108,Lourinhã,264.9230955,75.692313,340.6154085
1011,16B1011,Nazaré,28.94451786675,34.7334214401,63.67793930685
1012,16B1012,Óbidos,8.904978,0,8.904978
1014,16B1014,Peniche,17.94353067,0,17.94353067
1112,16B1112,Sobral de Monte Agraço,12.05140356,0,12.05140356
1113,16B1113,Torres Vedras,261.13847985,22.7076939,283.84617375
1401,16C1401,Abrantes,3396.1426488,58.209912,3454.3525608
1402,16C1402,Alcanena,121.389624,0,121.389624
1408,16C1408,Constância,0,0,0
1410,16C1410,Entroncamento,357.676506,0,357.676506
1411,16C1411,Ferreira do Zêzere,2048.510898,0,2048.510898
1421,16C1421,Ourém,0,0,0
1417,16C1417,Sardoal,0,0,0
1418,16C1418,Tomar,1696.1674392,34.8527556,1731.0201948
1419,16C1419,Torres Novas,0,0,0
1420,16C1420,Vila Nova da Barquinha,0,0,0
1115,1711115,Amadora,0,0,0
1105,1711105,Cascais,0,0,0
1106,1711106,Lisboa,0,0,0
1107,1711107,Loures,259.1226612,0,259.1226612
1109,1711109,Mafra,5825.156796,628.864938,6454.021734
1116,1711116,Odivelas,2.040654096,0,2.040654096
1110,1711110,Oeiras,0,0,0
1111,1711111,Sintra,22.463496,35.357868,57.821364
1114,1711114,Vila Franca de Xira,2665.29752775,1474.47019575,4139.7677235
1502,1721502,Alcochete,74.85765768,12.47627628,87.33393396
1503,1721503,Almada,18.3689175384,4.5922293846,22.961146923
1504,1721504,Barreiro,7.2617814,0,7.2617814
1506,1721506,Moita,1509.2758512,20.123678016,1529.399529216
1507,1721507,Montijo,561.2151168,0,561.2151168
1508,1721508,Palmela,4656.75760665,47.7331218,4704.49072845
1510,1721510,Seixal,706.75327008,0,706.75327008
1511,1721511,Sesimbra,606.514392,0,606.514392
1512,1721512,Setúbal,1429.785870048,1108.5263651016,2538.3122351496
1501,1811501,Alcácer do Sal,7719.6610340496,318.806150526,8038.4671845756
1505,1811505,Grândola,77.7873096,0,77.7873096
211,1810211,Odemira,0,0,0
1509,1811509,Santiago do Cacém,8679.98087712,0,8679.98087712
1513,1811513,Sines,954.662436,0,954.662436
1201,1821201,Alter do Chão,949.9783995,0,949.9783995
1202,1821202,Arronches,0,0,0
1203,1821203,Avis,57923.39525904,300.94596792,58224.34122696
1204,1821204,Campo Maior,755.570610225,20.4570522,776.027662425
1205,1821205,Castelo de Vide,0,0,0
1206,1821206,Crato,0,0,0
1207,1821207,Elvas,605.6961424416,393.5258411364,999.221983578
1208,1821208,Fronteira,2788.12767087,99.572807412,2887.700478282
1209,1821209,Gavião,9357.421815,0,9357.421815
1210,1821210,Marvão,243.9692892,0,243.9692892
1211,1821211,Monforte,13792.070231478,0,13792.070231478
707,1820707,Mora,6095.273269248,3794.557888512,9889.83115776
1212,1821212,Nisa,0,0,0
1213,1821213,Ponte de Sor,5364.544437,446.231565,5810.776002
1214,1821214,Portalegre,1158.6799548,0,1158.6799548
701,1830701,Alandroal,0,0,0
702,1830702,Arraiolos,8549.754768,12410.977626,20960.732394
703,1830703,Borba,313.169688,0,313.169688
704,1830704,Estremoz,8423.413416,1000.122552,9423.535968
705,1830705,Évora,30293.12934585,0,30293.12934585
706,1830706,Montemor-o-Novo,0,0,0
708,1830708,Mourão,8.839467,0,8.839467
709,1830709,Portel,3949.073109,0,3949.073109
710,1830710,Redondo,0,0,0
711,1830711,Reguengos de Monsaraz,1420.17402384,0,1420.17402384
1215,1831215,Sousel,1145.0871,0,1145.0871
712,1830712,Vendas Novas,0,0,0
713,1830713,Viana do Alentejo,19614.32610552,872.2927467072,20486.6188522272
714,1830714,Vila Viçosa,11.6175852,0,11.6175852
201,1840201,Aljustrel,3078.590049,5013.624769425,8092.214818425
202,1840202,Almodôvar,0,0,0
203,1840203,Alvito,0,0,0
204,1840204,Barrancos,0,0,0
205,1840205,Beja,6266.33360001,300.4393194,6566.77291941
206,1840206,Castro Verde,0,0,0
207,1840207,Cuba,62633.9376,0,62633.9376
208,1840208,Ferreira do Alentejo,39903.4162664496,5840.5118189904,45743.92808544
209,1840209,Mértola,67.8892752,0,67.8892752
210,1840210,Moura,909.78231825,0,909.78231825
212,1840212,Ourique,86.4169155,0,86.4169155
213,1840213,Serpa,14196.8906172,0,14196.8906172
214,1840214,Vidigueira,54.62695728,0,54.62695728
1403,1851403,Almeirim,773.862666192,0,773.862666192
1404,1851404,Alpiarça,1313.9559342,0,1313.9559342
1103,1851103,Azambuja,0,0,0
1405,1851405,Benavente,5141.68977231,832.18503573,5973.87480804
1406,1851406,Cartaxo,1336.01036155695,0,1336.01036155695
1407,1851407,Chamusca,15634.6634170454,913.02959374758,16547.693010793
1409,1851409,Coruche,288725.850945,44794.829205,333520.68015
1412,1851412,Golegã,1469.7035928,306.9493056,1776.6528984
1414,1851414,Rio Maior,3030.99209816976,20.12613183216,3051.11823000192
1415,1851415,Salvaterra de Magos,82376.043408,0,82376.043408
1416,1851416,Santarém,9426.69013542464,149.573811616258,9576.2639470409
801,1500801,Albufeira,34.1418483,0,34.1418483
802,1500802,Alcoutim,0,0,0
803,1500803,Aljezur,0,0,0
804,1500804,Castro Marim,81696.565575,0,81696.565575
805,1500805,Faro,0,0,0
806,1500806,Lagoa,0,0,0
807,1500807,Lagos,4336.8950664,40.9141044,4377.8091708
808,1500808,Loulé,0,135.95637888,135.95637888
809,1500809,Monchique,0,0,0
810,1500810,Olhão,0,0,0
811,1500811,Portimão,102.4255449,0,102.4255449
812,1500812,São Brás de Alportel,0,0,0
813,1500813,Silves,0,0,0
814,1500814,Tavira,24.71219496,0,24.71219496
815,1500815,Vila do Bispo,0,0,0
816,1500816,Vila Real de Santo António,0,0,0
