Muni_ID,ID,Muni,leaching_large,leaching_small,leaching_gw,SUM
1205,1821205,Castelo de Vide,15.095,3.643,911.18,929.918
1206,1821206,Crato,0,1.461,1165.862,1167.323
1207,1821207,Elvas,4.002,1.389,4684.583,4689.974
1208,1821208,Fronteira,0,1.054,1388.082,1389.136
1209,1821209,Gavião,33.456,15.233,1258.857,1307.546
1210,1821210,Marvão,0,1.913,585.361,587.274
1211,1821211,Monforte,0,0.515,1176.834,1177.349
707,1820707,Mora,10.09,10.152,2715.374,2735.616
1212,1821212,Nisa,11.848,5.054,1668.55,1685.452
1213,1821213,Ponte de Sor,104.601,49.104,3149.139,3302.844
1214,1821214,Portalegre,0,0.888,1521.116,1522.004
701,1830701,Alandroal,0.704,1.314,2239.045,2241.063
702,1830702,Arraiolos,0.136,0.779,3712.505,3713.42
703,1830703,Borba,0,5.226,492.543,497.769
704,1830704,Estremoz,0,0.852,2705.074,2705.926
705,1830705,Évora,10.675,0.868,7841.906,7853.449
706,1830706,Montemor-o-Novo,6.47,1.909,4749.337,4757.716
708,1830708,Mourão,0.224,0.969,816.223,817.416
709,1830709,Portel,3.737,4.849,2812.962,2821.548
710,1830710,Redondo,0.433,26.42,1766.138,1792.991
711,1830711,Reguengos de Monsaraz,5.131,2.613,3606.839,3614.583
1215,1831215,Sousel,0,3.471,2730.366,2733.837
712,1830712,Vendas Novas,10.396,9.767,816.544,836.707
713,1830713,Viana do Alentejo,3.71,0.602,1638.954,1643.266
714,1830714,Vila Viçosa,0,8.143,1353.575,1361.718
201,1840201,Aljustrel,1.359,1.586,5904.482,5907.427
202,1840202,Almodôvar,2.91,43.513,2244.754,2291.177
203,1840203,Alvito,6.964,0.557,1072.397,1079.918
204,1840204,Barrancos,0.24,27.327,452.228,479.795
205,1840205,Beja,24.048,2.387,14875.375,14901.81
206,1840206,Castro Verde,0.053,0.798,2532.426,2533.277
207,1840207,Cuba,15.217,2.464,1125.359,1143.04
208,1840208,Ferreira do Alentejo,0.842,64.405,6202.22,6267.467
209,1840209,Mértola,8.063,3.661,3489.909,3501.633
210,1840210,Moura,15.894,2.13,6653.557,6671.581
212,1840212,Ourique,3.343,0.722,2491.716,2495.781
213,1840213,Serpa,14.216,1.278,10478.995,10494.489
214,1840214,Vidigueira,1.037,0.346,3270.455,3271.838
1403,1851403,Almeirim,0.276,1.845,1270.374,1272.495
1404,1851404,Alpiarça,2.349,372.755,816.141,1191.245
1103,1851103,Azambuja,2.13,0.986,3375.485,3378.601
1405,1851405,Benavente,5.908,33.417,3866.066,3905.391
1406,1851406,Cartaxo,6.491,2.07,1503.338,1511.899
1407,1851407,Chamusca,7.65,33.745,1272.875,1314.27
1409,1851409,Coruche,2.967,19.522,2115.465,2137.954
1412,1851412,Golegã,64.363,4.142,1642.202,1710.707
1414,1851414,Rio Maior,0,19.033,2357,2376.033
1415,1851415,Salvaterra de Magos,5.784,10.979,1692.727,1709.49
1416,1851416,Santarém,0.862,5.923,6660.757,6667.542
801,1500801,Albufeira,0.553,14.651,1434.365,1449.569
802,1500802,Alcoutim,20.007,29.9,1416.137,1466.044
803,1500803,Aljezur,0.563,0.051,619.357,619.971
804,1500804,Castro Marim,3.733,4.385,1261.285,1269.403
805,1500805,Faro,2.161,296.103,1062.962,1361.226
806,1500806,Lagoa,4.029,23.592,144.184,171.805
807,1500807,Lagos,1.653,125.825,1388.816,1516.294
808,1500808,Loulé,13.914,16.364,4071.825,4102.103
809,1500809,Monchique,11.055,0,288.647,299.702
810,1500810,Olhão,4.68,255.932,767.797,1028.409
811,1500811,Portimão,6.553,9.421,725.914,741.888
812,1500812,São Brás de Alportel,0,3.214,363.82,367.034
813,1500813,Silves,7.867,6.158,4027.286,4041.311
814,1500814,Tavira,5.02,8.727,2431.882,2445.629
815,1500815,Vila do Bispo,0,0.647,200.311,200.958
816,1500816,Vila Real de Santo António,4.096,146.571,32.461,183.128
