"Muni_ID","ID","Muni","lemon","orange","other_citrus","tangerine","total_citrus"
105,"1610105","Aveiro",37.78,27.38,0,0,65.16
108,"1610108","Estarreja",0,0,0,0,0
110,"1610110","Ílhavo",0,9.13,0,0,9.13
111,"1610111","Mealhada",12.59,91.28,0,9.94,113.81
112,"1610112","Murtosa",0,0,0,0,0
114,"1610114","Oliveira do Bairro",50.37,36.51,0,0,86.88
115,"1610115","Ovar",0,0,0,0,0
117,"1610117","Sever do Vouga",12.59,63.9,0,0,76.49
118,"1610118","Vagos",12.59,18.26,0,0,30.85
602,"1620602","Cantanhede",12.59,191.69,0,9.94,214.22
603,"1620603","Coimbra",50.37,355.99,17.72,89.44,513.52
604,"1620604","Condeixa-a-Nova",12.59,54.77,0,9.94,77.3
605,"1620605","Figueira da Foz",0,82.15,0,0,82.15
608,"1620608","Mira",12.59,173.43,0,0,186.02
610,"1620610","Montemor-o-Velho",0,91.28,0,9.94,101.22
613,"1620613","Penacova",0,45.64,0,0,45.64
615,"1620615","Soure",0,73.02,0,0,73.02
1004,"1631004","Batalha",0,9.13,0,0,9.13
1009,"1631009","Leiria",0,91.28,0,0,91.28
1010,"1631010","Marinha Grande",0,27.38,0,0,27.38
1015,"1631015","Pombal",0,82.15,0,0,82.15
1016,"1631016","Porto de Mós",12.59,18.26,0,0,30.85
1002,"1641002","Alvaiázere",0,27.38,0,0,27.38
1003,"1641003","Ansião",0,18.26,0,0,18.26
601,"1640601","Arganil",0,0,0,0,0
1007,"1641007","Castanheira de Pêra",0,0,0,0,0
1008,"1641008","Figueiró dos Vinhos",0,18.26,0,0,18.26
606,"1640606","Góis",0,0,0,0,0
607,"1640607","Lousã",0,9.13,0,0,9.13
609,"1640609","Miranda do Corvo",0,27.38,0,0,27.38
611,"1640611","Oliveira do Hospital",0,18.26,0,0,18.26
612,"1640612","Pampilhosa da Serra",0,9.13,0,0,9.13
1013,"1641013","Pedrógão Grande",0,9.13,0,0,9.13
614,"1640614","Penela",0,0,0,0,0
616,"1640616","Tábua",0,9.13,0,0,9.13
617,"1640617","Vila Nova de Poiares",0,9.13,0,0,9.13
901,"1650901","Aguiar da Beira",0,0,0,0,0
1802,"1651802","Carregal do Sal",0,0,0,0,0
1803,"1651803","Castro Daire",0,18.26,0,0,18.26
1806,"1651806","Mangualde",12.59,27.38,0,0,39.97
1808,"1651808","Mortágua",0,9.13,0,0,9.13
1809,"1651809","Nelas",0,9.13,0,0,9.13
1810,"1651810","Oliveira de Frades",0,18.26,0,0,18.26
1811,"1651811","Penalva do Castelo",0,0,0,0,0
1814,"1651814","Santa Comba Dão",0,27.38,0,0,27.38
1816,"1651816","São Pedro do Sul",0,36.51,0,0,36.51
1817,"1651817","Sátão",0,0,0,0,0
1821,"1651821","Tondela",12.59,292.1,0,9.94,314.63
1822,"1651822","Vila Nova de Paiva",0,0,0,0,0
1823,"1651823","Viseu",12.59,54.77,0,0,67.36
1824,"1651824","Vouzela",0,0,0,0,0
1413,"1661413","Mação",55.43,93.17,36.07,19,203.67
506,"1660506","Oleiros",0,27.95,0,0,27.95
508,"1660508","Proença-a-Nova",77.6,130.44,0,0,208.04
509,"1660509","Sertã",0,27.95,0,0,27.95
510,"1660510","Vila de Rei",0,9.32,0,0,9.32
905,"1670905","Fornos de Algodres",0,18.63,0,0,18.63
906,"1670906","Gouveia",0,9.32,0,0,9.32
912,"1670912","Seia",0,9.32,0,0,9.32
902,"1680902","Almeida",0,0,0,0,0
903,"1680903","Celorico da Beira",0,0,0,0,0
904,"1680904","Figueira de Castelo Rodrigo",0,9.32,0,0,9.32
907,"1680907","Guarda",0,9.32,0,0,9.32
908,"1680908","Manteigas",0,0,0,0,0
909,"1680909","Mêda",0,9.32,0,0,9.32
910,"1680910","Pinhel",0,0,0,0,0
911,"1680911","Sabugal",0,9.32,0,0,9.32
913,"1680913","Trancoso",0,9.32,0,0,9.32
502,"1690502","Castelo Branco",33.26,624.25,0,28.51,686.02
505,"1690505","Idanha-a-Nova",0,409.96,9.02,0,418.98
507,"1690507","Penamacor",0,55.9,0,0,55.9
511,"1690511","Vila Velha de Ródão",0,121.12,0,0,121.12
501,"16A0501","Belmonte",0,0,0,0,0
503,"16A0503","Covilhã",0,27.95,0,0,27.95
504,"16A0504","Fundão",0,372.69,0,66.51,439.2
1001,"16B1001","Alcobaça",32.7,219.41,0,0,252.11
1101,"16B1101","Alenquer",32.7,123.42,0,0,156.12
1102,"16B1102","Arruda dos Vinhos",0,13.71,0,0,13.71
1005,"16B1005","Bombarral",16.35,13.71,0,0,30.06
1104,"16B1104","Cadaval",0,13.71,0,0,13.71
1006,"16B1006","Caldas da Rainha",16.35,123.42,0,10.88,150.65
1108,"16B1108","Lourinhã",0,27.43,0,0,27.43
1011,"16B1011","Nazaré",0,13.71,0,0,13.71
1012,"16B1012","Óbidos",0,109.7,0,0,109.7
1014,"16B1014","Peniche",0,13.71,0,0,13.71
1112,"16B1112","Sobral de Monte Agraço",16.35,13.71,0,0,30.06
1113,"16B1113","Torres Vedras",32.7,82.28,0,0,114.98
1401,"16C1401","Abrantes",0,507.38,0,0,507.38
1402,"16C1402","Alcanena",0,41.14,0,0,41.14
1408,"16C1408","Constância",16.35,95.99,0,0,112.34
1410,"16C1410","Entroncamento",0,54.85,0,0,54.85
1411,"16C1411","Ferreira do Zêzere",0,95.99,0,0,95.99
1421,"16C1421","Ourém",0,68.57,46.5,0,115.07
1417,"16C1417","Sardoal",16.35,137.13,11.63,32.64,197.75
1418,"16C1418","Tomar",32.7,630.8,34.88,65.28,763.66
1419,"16C1419","Torres Novas",0,1302.74,139.51,32.64,1474.89
1420,"16C1420","Vila Nova da Barquinha",0,41.14,0,0,41.14
1115,"1711115","Amadora",0,0,0,0,0
1105,"1711105","Cascais",114.43,109.7,0,0,224.13
1106,"1711106","Lisboa",0,0,0,0,0
1107,"1711107","Loures",16.35,54.85,0,0,71.2
1109,"1711109","Mafra",3106.04,54.85,11.63,0,3172.52
1116,"1711116","Odivelas",16.35,13.71,0,0,30.06
1110,"1711110","Oeiras",0,27.43,0,0,27.43
1111,"1711111","Sintra",114.43,109.7,0,0,224.13
1114,"1711114","Vila Franca de Xira",16.35,164.56,0,43.52,224.43
1502,"1721502","Alcochete",0,54.85,0,0,54.85
1503,"1721503","Almada",0,13.71,0,0,13.71
1504,"1721504","Barreiro",0,27.43,0,0,27.43
1506,"1721506","Moita",0,205.7,0,10.88,216.58
1507,"1721507","Montijo",32.7,603.37,11.63,10.88,658.58
1508,"1721508","Palmela",163.48,2578.06,58.13,108.8,2908.47
1510,"1721510","Seixal",16.35,41.14,0,0,57.49
1511,"1721511","Sesimbra",81.74,109.7,0,0,191.44
1512,"1721512","Setúbal",114.43,836.5,34.88,76.16,1061.97
1501,"1811501","Alcácer do Sal",34.43,399.32,0,507.53,941.28
1505,"1811505","Grândola",0,299.49,0,12.69,312.18
211,"1810211","Odemira",6.89,3004.88,0,38.06,3049.83
1509,"1811509","Santiago do Cacém",20.66,1547.36,0,38.06,1606.08
1513,"1811513","Sines",0,159.73,0,0,159.73
1201,"1821201","Alter do Chão",0,79.86,0,0,79.86
1202,"1821202","Arronches",0,39.93,0,0,39.93
1203,"1821203","Avis",0,159.73,0,0,159.73
1204,"1821204","Campo Maior",6.89,149.74,0,0,156.63
1205,"1821205","Castelo de Vide",0,9.98,0,0,9.98
1206,"1821206","Crato",0,9.98,0,0,9.98
1207,"1821207","Elvas",6.89,928.42,0,38.06,973.37
1208,"1821208","Fronteira",0,9.98,0,0,9.98
1209,"1821209","Gavião",0,89.85,0,0,89.85
1210,"1821210","Marvão",0,19.97,0,0,19.97
1211,"1821211","Monforte",0,9.98,0,0,9.98
707,"1820707","Mora",0,139.76,0,0,139.76
1212,"1821212","Nisa",0,39.93,0,0,39.93
1213,"1821213","Ponte de Sor",0,908.45,0,25.38,933.83
1214,"1821214","Portalegre",0,249.57,0,25.38,274.95
701,"1830701","Alandroal",0,129.78,0,0,129.78
702,"1830702","Arraiolos",0,89.85,0,0,89.85
703,"1830703","Borba",0,69.88,0,0,69.88
704,"1830704","Estremoz",0,69.88,0,0,69.88
705,"1830705","Évora",0,169.71,0,12.69,182.4
706,"1830706","Montemor-o-Novo",6.89,59.9,0,0,66.79
708,"1830708","Mourão",0,9.98,0,0,9.98
709,"1830709","Portel",0,69.88,0,0,69.88
710,"1830710","Redondo",0,119.8,0,0,119.8
711,"1830711","Reguengos de Monsaraz",0,459.22,0,25.38,484.6
1215,"1831215","Sousel",0,19.97,0,0,19.97
712,"1830712","Vendas Novas",0,299.49,0,50.75,350.24
713,"1830713","Viana do Alentejo",0,249.57,0,0,249.57
714,"1830714","Vila Viçosa",0,289.51,0,0,289.51
201,"1840201","Aljustrel",0,539.08,0,532.9,1071.98
202,"1840202","Almodôvar",0,509.13,0,38.06,547.19
203,"1840203","Alvito",0,708.79,0,0,708.79
204,"1840204","Barrancos",0,0,0,0,0
205,"1840205","Beja",6.89,868.52,0,88.82,964.23
206,"1840206","Castro Verde",0,69.88,0,0,69.88
207,"1840207","Cuba",0,99.83,0,0,99.83
208,"1840208","Ferreira do Alentejo",0,1267.84,0,735.92,2003.76
209,"1840209","Mértola",0,289.51,0,12.69,302.2
210,"1840210","Moura",0,389.34,0,0,389.34
212,"1840212","Ourique",0,9.98,0,0,9.98
213,"1840213","Serpa",6.89,289.51,0,0,296.4
214,"1840214","Vidigueira",0,1078.16,0,50.75,1128.91
1403,"1851403","Almeirim",16.35,1247.89,34.88,108.8,1407.92
1404,"1851404","Alpiarça",0,548.52,0,0,548.52
1103,"1851103","Azambuja",16.35,425.1,23.25,10.88,475.58
1405,"1851405","Benavente",16.35,342.83,11.63,10.88,381.69
1406,"1851406","Cartaxo",32.7,233.12,11.63,10.88,288.33
1407,"1851407","Chamusca",0,1467.3,0,10.88,1478.18
1409,"1851409","Coruche",0,1919.83,11.63,141.44,2072.9
1412,"1851412","Golegã",0,219.41,0,0,219.41
1414,"1851414","Rio Maior",0,82.28,0,0,82.28
1415,"1851415","Salvaterra de Magos",0,301.69,0,0,301.69
1416,"1851416","Santarém",16.35,479.96,11.63,0,507.94
801,"1500801","Albufeira",67.99,5685.23,68.4,1149.75,6971.37
802,"1500802","Alcoutim",0,590.49,0,18.54,609.03
803,"1500803","Aljezur",0,192.25,0,0,192.25
804,"1500804","Castro Marim",158.65,1194.72,0,18.54,1371.91
805,"1500805","Faro",226.64,15297.94,68.4,2021.34,17614.32
806,"1500806","Lagoa",113.32,3488.04,27.36,593.42,4222.14
807,"1500807","Lagos",22.66,521.83,0,18.54,563.03
808,"1500808","Loulé",317.3,12180.67,519.84,3783.05,16800.86
809,"1500809","Monchique",1065.22,1483.1,13.68,259.62,2821.62
810,"1500810","Olhão",158.65,11741.24,27.36,1279.56,13206.81
811,"1500811","Portimão",158.65,2677.83,13.68,778.86,3629.02
812,"1500812","São Brás de Alportel",249.31,892.61,95.76,203.99,1441.67
813,"1500813","Silves",1926.47,50906.16,410.4,17635.71,70878.74
814,"1500814","Tavira",362.63,23908.18,246.24,2132.6,26649.65
815,"1500815","Vila do Bispo",0,13.73,0,0,13.73
816,"1500816","Vila Real de Santo António",181.31,837.68,0,129.81,1148.8
