"Muni_ID","ID","Muni","almonds","chestnut","locust","nuuts","other_dried_nuts","total_dried_fruits"
1813,"1151813","Resende",0,728.9,0,754.08,28.18,1511.16
1709,"1151709","Ribeira de Pena",0,72.54,0,111.72,56.37,240.63
104,"1160104","Arouca",0,65.64,0,55.86,0,121.5
113,"1160113","Oliveira de Azeméis",0,3.45,0,0,0,3.45
109,"1160109","Santa Maria da Feira",0,6.91,0,27.93,0,34.84
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,6.91,0,0,0,6.91
1701,"1171701","Alijó",2084.09,439.79,0,226.3,0,2750.18
1801,"1171801","Armamar",53.78,590.35,0,104.44,27.79,776.36
403,"1170403","Carrazeda de Ansiães",3858.93,483.38,0,313.33,27.79,4683.43
404,"1170404","Freixo de Espada à Cinta",16108.02,198.11,0,52.22,0,16358.35
1805,"1171805","Lamego",0,360.55,0,121.85,27.79,510.19
1704,"1171704","Mesão Frio",0,6.91,0,27.93,84.55,119.39
1807,"1171807","Moimenta da Beira",0,1026.18,0,208.89,389.11,1624.18
1812,"1171812","Penedono",968.09,5741.08,0,208.89,194.56,7112.62
1708,"1171708","Peso da Régua",0,178.29,0,17.41,27.79,223.49
1710,"1171710","Sabrosa",13.45,178.29,0,87.04,27.79,306.57
1711,"1171711","Santa Marta de Penaguião",40.34,225.84,0,69.63,0,335.81
1815,"1171815","São João da Pesqueira",10017.09,1430.32,0,487.41,83.38,12018.2
1818,"1171818","Sernancelhe",40.34,3668.9,0,348.15,444.7,4502.09
1819,"1171819","Tabuaço",161.35,792.42,0,69.63,138.97,1162.37
1820,"1171820","Tarouca",0,701.29,0,52.22,27.79,781.3
409,"1170409","Torre de Moncorvo",46952.59,713.18,0,208.89,83.38,47958.04
410,"1170410","Vila Flor",8659.07,475.45,0,609.26,0,9743.78
914,"1170914","Vila Nova de Foz Côa",30051.27,43.58,0,17.41,0,30112.26
1714,"1171714","Vila Real",80.67,725.06,0,208.89,111.18,1125.8
401,"1180401","Alfândega da Fé",25694.85,2139.53,0,1340.37,5586.58,34761.33
1702,"1181702","Boticas",13.45,614.13,0,139.26,27.79,794.63
402,"1180402","Bragança",389.93,27742.62,0,2402.22,778.23,31313
1703,"1181703","Chaves",94.12,6462.19,0,852.96,222.35,7631.62
405,"1180405","Macedo de Cavaleiros",3065.63,7199.14,0,1705.92,611.47,12582.16
406,"1180406","Miranda do Douro",578.17,1244.1,0,330.74,83.38,2236.39
407,"1180407","Mirandela",19872.83,665.63,0,731.11,222.35,21491.92
408,"1180408","Mogadouro",26192.34,1644.27,0,731.11,0,28567.72
1706,"1181706","Montalegre",0,1038.07,0,17.41,27.79,1083.27
1707,"1181707","Murça",2890.84,1584.84,0,348.15,111.18,4935.01
1712,"1181712","Valpaços",21728.35,19671.83,0,1949.63,416.91,43766.72
1713,"1181713","Vila Pouca de Aguiar",134.46,2131.61,0,69.63,27.79,2363.49
411,"1180411","Vimioso",1868.96,3863.05,0,765.93,138.97,6636.91
412,"1180412","Vinhais",282.36,21098.18,0,2715.55,250.15,24346.24
101,"1610101","Águeda",0,12.58,0,68.6,0,81.18
102,"1610102","Albergaria-a-Velha",0,6.29,0,0,0,6.29
103,"1610103","Anadia",0,12.58,0,205.81,58.96,277.35
105,"1610105","Aveiro",0,0,0,34.3,0,34.3
108,"1610108","Estarreja",0,0,0,0,0,0
110,"1610110","Ílhavo",0,0,0,0,0,0
111,"1610111","Mealhada",0,6.29,0,137.21,0,143.5
112,"1610112","Murtosa",0,0,0,0,0,0
114,"1610114","Oliveira do Bairro",0,0,0,171.51,29.48,200.99
115,"1610115","Ovar",0,6.29,0,0,29.48,35.77
117,"1610117","Sever do Vouga",0,37.73,0,0,0,37.73
118,"1610118","Vagos",0,0,0,0,0,0
602,"1620602","Cantanhede",0,12.58,0,651.73,58.96,723.27
603,"1620603","Coimbra",0,0,0,514.52,0,514.52
604,"1620604","Condeixa-a-Nova",0,0,0,308.71,0,308.71
605,"1620605","Figueira da Foz",0,0,0,34.3,0,34.3
608,"1620608","Mira",0,0,0,0,0,0
610,"1620610","Montemor-o-Velho",0,0,0,34.3,0,34.3
613,"1620613","Penacova",0,6.29,0,0,0,6.29
615,"1620615","Soure",0,0,0,205.81,0,205.81
1004,"1631004","Batalha",0,0,0,34.3,29.48,63.78
1009,"1631009","Leiria",0,18.87,0,102.9,412.7,534.47
1010,"1631010","Marinha Grande",0,0,0,0,29.48,29.48
1015,"1631015","Pombal",0,0,0,171.51,29.48,200.99
1016,"1631016","Porto de Mós",0,0,0,377.32,58.96,436.28
1002,"1641002","Alvaiázere",0,0,0,34.3,88.44,122.74
1003,"1641003","Ansião",0,0,0,102.9,0,102.9
601,"1640601","Arganil",0,44.02,0,68.6,0,112.62
1007,"1641007","Castanheira de Pêra",0,25.15,0,0,0,25.15
1008,"1641008","Figueiró dos Vinhos",0,31.44,0,68.6,0,100.04
606,"1640606","Góis",0,12.58,0,0,0,12.58
607,"1640607","Lousã",0,18.87,0,34.3,0,53.17
609,"1640609","Miranda do Corvo",0,6.29,0,240.11,0,246.4
611,"1640611","Oliveira do Hospital",0,62.89,0,137.21,1002.27,1202.37
612,"1640612","Pampilhosa da Serra",9.42,37.73,0,34.3,0,81.45
1013,"1641013","Pedrógão Grande",0,31.44,0,68.6,0,100.04
614,"1640614","Penela",0,0,0,171.51,0,171.51
616,"1640616","Tábua",9.42,6.29,0,34.3,294.78,344.79
617,"1640617","Vila Nova de Poiares",0,6.29,0,34.3,0,40.59
901,"1650901","Aguiar da Beira",0,798.65,0,34.3,58.96,891.91
1802,"1651802","Carregal do Sal",0,18.87,0,137.21,412.7,568.78
1803,"1651803","Castro Daire",0,150.93,0,171.51,0,322.44
1806,"1651806","Mangualde",9.42,106.91,0,171.51,707.48,995.32
1808,"1651808","Mortágua",0,25.15,0,34.3,0,59.45
1809,"1651809","Nelas",0,6.29,0,34.3,88.44,129.03
1810,"1651810","Oliveira de Frades",0,56.6,0,137.21,0,193.81
1811,"1651811","Penalva do Castelo",0,44.02,0,68.6,235.83,348.45
1814,"1651814","Santa Comba Dão",0,31.44,0,68.6,58.96,159
1816,"1651816","São Pedro do Sul",0,75.46,0,514.52,58.96,648.94
1817,"1651817","Sátão",0,698.03,0,137.21,265.31,1100.55
1821,"1651821","Tondela",0,132.06,0,308.71,324.26,765.03
1822,"1651822","Vila Nova de Paiva",0,320.72,0,34.3,88.44,443.46
1823,"1651823","Viseu",0,364.74,0,308.71,795.92,1469.37
1824,"1651824","Vouzela",0,50.31,0,102.9,29.48,182.69
1413,"1661413","Mação",0,0,0,0,85.13,85.13
506,"1660506","Oleiros",0,74.22,0,0,34.05,108.27
508,"1660508","Proença-a-Nova",0,15.46,0,18.88,17.03,51.37
509,"1660509","Sertã",0,74.22,0,75.53,289.43,439.18
510,"1660510","Vila de Rei",13.08,0,0,0,34.05,47.13
905,"1670905","Fornos de Algodres",26.17,77.31,0,0,34.05,137.53
906,"1670906","Gouveia",26.17,173.19,0,207.71,306.46,713.53
912,"1670912","Seia",0,185.56,0,188.83,442.66,817.05
902,"1680902","Almeida",13.08,27.83,0,56.65,0,97.56
903,"1680903","Celorico da Beira",26.17,136.07,0,75.53,34.05,271.82
904,"1680904","Figueira de Castelo Rodrigo",5377.85,432.96,0,37.77,0,5848.58
907,"1680907","Guarda",39.25,1162.82,0,113.3,68.1,1383.47
908,"1680908","Manteigas",78.51,3.09,0,56.65,0,138.25
909,"1680909","Mêda",4998.39,1323.63,0,132.18,323.48,6777.68
910,"1680910","Pinhel",1190.72,145.35,0,37.77,34.05,1407.89
911,"1680911","Sabugal",26.17,494.82,0,18.88,0,539.87
913,"1680913","Trancoso",143.93,4168.82,0,339.89,221.33,4873.97
502,"1690502","Castelo Branco",366.37,6.19,18.17,37.77,153.23,581.73
505,"1690505","Idanha-a-Nova",248.61,30.93,0,18.88,2996.45,3294.87
507,"1690507","Penamacor",0,9.28,0,18.88,1072.59,1100.75
511,"1690511","Vila Velha de Ródão",26.17,0,0,0,51.08,77.25
501,"16A0501","Belmonte",0,61.85,0,207.71,0,269.56
503,"16A0503","Covilhã",13.08,182.46,0,113.3,34.05,342.89
504,"16A0504","Fundão",0,142.26,0,56.65,34.05,232.96
1001,"16B1001","Alcobaça",0,42.07,0,667.47,210.56,920.1
1101,"16B1101","Alenquer",35.28,0,0,482.06,2316.16,2833.5
1102,"16B1102","Arruda dos Vinhos",0,0,0,333.73,1221.25,1554.98
1005,"16B1005","Bombarral",0,7.01,0,74.16,2400.38,2481.55
1104,"16B1104","Cadaval",0,28.05,0,222.49,4000.64,4251.18
1006,"16B1006","Caldas da Rainha",0,7.01,0,741.63,1768.7,2517.34
1108,"16B1108","Lourinhã",0,14.02,0,74.16,421.12,509.3
1011,"16B1011","Nazaré",0,0,0,0,168.45,168.45
1012,"16B1012","Óbidos",0,112.2,0,74.16,1768.7,1955.06
1014,"16B1014","Peniche",0,0,0,0,42.11,42.11
1112,"16B1112","Sobral de Monte Agraço",0,0,0,444.98,294.78,739.76
1113,"16B1113","Torres Vedras",35.28,0,0,1112.45,2526.72,3674.45
1401,"16C1401","Abrantes",141.14,7.01,0,296.65,13981.18,14425.98
1402,"16C1402","Alcanena",0,14.02,0,74.16,673.79,761.97
1408,"16C1408","Constância",0,0,0,1149.53,84.22,1233.75
1410,"16C1410","Entroncamento",0,0,0,0,0,0
1411,"16C1411","Ferreira do Zêzere",70.57,119.21,0,667.47,210.56,1067.81
1421,"16C1421","Ourém",0,14.02,0,259.57,126.34,399.93
1417,"16C1417","Sardoal",0,0,0,37.08,589.57,626.65
1418,"16C1418","Tomar",211.7,0,0,741.63,1979.26,2932.59
1419,"16C1419","Torres Novas",599.83,0,0,815.79,5221.89,6637.51
1420,"16C1420","Vila Nova da Barquinha",0,0,0,111.24,42.11,153.35
1115,"1711115","Amadora",0,0,0,0,0,0
1105,"1711105","Cascais",0,14.02,0,0,42.11,56.13
1106,"1711106","Lisboa",0,0,0,0,0,0
1107,"1711107","Loures",0,0,0,111.24,84.22,195.46
1109,"1711109","Mafra",0,0,0,1409.1,926.46,2335.56
1116,"1711116","Odivelas",0,0,0,37.08,0,37.08
1110,"1711110","Oeiras",0,0,0,0,0,0
1111,"1711111","Sintra",0,0,0,148.33,926.46,1074.79
1114,"1711114","Vila Franca de Xira",70.57,0,0,148.33,1179.14,1398.04
1502,"1721502","Alcochete",0,0,0,0,10528,10528
1503,"1721503","Almada",0,0,0,0,0,0
1504,"1721504","Barreiro",0,0,0,0,0,0
1506,"1721506","Moita",0,0,0,0,0,0
1507,"1721507","Montijo",0,0,0,0,24003.84,24003.84
1508,"1721508","Palmela",35.28,0,0,74.16,21771.9,21881.34
1510,"1721510","Seixal",0,0,0,0,0,0
1511,"1721511","Sesimbra",0,7.01,0,185.41,4295.42,4487.84
1512,"1721512","Setúbal",0,0,0,37.08,4927.1,4964.18
1501,"1811501","Alcácer do Sal",0,0,67.92,0,420912.45,420980.37
1505,"1811505","Grândola",47.59,0,0,962.32,182976.64,183986.55
211,"1810211","Odemira",1026.51,0,67.92,106.92,11415.36,12616.71
1509,"1811509","Santiago do Cacém",0,0,237.72,588.09,28422.59,29248.4
1513,"1811513","Sines",6.8,0,0,53.46,1356.61,1416.87
1201,"1821201","Alter do Chão",13.6,0,0,0,562.5,576.1
1202,"1821202","Arronches",0,14.02,0,0,1224.26,1238.28
1203,"1821203","Avis",47.59,0,373.56,267.31,14558.72,15247.18
1204,"1821204","Campo Maior",0,0,0,534.62,2713.22,3247.84
1205,"1821205","Castelo de Vide",0,196.22,0,588.09,595.58,1379.89
1206,"1821206","Crato",0,56.06,0,0,14260.93,14316.99
1207,"1821207","Elvas",0,0,0,962.32,99.26,1061.58
1208,"1821208","Fronteira",0,154.17,0,0,99.26,253.43
1209,"1821209","Gavião",6.8,0,0,0,7841.86,7848.66
1210,"1821210","Marvão",0,2410.65,0,160.39,2580.86,5151.9
1211,"1821211","Monforte",0,0,0,160.39,661.76,822.15
707,"1820707","Mora",0,0,0,53.46,4797.76,4851.22
1212,"1821212","Nisa",27.19,0,0,53.46,4268.35,4349
1213,"1821213","Ponte de Sor",0,0,0,534.62,54363.58,54898.2
1214,"1821214","Portalegre",0,791.87,0,160.39,1422.78,2375.04
701,"1830701","Alandroal",142.76,0,0,53.46,4632.32,4828.54
702,"1830702","Arraiolos",6.8,0,33.96,4277,1488.96,5806.72
703,"1830703","Borba",33.99,0,0,481.16,0,515.15
704,"1830704","Estremoz",0,0,0,4009.69,3441.15,7450.84
705,"1830705","Évora",0,0,0,53.46,2680.13,2733.59
706,"1830706","Montemor-o-Novo",0,7.01,0,588.09,44470.27,45065.37
708,"1830708","Mourão",0,0,0,0,0,0
709,"1830709","Portel",74.78,0,0,748.48,4301.44,5124.7
710,"1830710","Redondo",0,0,33.96,53.46,3077.18,3164.6
711,"1830711","Reguengos de Monsaraz",13.6,0,101.88,0,0,115.48
1215,"1831215","Sousel",6.8,0,33.96,3421.6,33.09,3495.45
712,"1830712","Vendas Novas",0,0,0,0,26999.81,26999.81
713,"1830713","Viana do Alentejo",0,0,0,0,2349.25,2349.25
714,"1830714","Vila Viçosa",6.8,0,0,481.16,661.76,1149.72
201,"1840201","Aljustrel",2209.38,0,849.01,0,2283.07,5341.46
202,"1840202","Almodôvar",47.59,0,271.68,0,496.32,815.59
203,"1840203","Alvito",0,0,0,53.46,794.11,847.57
204,"1840204","Barrancos",0,14.02,0,0,0,14.02
205,"1840205","Beja",20.39,0,747.13,2298.89,264.7,3331.11
206,"1840206","Castro Verde",0,0,0,0,3308.8,3308.8
207,"1840207","Cuba",0,0,0,0,0,0
208,"1840208","Ferreira do Alentejo",0,0,0,908.86,30407.87,31316.73
209,"1840209","Mértola",1985.04,0,9916.41,0,3441.15,15342.6
210,"1840210","Moura",81.58,0,0,53.46,3573.5,3708.54
212,"1840212","Ourique",61.18,0,67.92,106.92,0,236.02
213,"1840213","Serpa",142.76,0,679.21,1176.17,8702.14,10700.28
214,"1840214","Vidigueira",0,0,0,0,66.18,66.18
1403,"1851403","Almeirim",0,0,0,0,5432.45,5432.45
1404,"1851404","Alpiarça",0,0,0,0,336.9,336.9
1103,"1851103","Azambuja",0,0,0,630.39,6695.81,7326.2
1405,"1851405","Benavente",0,0,0,0,44007.04,44007.04
1406,"1851406","Cartaxo",35.28,0,0,519.14,2610.94,3165.36
1407,"1851407","Chamusca",0,0,0,0,44765.06,44765.06
1409,"1851409","Coruche",0,0,0,0,237048.45,237048.45
1412,"1851412","Golegã",0,0,0,0,1558.14,1558.14
1414,"1851414","Rio Maior",211.7,7.01,0,964.12,34237.06,35419.89
1415,"1851415","Salvaterra de Magos",0,0,0,37.08,4211.2,4248.28
1416,"1851416","Santarém",246.99,0,0,927.04,8253.95,9427.98
801,"1500801","Albufeira",1318.23,0,3163.36,241.22,0,4722.81
802,"1500802","Alcoutim",4208.79,0,936.06,0,0,5144.85
803,"1500803","Aljezur",7.94,0,0,96.49,0,104.43
804,"1500804","Castro Marim",2644.39,0,3226.26,337.71,0,6208.36
805,"1500805","Faro",603.53,0,3389.05,48.24,0,4040.82
806,"1500806","Lagoa",383.82,4.16,466.18,0,0,854.16
807,"1500807","Lagos",190.59,0,451.38,48.24,0,690.21
808,"1500808","Loulé",3457.03,0,14825.26,337.71,0,18620
809,"1500809","Monchique",5.29,58.23,122.09,48.24,0,233.85
810,"1500810","Olhão",780.88,0,1761.12,578.93,0,3120.93
811,"1500811","Portimão",158.82,4.16,1154.35,385.96,0,1703.29
812,"1500812","São Brás de Alportel",301.76,0,1635.33,241.22,0,2178.31
813,"1500813","Silves",685.58,0,3529.65,482.45,0,4697.68
814,"1500814","Tavira",1686.16,0,7377.48,2122.76,0,11186.4
815,"1500815","Vila do Bispo",47.65,0,11.1,627.18,0,685.93
816,"1500816","Vila Real de Santo António",95.29,0,373.68,0,0,468.97
