Muni_ID,ID,Muni,tot_hort_ext
706,1830706,Montemor-o-Novo,252
708,1830708,Mourão,22
709,1830709,Portel,3
710,1830710,Redondo,191
711,1830711,Reguengos de Monsaraz,12
1215,1831215,Sousel,227
712,1830712,Vendas Novas,49
713,1830713,Viana do Alentejo,4
714,1830714,Vila Viçosa,8
201,1840201,Aljustrel,189
202,1840202,Almodôvar,0
203,1840203,Alvito,18
204,1840204,Barrancos,0
205,1840205,Beja,104
206,1840206,Castro Verde,3
207,1840207,Cuba,23
208,1840208,Ferreira do Alentejo,745
209,1840209,Mértola,0
210,1840210,Moura,223
212,1840212,Ourique,45
213,1840213,Serpa,217
214,1840214,Vidigueira,55
1403,1851403,Almeirim,2109
1404,1851404,Alpiarça,1112
1103,1851103,Azambuja,1839
1405,1851405,Benavente,1854
1406,1851406,Cartaxo,2358
1407,1851407,Chamusca,768
1409,1851409,Coruche,1431
1412,1851412,Golegã,266
1414,1851414,Rio Maior,363
1415,1851415,Salvaterra de Magos,1368
1416,1851416,Santarém,1194
801,1500801,Albufeira,28
802,1500802,Alcoutim,0
803,1500803,Aljezur,70
804,1500804,Castro Marim,5
805,1500805,Faro,9
806,1500806,Lagoa,27
807,1500807,Lagos,21
808,1500808,Loulé,23
809,1500809,Monchique,21
810,1500810,Olhão,2
811,1500811,Portimão,29
812,1500812,São Brás de Alportel,5
813,1500813,Silves,44
814,1500814,Tavira,13
815,1500815,Vila do Bispo,8
816,1500816,Vila Real de Santo António,14
